ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	State	LatDD	LonDD	Livestock type	"If other, please specify"	Agroforestry type	"If other, please specify"	Comparator	"If other, please specify"	Productivity measure	"If other, please specify"	Effect on productivity	GHGEs/Carbon	"If multiple or other, please specify"	Effect on carbon/GHG measure	Water quantity	Water quality	Air quality	Soil erosion	Economics
Rozados-Lorenzo2006_399	Journal Article	2006	"Rozados-Lorenzo, M. J.; Garcia de Yzaguirre, A.; Silva Pando, F. J."	Comparison of selected ecotypes and cultivars of cocksfoot (Dactylis glomerata L.) under pinewoods in Spain	Journal of Sustainable Agriculture	1044-0046	http://dx.doi.org/10.1300/J064v29n02_03		"Cocksfoot (Dactylis glomerata) entries, eight natural populations, and two commercial checks were sown under maritime pine (Pinus pinaster) and under red pine (P. sylvestris) canopies, as well as in an open field area in Galicia, NW Spain. Natural populations yielded less biomass and had a higher crude protein content under pine canopies than in an adjacent open field stand. In the first two years under P. pinaster, population Mg348 yielded, in general, significantly more dry matter than the commercial varieties and more than control plots, which were fertilized but not sown. In contrast, two years after sowing, control plots invaded by spontaneous grasses yielded significantly more than several cocksfoot entries under red pine and in the unshaded stand. Therefore, ecotypic selection in cocksfoot is an alternative to the use of commercial varieties in temporal pastures under P. pinaster. In the long term, however, cocksfoot does not persist significantly more than spontaneous grasses."	29	2	297-297	biomass production; coniferous forests; cultivars; dry matter accumulation; ecotypes; farming systems; forests; pines; silvopastoral systems; trees; woody plants	Spain	Galicia	42.5	-8.1	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		Negative								
Robertson2011_434	Journal Article	2011	"Robertson, S. M.; Friend, M. A.; Broster, J. C.; King, B. J."	Survival of twin lambs is increased with shrub belts	Animal Production Science	1836-0939	10.1071/an11006	<Go to ISI>://WOS:000295719500006	"Perinatal lamb mortality is a major source of reproductive loss, particularly for twins. A study was conducted to determine whether provision of shelter in the form of shrub belts (a 'maternity ward') could increase survival of twin lambs compared with hedgerows, and whether hedgerows improve survival of single lambs compared with unsheltered paddocks. Measurements were recorded for Merino x Poll Dorset cross twin lambs born in hedgerows (phalaris or hessian) or shrub belts and single lambs born in hedgerows or unsheltered paddocks over the years 2007-2009. Records for 382 single and 726 twin lambs were used. The survival of single lambs was not increased (P = 0.06) by hedgerow shelter. The survival of twin lambs in shrubs was 10% higher (P < 0.05) than that in hessian hedgerow shelter in 2008-2009 (0.77 cf. 0.70), associated with a reduction in deaths from starvation and/or mismothering and/or exposure. The hessian shelter was associated with an increased (P < 0.05) growth rate to weaning of single lambs, but the growth rates of twin lambs were lower (P < 0.05) in shrub than in hessian shelter. In 2010, a second study of 178 twin Merino x Poll Dorset cross lambs found that survival of lambs born alive was not improved by shrubs compared with unsheltered paddocks (0.80 versus 0.77; P > 0.05). It is concluded that shrub belts which forced twin-bearing ewes to lamb in a sheltered environment reduced perinatal mortality in one of three datasets, but was not repeated. The shrubs take time to establish, and the benefit will be small if weather is mild during lambing."	51	10	205-208		Australia	New South Wales	-35.12	147.31	Sheep		Hedge		Other	Pasture without trees OR hessian shelter	Livestock mortality		Mixed results (positive and no effect)								
Ratliff1991_475	Journal Article	1991	"Ratliff, R. D.; Duncan, D. A.; Westfall, S. E."	California oak-woodland overstory species affect herbage understory: management implications	Journal of Range Management	0022-409X	http://dx.doi.org/10.2307/4002388		"Data from 8000 plots harvested between 1961 and 1968 at the San Joaquin Experimental Range in the Sierra Nevada foothills of central California showed that peak herbage standing crops averaged 2.79 t in the open, 3.09 t under Quercus douglasii, 1.84 t under Quercus wislizenii, 1.92 t under Pinus sabiniana, and 1.92 t/ha under Ceanothus cuneatus. Herbage species and groups were identified as follows: Avena barbata, Bromus arenarius, B. rubens, Hordeum hystrix, and Vulpia spp. and other grasses, Carex and Juncus spp., Erodium botrys, other broadleaved species, Lotus purshianus, Trifolium spp. and other legumes. Overstorey species affected standing crops differently on different range sites. On swales, standing crops were less under Q. wislizenii and P. sabiniana than in open areas. On open-rolling uplands, standing crops were less in the open and under Q. wislizenii than under Q. douglasii. On rocky-brush uplands, standing crops were less under all other overstorey species than under Q. douglasii. Data on species frequency suggested that herbage species of later successional stages were more common under trees. The frequency of plant species varied with the species of overstorey, and a diversity of overstorey species may help to maintain adequate species diversity among understorey species."	44	4	893-908	Broadleaves; Grasslands; Grazing; management; rangelands; trees; understorey; woody plants; yields; pines	USA	California	37.1841	-119.4696	Cattle		Wood pasture		Pasture without trees		Understory/pasture production		Mixed results (positive and negative)								
Radcliffe1985_490	Journal Article	1985	"Radcliffe, J. E."	Shelter belt increases dryland pasture growth in Canterbury	Proceedings of the New Zealand Grassland Association	0369-3902			"In 1980 at Horata, Canterbury an 8 m wide shelter belt planted in 1960 consisted of 4 m tall Cedrus deodara with 2.5 m between trees on the windward side and 17 m tall Pinus radiata with 2 m between trees. To allow opt. 50% porosity wind flow, P. radiata were trimmed on alternate sides of the trunk. In the adjacent paddock, 10 kg Lolium perenne cv. Nui, 5 kg Dactylis glomerata 5 kg Trifolium repens + T. pratense/ha and rape were sown. T. subterraneum seeds were present in the soil. Precipitation, soil moisture, wind run and temp. were recorded in a sheltered zone at 3 tree heights distance from the trees and in an exposed zone at 12 tree heights distance. There was a 60% improvement in DM production in the more sheltered zone during 1981-84. The highest annual total DM production was 6.52 t, grass DM was 4.53 t and legume DM was 1.51 t/ha at 3, 3 and 5 tree heights distance from the shelter belt, resp. The sheltered zone was half as windy as the exposed zone and soils were warmer from Oct. to March."	46		vii-pp	crops; environment; growth; lucerne; microclimate; pastures; pines; production; Shelterbelts; silviculture; trees; Windbreaks; woody plants	New Zealand	Hororata	-43.52	171.94	Sheep	Grazing behaviour not observed 	Shelterbelt/Windbreak		Pasture without trees		Understory/pasture production		Positive								
Quinn2007_497i	Journal Article	2007	"Quinn, J. M.; Dodd, M. B.; Thorrold, B. S."	Whatawhata Catchment Management Project: the story so far	Proceedings of the New Zealand Grassland Association	0369-3902			"Changes in land use and management were applied to a 296 ha catchment farm at the Whatawhata Research Centre in 2000-2001 to improve its economic and environmental performance. The area had erosion and weed reversion challenges, poorly performing beef and sheep breeding enterprises, and degraded streams. Changes included conversion of the steepest land to plantation forestry; indigenous forest restoration; intensification of the farming enterprises onto easier terrain with better pasture production; changes in stock type; poplar planting for soil stabilisation; and exclusion of livestock from streams. Significant improvements have followed. The per hectare economic surplus for the pastoral enterprise improved from 30% below industry average to 13% above. The forestry enterprise will further improve economic performance in the long-term. There were reductions in the export of suspended sediment (76%), total phosphorus (62%), and total nitrogen (33%). Water clarity has increased, stream temperature has declined and stream invertebrate indices indicate improvements in the fauna."	69		311-316	farming systems; forest plantations; land management; land use; nitrogen; pastures; phosphorus; restoration ecology; sediment; soil stabilization; suspended solids; sustainability; turbidity; water quality; water temperature; watersheds	New Zealand	Whatawhata	-37.81	175.08	Mixture of sheep and cattle	Beef cattle	Riparian strip		Baseline from implementation		Total productivity (pasture + trees)	Multiple	Positive				Positive	Positive		Positive	Positive
Quinn2007_497ii	Journal Article	2007	"Quinn, J. M.; Dodd, M. B.; Thorrold, B. S."	Whatawhata Catchment Management Project: the story so far	Proceedings of the New Zealand Grassland Association	0369-3902			"Changes in land use and management were applied to a 296 ha catchment farm at the Whatawhata Research Centre in 2000-2001 to improve its economic and environmental performance. The area had erosion and weed reversion challenges, poorly performing beef and sheep breeding enterprises, and degraded streams. Changes included conversion of the steepest land to plantation forestry; indigenous forest restoration; intensification of the farming enterprises onto easier terrain with better pasture production; changes in stock type; poplar planting for soil stabilisation; and exclusion of livestock from streams. Significant improvements have followed. The per hectare economic surplus for the pastoral enterprise improved from 30% below industry average to 13% above. The forestry enterprise will further improve economic performance in the long-term. There were reductions in the export of suspended sediment (76%), total phosphorus (62%), and total nitrogen (33%). Water clarity has increased, stream temperature has declined and stream invertebrate indices indicate improvements in the fauna."	69		311-316	farming systems; forest plantations; land management; land use; nitrogen; pastures; phosphorus; restoration ecology; sediment; soil stabilization; suspended solids; sustainability; turbidity; water quality; water temperature; watersheds	New Zealand	Whatawhata	-37.81	175.08	Mixture of sheep and cattle	Beef cattle	Riparian strip		Baseline from implementation		Livestock growth	Multiple	Positive				Positive	Positive		Positive	Positive
Power2003_520	Journal Article	2003	"Power, I. L.; Thorrold, B. S.; Balks, M. R."	"Soil properties and nitrogen availability in silvopastoral plantings of Acacia melanoxylon in North Island, New Zealand"	Agroforestry Systems	0167-4366	10.1023/a:1024838311287	<Go to ISI>://WOS:000184336900006	"Acacia melanoxylon, a N-2-fixing timber tree occurring naturally in eastern Australia, is now promoted as a component of silvopastoral systems; but the interaction of the tree with pasture and soils has not been adequately studied. This study investigated the effects of Acacia melanoxylon on soil nitrogen (N) levels, N availability, soil pH, bulk density, organic carbon, C: N ratios and soil moisture in three separate silvopastoral sites with contrasting soil types in the North Island of New Zealand. At each site four tree stocking rates were studied (0, 500, 800, and 1700 stems ha(-1)). The trees were nine years old at the time of the study. Soil samples from each study site were taken once at three depths (0 to 75 mm, 75 to 150 mm, and 150 to 300 mm), with three replicates per tree stocking rate. Soil analyses showed that although there were differences between soil types, few statistically significant differences occurred due to tree stocking rate. A greenhouse pot trial growing ryegrass (Lolium multiflorum L. cv. 'Concord') in soil from the 'A' horizon of each soil type from under the trees and the open pasture found that ryegrass yield, N uptake and N supply increased with increasing tree stocking rate. Increased N supply under the trees, coupled with greater soil moisture compared to the open pasture may have accounted for the higher pasture yield under Acacia melanoxylon compared to non dinitrogen fixing tree species. This study suggested that Acacia melanoxylon in a silvopastoral system had the potential to increase soil N availability."	57	3	261-264		New Zealand		-40.900557	174.885971	Mixture of sheep and cattle		Silvopasture		Pasture without trees		Understory/pasture production		Positive	Soil organic carbon		No effect					
Pollock1994_533	Journal Article	1994	"Pollock, K. M.; Lucas, R. J.; Mead, D. J.; Thomson, S. E."	Forage-pasture production in the first three years of an agroforestry experiment	Proceedings of the New Zealand Grassland Association	0369-3902			"Forage production from a newly established pine [Pinus sp.]-pasture system at 1000 trees/ha and pasture alone was compared. Pastures of Lolium sp./Trifolium sp., Dactylis glomerata/Trifolium sp., Phalaris sp./Trifolium sp. and Medicago sativa were used. Overall, forage production varied little between the grass/Trifolium sp. pastures and was little affected by the pine trees except for the 14% reduction in pasture area in the trees because of herbicide-treated planting strips. M. sativa production between between the trees was similar to that of the grass/Trifolium sp. treatments but in the open pasture, M. sativa yielded a total of 29.5 t DM/ha compared with 22 t DM/ha from grass/Trifolium sp. treatments. Pasture growth within 1 m of the trees in the third summer was reduced by as much as 40%, indicating that competitive dominance was shifting in favour of the pines."	56		266-278	agroforestry; agroforestry systems; comparisons; farming systems; grasses; legumes; lucerne; management; mixtures; pasture plants; pastures; pines; plant competition; silvopastoral systems; trees; woody plants; yields	New Zealand		-40.900557	174.885971	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		Decrease with increased tree density/cover/proximity								
Pieper1990_553	Journal Article	1990	"Pieper, R. D."	Overstory-understory relations in pinyon-juniper woodlands in New Mexico	Journal of Range Management	0022-409X	http://dx.doi.org/10.2307/3899002		"Herbage biomass of Bouteloua gracilis, Piptochaetium fimbriatum, Muhlenbergia pauciflora, other grasses and forbs was estimated on 25 Juniperus monosperma - J. deppeana - Pinus edulis stands of varying overstorey cover near Capitan, New Mexico in 1984-85. Negative 2nd degree polynomial curves best fitted the relationships between total understorey and B. gracilis biomass and overstorey canopy cover. Positive polynomial relationships were shown for M. pauciflora and P. fimbriatum. Reducing J. deppeana - P. edulis cover could possibly increase B. gracilis production and reduce that of M. pauciflora and P. fimbriatum."	43	5	7-14	biomass production; Forbs; Grasses; herbage; layer structure; pines; production; Rangelands; synecology; trees; woody plants	USA	New Mexico	34.4071	-106.1126	Pasture without livestock		Wood pasture		Pasture without trees		Understory/pasture production		Decrease with increased tree density/cover/proximity								
Perry2009_561	Journal Article	2009	"Perry, Michael E. L.; Schacht, Walter H.; Ruark, Gregory A.; Brandle, James R."	Tree canopy effect on grass and grass/legume mixtures in eastern Nebraska	Agroforestry Systems	0167-4366	10.1007/s10457-009-9234-x	<Go to ISI>://WOS:000268865600003	"A study to determine the feasibility of producing forage for grazing livestock under trees was conducted as a step toward evaluating the potential for silvopasture systems in the northern and central Great Plains. The effects of overstory leaf area index (LAI), percentage understory light transmittance (LT), and soil moisture (SM) on yield and crude protein (CP) of big bluestem [Andropogon gerardii Vitman; (BB)], smooth bromegrass [Bromus inermis Leyss.; (SB)], and mixtures with birdsfoot trefoil [Lotus corniculatus L.; (BFT)] were examined. The study was conducted in both Scotch pine (Pinus sylvestris L.) and green ash (Fraxinus pennsylvancia Marsh.) tree plantations, at the University of Nebraska Agriculture Research and Development Center near Mead, Nebraska. Thirty-six plots representing a wide range of canopy cover were selected at each location and seeded in April 2000 to BB, SB, or mixtures with BFT. Measurements of LAI, LT, and SM were taken throughout the 2001-growing season and plots were harvested in June and September 2001. Soil moisture generally did not explain much of the variability in yield or CP for BB, SB, or BFT. Cumulative LAI or LT averaged over the growing season was the best predictor of yield or CP, particularly under the pine. Yields of BB and SB increased as LAI decreased or LT increased. Conversely, the CP of BB and SB increased as LT decreased for both the June and September harvests. Both BB and SB maintain relatively high productivity under partial shading; however, BFT yields were low at LT levels below 75%."	77	1	53-61		USA	Nebraska	41.09	-96.32	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		Decrease with increased tree density/cover/proximity								
Peri2001_568i	Journal Article	2001	"Peri, P. L.; Varella, A. C.; Lucas, R. J.; Moot, D. J."	Cocksfoot and lucerne productivity in a Pinus radiata silvopastoral system: a grazed comparison	Proceedings of the New Zealand Grassland Association	0369-3902			"Plant and animal production from cocksfoot (Dactylis glomerata) pasture and lucerne (Medicago sativa) under 10-11 year-old radiata pine trees (Pinus radiata) (200 stems/ha) and from adjacent open pastures (without trees) were measured from the Lincoln University Silvopastoral Experiment, Canterbury, New Zealand. Light intensity under trees was 50-60% of the open pasture. Liveweight gain (LWG) from lucerne was 220 g/hd per day in the open and 158 g/hd per day under trees. On cocksfoot, LWG was 132 g/hd per day in the open and 100 g/hd per day under trees. When converted to LWG/ha, lamb production from open pastures was double that from shaded pastures for lucerne (5.1 and 2.5 kg/ha per day) and cocksfoot (3.4 and 1.7 kg/ha per day). Lucerne produced 11.2 t DM/ha in the open and 7.9 t DM per ha under trees which was 58 and 76% more than cocksfoot in the open and under trees, respectively. However, from September to November, when soil moisture was non-limiting, the lucerne DM production was 36% lower under tree shade than in the open. In comparison, the reduction was only 20% for cocksfoot, which confirms its greater 'shade tolerance'. The reduced lamb LWG produced from lambs on shaded pastures was attributed to the reduced pre-grazing pasture mass and pasture bulk density, leading to reduced apparent intakes. Crude protein and digestibility values were not influenced by shade, and clover content in cocksfoot pastures were low (<7%). It was concluded that: (i) shaded pastures in silvopastoral systems limited animal production compared with open pastures owing to lower DM production rates which lowered pre-grazing pasture mass and reduced bulk density from the etiolated pasture; (ii) the suitability of species for silvopastoral systems should be assessed from total plant and animal production and species persistence rather than 'shade tolerance', which only examines the relative decline in DM production under shade compared with unshaded situations."	63		21-26	agroforestry systems; animal production; crop production; crude protein; digestibility; dry matter accumulation; grazing; lambs; liveweight gain; lucerne; pastures; pines; productivity; shade; silvopastoral systems; trees; woody plants	New Zealand		-40.900557	174.885971	Sheep		Silvopasture		Pasture without trees		Livestock growth	Multiple	Negative								
Peri2001_568ii	Journal Article	2001	"Peri, P. L.; Varella, A. C.; Lucas, R. J.; Moot, D. J."	Cocksfoot and lucerne productivity in a Pinus radiata silvopastoral system: a grazed comparison	Proceedings of the New Zealand Grassland Association	0369-3902			"Plant and animal production from cocksfoot (Dactylis glomerata) pasture and lucerne (Medicago sativa) under 10-11 year-old radiata pine trees (Pinus radiata) (200 stems/ha) and from adjacent open pastures (without trees) were measured from the Lincoln University Silvopastoral Experiment, Canterbury, New Zealand. Light intensity under trees was 50-60% of the open pasture. Liveweight gain (LWG) from lucerne was 220 g/hd per day in the open and 158 g/hd per day under trees. On cocksfoot, LWG was 132 g/hd per day in the open and 100 g/hd per day under trees. When converted to LWG/ha, lamb production from open pastures was double that from shaded pastures for lucerne (5.1 and 2.5 kg/ha per day) and cocksfoot (3.4 and 1.7 kg/ha per day). Lucerne produced 11.2 t DM/ha in the open and 7.9 t DM per ha under trees which was 58 and 76% more than cocksfoot in the open and under trees, respectively. However, from September to November, when soil moisture was non-limiting, the lucerne DM production was 36% lower under tree shade than in the open. In comparison, the reduction was only 20% for cocksfoot, which confirms its greater 'shade tolerance'. The reduced lamb LWG produced from lambs on shaded pastures was attributed to the reduced pre-grazing pasture mass and pasture bulk density, leading to reduced apparent intakes. Crude protein and digestibility values were not influenced by shade, and clover content in cocksfoot pastures were low (<7%). It was concluded that: (i) shaded pastures in silvopastoral systems limited animal production compared with open pastures owing to lower DM production rates which lowered pre-grazing pasture mass and reduced bulk density from the etiolated pasture; (ii) the suitability of species for silvopastoral systems should be assessed from total plant and animal production and species persistence rather than 'shade tolerance', which only examines the relative decline in DM production under shade compared with unshaded situations."	63		21-26	agroforestry systems; animal production; crop production; crude protein; digestibility; dry matter accumulation; grazing; lambs; liveweight gain; lucerne; pastures; pines; productivity; shade; silvopastoral systems; trees; woody plants	New Zealand		-40.900557	174.885971	Sheep		Silvopasture		Pasture without trees		Understory/pasture production	Multiple	Negative								
Peri2007_575	Journal Article	2007	"Peri, P. L.; Lucas, R. J.; Moot, D. J."	"Dry matter production, morphology and nutritive value of Dactylis glomerata growing under different light regimes"	Agroforestry Systems	0167-4366	10.1007/s10457-007-9029-x	<Go to ISI>://WOS:000245816700008	"Plant growth, morphology and nutritive value under shade can differ between temperate grasses. Therefore, the aim of this study was to quantify the dry matter (DM) production, sward morphology, crude protein (CP%), organic matter digestibility (OMD) and macro-nutrient concentrations (P, K, Mg, Ca and S) in a grazed cocksfoot (Dactylis glomerata L.) pasture under 10-year-old Pinus radiata D. Don forest. Four levels of light intensity were compared: full sunlight (100% photosynthetic photon flux density-PPFD), open + wooden slats (similar to 43% PPFD), trees (similar to 58% PPFD) and tree + slats (similar to 24% PPFD). The mean total DM production was 8.2 t DM ha(-1) yr(-1) in the open and 3.8 t DM ha(-1) yr(-1) in the trees + slats treatment. The changes in cocksfoot leaf area index (LAI) were related to variations in morphological aspects of the sward such as canopy height and tiller population. CP% increased as PPFD declined with mean values of 18.6% in open and 22.5% in the trees + slats treatment. In contrast, the intensity of fluctuating shade had little effect on OMD with a mean value of 79 +/- 3.2%. The mean annual macro-nutrient concentrations in leaves increased as the PPFD level declined mainly between the open and the trees + slats treatments. It therefore appears that heavily shaded dominant temperate pastures in silvopastoral systems limit animal production per hectare through lower DM production rates and per animal through reduced pre-grazing pasture mass of lower bulk density from the etiolated pasture."	70	1	167-171		New Zealand		-40.900557	174.885971	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		Negative								
Pent2019_602i	Journal Article	2019	"Pent, Gabriel J.; Fike, John H."	Lamb productivity on stockpiled fescue in honeylocust and black walnut silvopastures	Agroforestry Systems	0167-4366	10.1007/s10457-018-0264-0	<Go to ISI>://WOS:000459755100010	"Trees in silvopastures can provide forage-livestock systems with multiple goods and services, including shade, shelter, and browse, but the provision of browse has received little exploration in temperate systems. Honeylocust trees (Gleditsia triacanthos) produce nutritious pods that could serve as supplemental fodder for livestock grazing stockpiled tall fescue (Schedonorus arundinaceus). This study compared lamb performance in honeylocust (cv. Millwood) and black walnut (Juglans nigra) silvopastures with productivity on open pastures during a six week winter grazing trial. Treatment pastures were rotationally stocked with three (walnut) or six (honeylocust and open) lambs per experimental unit based on forage availability. Lambs were naive to pods and did not readily consume the fodder until four weeks into the trial. Forage availability did not differ (P=0.7580) between honeylocust silvopastures and open pastures (mean=5090 +/- 90kgha(-1)) but was greater (P<0.0001) than forage availability in the black walnut silvopastures (3790 +/- 90kgha(-1)). Average daily gains did not differ (P=0.3763) among treatments over the six weeks of study. However, lambs within the honeylocust silvopastures began consuming pods at about week four of the study and had greater (P=0.0251) average daily gains in the final period (0.12 +/- 0.02kgday(-1)) than lambs within the open pastures (0 +/- 0.02kgday(-1)). These data suggest that honeylocust pods may support greater lamb weight gains, but previous exposure and longer study periods may be necessary to see their nutritional benefit when grazing high quality forages."	93	1	19-pp		USA	Virginia	37.2	-80.58	Sheep		Silvopasture		Pasture without trees		Understory/pasture production	Multiple	No effect								
Pent2019_602ii	Journal Article	2019	"Pent, Gabriel J.; Fike, John H."	Lamb productivity on stockpiled fescue in honeylocust and black walnut silvopastures	Agroforestry Systems	0167-4366	10.1007/s10457-018-0264-0	<Go to ISI>://WOS:000459755100010	"Trees in silvopastures can provide forage-livestock systems with multiple goods and services, including shade, shelter, and browse, but the provision of browse has received little exploration in temperate systems. Honeylocust trees (Gleditsia triacanthos) produce nutritious pods that could serve as supplemental fodder for livestock grazing stockpiled tall fescue (Schedonorus arundinaceus). This study compared lamb performance in honeylocust (cv. Millwood) and black walnut (Juglans nigra) silvopastures with productivity on open pastures during a six week winter grazing trial. Treatment pastures were rotationally stocked with three (walnut) or six (honeylocust and open) lambs per experimental unit based on forage availability. Lambs were naive to pods and did not readily consume the fodder until four weeks into the trial. Forage availability did not differ (P=0.7580) between honeylocust silvopastures and open pastures (mean=5090 +/- 90kgha(-1)) but was greater (P<0.0001) than forage availability in the black walnut silvopastures (3790 +/- 90kgha(-1)). Average daily gains did not differ (P=0.3763) among treatments over the six weeks of study. However, lambs within the honeylocust silvopastures began consuming pods at about week four of the study and had greater (P=0.0251) average daily gains in the final period (0.12 +/- 0.02kgday(-1)) than lambs within the open pastures (0 +/- 0.02kgday(-1)). These data suggest that honeylocust pods may support greater lamb weight gains, but previous exposure and longer study periods may be necessary to see their nutritional benefit when grazing high quality forages."	93	1	19-pp		USA	Virginia	37.2	-80.58	Sheep		Silvopasture		Pasture without trees		Livestock growth	Multiple	No effect								
Papanastasis1995_647	Journal Article	1995	"Papanastasis, V.; Koukoura, Z.; Alifragis, D.; Makedos, I."	"Effects of thinning, fertilisation and sheep grazing on the understory vegetation of Pinus pinaster plantations"	Forest Ecology and Management	03781127 (ISSN)	10.1016/0378-1127(95)03545-L	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028984028&doi=10.1016%2f0378-1127%2895%2903545-L&partnerID=40&md5=80bc0650fd8a793f26a0815d7958c3d7	"Afforestation with pines is a common practice in Mediterranean countries but the spacing employed is usually too dense to allow the growth of sufficient understory vegetation for profitable livestock grazing. In a 17-year-old Pinus pinaster Aiton plantation, established at a density of 1200 trees ha-1 in a semi-arid mediterranean environment of Macedonia, Greece, three degrees of thinning (control, 50% and 75% of trees removed), two levels of fertilisation (control and 1000 kg ha-1 of NPK fertiliser), and two grazing intensities (control and 0.8 sheep ha-1 year-1) were applied. All stands were seeded with 30 kg ha-1 of Dactylis glomerata L. seed. Measurements included cover and species composition, herbage production and nutrient content of the understory vegetation for three consecutive growing seasons. It was found that thinning and fertilisation significantly increased vegetative cover and herbage production by favouring the establishment of the seeded grass as well as other spontaneous species while a significant interaction also appeared between them. Grazing, however, significantly reduced understory vegetation. Applied nutrients were reduced by thinning and grazing while other nutrients such as Ca, Mg and Na were not affected by any treatment. It is concluded that thinning of dense P. pinaster stands up to 300 trees ha-1 and seeding palatable range grasses substantially improves grazing conditions for sheep. This improvement becomes impressive with NPK fertilisation, which increases herbage production and ameliorates its nutrient content even under fairly dense pine stands. Â© 1995."	77	01-Mar	121-125	"Fertilisation; Herbage production; Nutrient content; Pinus pinaster; Species composition; Thinning; Dactylis glomerata; fertilization; grazing; sheep; silvo-pastoralism; understorey vegetation; Greece, Macedonia"	Greece	Macedonia	41.06	22.53	Sheep		Silvopasture		Forest without grazing		Understory/pasture production		Decrease with increased tree density/cover/proximity								
Ovalle2006_669	Journal Article	2006	"Ovalle, Carlos; Del Pozo, Alejandro; Casado, Miguel A.; Acosta, Belen; de Miguel, Jose M."	Consequences of landscape heterogeneity on grassland diversity and productivity in the espinal agroforestry system of central Chile	Landscape Ecology	0921-2973	10.1007/s10980-005-3498-y	<Go to ISI>://WOS:000237487700010	"The current land use system in the anthropogenic savannas (Espinales) of the Mediterranean climate region of Chile, has resulted in considerable heterogeneity at the landscape level which is associated with different covers of the legume tree, Acacia caven. The effects of landscape heterogeneity on the diversity and productivity of herbaceous plant communities were studied in 29 plots of 1000 m(2), with a wide range of woody cover. A detrended correspondence analysis of the species x plots matrix explained 73% of the total variation and revealed the existence of two trends of variation in floristic composition: one associated with physiographic position (hillsides and flatlands) and the other related to the number of years since the last cutting, or coppicing, of A. caven. Despite the great majority of the original herbaceous species having disappeared as a result of the prevailing land use system, some native species have been able to survive especially on hillside areas with low grazing intensity. Woody cover was a good indicator of spatial heterogeneity and land use history. It was also correlated with stocking rate, above-ground biomass of herbaceous vegetation, and soil fertility (organic matter, nitrogen and phosphorus concentration), both on hillsides and flatlands. The relationship between woody cover and herbaceous plant species richness was significant and unimodal in flat land areas, and linear, and marginally significant, on hillsides. The consequences of land use changes on the conservation of the ecological and productive values of grasslands are analyzed."	21	4	238-244		Chile		-35.59	-72.17	Sheep		Wood pasture		Other	Espinales with fewer trees (cleared by humans)	Understory/pasture production		Positive	Soil organic matter		Positive					
Orefice2019_687	Journal Article	2019	"Orefice, Joseph; Smith, Richard G.; Carroll, John; Asbjornsen, Heidi; Howard, Theodore"	"Forage productivity and profitability in newly-established open pasture, silvopasture, and thinned forest production systems"	Agroforestry Systems	0167-4366	10.1007/s10457-016-0052-7	<Go to ISI>://WOS:000459755100005	"There is growing interest among farmers in the northeast US in silvopasture and other practices that would help them expand their agricultural land base in this forested region. Unfortunately, little quantitative data exist regarding forage performance and economic outcomes associated with different forest-to-agriculture conversion strategies, particularly for the northern tier of states. This research examined forage dry matter production and quality in six forage treatments (orchardgrass, bluegrass, brome, and perennial ryegrass bicultures with white clover; cut hay; and a control) in newly-established silvopastures and open pastures converted from an early successional northern hardwood forest in New York. In addition, we conducted a financial analysis of the establishment of both agricultural systems, as well as a thinned forest treatment managed solely for wood products. Total forage dry matter production (planted forages plus volunteer grasses) was greater in open pastures than silvopastures in the first year after establishment; however, no differences in total forage production were found between silvopastures and open pastures in June or August of the second year. Total forage dry matter production was greater in the orchardgrass-white clover biculture compared to the control treatment in both years. Orchardgrass percent crude protein was lower in open pastures (10.7%) compared to silvopastures (12.9%) in June of year two. The financial analysis indicated that silvopasture outperformed open pasture and thinned forest treatments in terms of both IRR and NPV. We conclude that forage production in silvopastures can be competitive with that in open pastures on sites with a similar, forested, starting condition."	93	1	37-43		USA	New York	44.35	-73.53	Cattle		Silvopasture		Pasture without trees		Understory/pasture production		No effect								Positive
