Report ID	Author	Publication Date	Title	Abstract [as written in original source- not edited for this systematic map]	Publication	Country	"LatDD,LonDD"	Production System/Sector	Commodity	Certification Standard	Population	Sampling Unit	Position in Supply Chain	Research Method	Expand on Mixed Methods and Other	Study Design	Social	Social	Economic	Environmental	Education	Poverty	Health and Safety	Nutrition	Gender	Wellbeing	Community Benefits and Development	Knowledge Exchange	Transparency	Management systems	Price Premium	Profitability 	Costs	Market Advantage	Yield	Good Production Practices (including good forest management)	Financial Security	Deforestation	Conservation and Biodiversity	Pollution	Soil Management	Water Management	Input Use	Post-harvest Practices
6597	"Bass, S.; Thornber, K.; Markopoulos, M.; Roberts, S.; Grieg-Gran, M."	2001	"Certification's impacts on forests, stakeholders and supply chains"	"This book contains 4 chapters which provide information on how forest certification could best contribute to sustainable development. The first chapter includes an introduction and concentrates on three fields of enquiry: how certification has impacted on community forestry and community forestry enterprise; how certification has helped improve responsible business practice in industrial forest product supply chains; and how certification has contributed the kinds of policy processes that lead to sustainable forest management. Chapter 2 presents a synthesis of case studies of certified community-based enterprises in Bolivia, Mexico, Papua New Guinea and Zambia, which are field assessments of the social, economic and environmental impacts of market-based certification. It highlights the main lessons and trends to emerge from the case studies, supplemented by analysis of additional literature and relevant experiences, and analyses stakeholder motivation for certification, the challenges and outcomes of certification. Chapter 3 looks at how certification has worked as a market-based tool in practice, examining mechanisms by which market demands for certified products translate into decisions by forest managers to certify. The last chapter on the other hand discusses the applications of certification categorized into three groups: market-oriented certification of forest products or forest environmental services; regulation-oriented verification to strengthen or complement forest law enforcement; and project- or institutional-oriented certification to verify that particular forestry goals or outcomes have been achieved."	Instruments for Sustainable Private Sector Forestry Series    	Papua New Guinea	"-6.315000, 143.9555 "	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Farms	Per-country	Producer	Mixed methods	"FSC database, interviews, literature reviews, field work"	Pre-post	No Data Reported	No Data Reported	Data Reported	No Data Reported												Data Reported				Data Reported 	Data Reported							
6597	"Bass, S.; Thornber, K.; Markopoulos, M.; Roberts, S.; Grieg-Gran, M."	2001	"Certification's impacts on forests, stakeholders and supply chains"	"This book contains 4 chapters which provide information on how forest certification could best contribute to sustainable development. The first chapter includes an introduction and concentrates on three fields of enquiry: how certification has impacted on community forestry and community forestry enterprise; how certification has helped improve responsible business practice in industrial forest product supply chains; and how certification has contributed the kinds of policy processes that lead to sustainable forest management. Chapter 2 presents a synthesis of case studies of certified community-based enterprises in Bolivia, Mexico, Papua New Guinea and Zambia, which are field assessments of the social, economic and environmental impacts of market-based certification. It highlights the main lessons and trends to emerge from the case studies, supplemented by analysis of additional literature and relevant experiences, and analyses stakeholder motivation for certification, the challenges and outcomes of certification. Chapter 3 looks at how certification has worked as a market-based tool in practice, examining mechanisms by which market demands for certified products translate into decisions by forest managers to certify. The last chapter on the other hand discusses the applications of certification categorized into three groups: market-oriented certification of forest products or forest environmental services; regulation-oriented verification to strengthen or complement forest law enforcement; and project- or institutional-oriented certification to verify that particular forestry goals or outcomes have been achieved."	Instruments for Sustainable Private Sector Forestry Series    	Zambia	"-13.133900, 27.849300"	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Farms	Per-country	Producer	Mixed methods	"FSC database, interviews, literature reviews, field work"	Pre-post	No Data Reported	No Data Reported	Data Reported	No Data Reported												Data Reported				Data Reported 	Data Reported							
5705	"Baumgartner U., Nguyen T.H."	2016	"Organic certification for shrimp value chains in Ca Mau, Vietnam: a means for improvement or an end in itself?"		" Environment, Development and Sustainability, 19: 987-1002. DOI 10.1007/s10668-016-9781-z"	Vietnam 	"14.0583, 108.2772"	Fishing	Shrimp	Naturland Organic Standard	Farms	Farmers	Producer	Mixed methods	Surveys and Interviews	Matched	Data Reported	Data Reported	Data Reported	Data Reported								Data Reported	Data Reported	Data Reported	Data Reported		Data Reported		Data Reported	Data Reported			Data Reported					
G13	"Becchetti, Leonardo; Costantino, Marco"	2008	The Effects of Fair Trade on Affiliated Producers: An Impact Analysis on Kenyan Farmers		World Development 36 5 823-842 DOI:10.1016/j.worlddev.2007.05.007	Kenya	"0.05, 37.64"	Agriculture	Mixed crops	Fair Trade; Rainforest Alliance; Organic	Farmers	Farmers	Producer	Household surveys	100 point questionnaire	Matched	Data Reported	Data Reported	Data Reported	No Data Reported						Data Reported					Data Reported	Data Reported					Data Reported							
1271	"Bellamy, A. S.; Svensson, O.; van den Brink, P. J.; Tedengren, M."	2016	What is in a label? Rainforest-Alliance certified banana production versus non-certified conventional banana production	"Export banana production in Latin America is pesticide intensive, receiving much negative publicity regarding human health problems and environmental degradation. The Rainforest Alliance (RA) certification scheme was established to certify farms that met a number of social, occupation health and environmental standards set by RA and their certifying body, the Sustainable Agriculture Network (SAN). This study was one of the first, independent studies of the environmental impact of some of the principles set by RA and SAN. The study focuses on insect and bird diversity as an indicator of ecosystem health. Five RA certified farms, six non-RA certified farms, and five organic certified farms were sampled. The data was analyzed with RDA multivariate analyses and Monte Carlo permutation tests. The results showed that RA certified farms had less insect diversity compared to non-RA certified farms and that both farm types had less insect diversity than organic farms. There was little difference between RA and non-RA certified farms with regards bird community composition. Thus, organic farming conserves biodiversity, while alternative environmental labels (e.g. a Rainforest alliance seal) may not have any visible positive effect on in-farm biodiversity. This study points to the need for improvements in SAN certification standards to achieve improved environmental conditions. å© 2016 The Authors."	Global Ecology and Conservation 7  39-48 DOI:10.1016/j.gecco.2016.05.002	Costa Rica	"9.9281, -84.0907"	Fruit	Banana	Rainforest Alliance; Organic	Farmers and Chiquita Brand International	Farmers	Producer	Field experiments	Insect and bird surveys	Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																			Data Reported				Data Reported	
5736	"Belton, B.; Haque, M. M.; Little, D. C.; Le Xuan, Sinh"	2011	Certifying catfish in Vietnam and Bangladesh: who will make the grade and will it matter?	"Certification is an increasingly pervasive form of market governance through which retailers and NGOs are able to exert control over producers of primary products in order to secure their commercial and institutional interests. This paper assesses the likely outcomes of emerging certification standards intended to govern production of a new global commodity, Pangasius catfish. This evaluation focuses on Pangasius producers in Vietnam and Bangladesh, and one of the key areas which standards seek to regulate; the environment. We conclude that certification is likely to result in greater differentiation and polarisation between larger and smaller farm operators and will increasingly act to exclude of the latter from access to Western European and North American markets, and that any local environmental gains produced may be of relatively minor significance."	Food Policy 36  289-299 DOI:10.1016/j.foodpol.2010.11.027	Bangladesh	"23.685000, 90.356300 "	Aquaculture	Fish	GLOBALG.A.P; Aquaculture certification council (ACC); Pangasius aquaculture dialogue (PAD)	Smallholders; Farms	Farms	Producer	N/A	N/A	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported												Data Reported								Data Reported 		Data Reported 		
5736	"Belton, B.; Haque, M. M.; Little, D. C.; Le Xuan, Sinh"	2011	Certifying catfish in Vietnam and Bangladesh: who will make the grade and will it matter?	"Certification is an increasingly pervasive form of market governance through which retailers and NGOs are able to exert control over producers of primary products in order to secure their commercial and institutional interests. This paper assesses the likely outcomes of emerging certification standards intended to govern production of a new global commodity, Pangasius catfish. This evaluation focuses on Pangasius producers in Vietnam and Bangladesh, and one of the key areas which standards seek to regulate; the environment. We conclude that certification is likely to result in greater differentiation and polarisation between larger and smaller farm operators and will increasingly act to exclude of the latter from access to Western European and North American markets, and that any local environmental gains produced may be of relatively minor significance."	Food Policy 36  289-299 DOI:10.1016/j.foodpol.2010.11.027	Vietnam 	"14.058300, 108.277200"	Aquaculture	Fish	GLOBALG.A.P; Aquaculture certification council (ACC); Pangasius aquaculture dialogue (PAD)	Smallholders; Farms	Farms	Producer	N/A	N/A	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported												Data Reported								Data Reported 		Data Reported 		
1059	"Blackman, A.; Goff, L.; Rivera Planter, M.; Planter, M. R."	2015	Does eco-certification stem tropical deforestation? Forest Stewardship Council certification in Mexico	"Since its creation more than two decades ago as a voluntary market-based approach to improving forest management, forest certification has proliferated rapidly in developing countries. Yet we know little about whether and under what conditions it affects deforestation. We use rich forest management unit-level panel data - including information on deforestation, certification, regulatory permitting, and geophysical and socioeconomic land characteristics - along with matched fixed effects models to identify the effect of Forest Stewardship Council (FSC) certification on deforestation in Mexico, the country with the third-highest number of FSC certifications in the developing world. We test for a variety of different temporal and subgroup effects but are unable to reject the null hypothesis that certification does not affect deforestation. Although these results do not indicate that FSC certification has no effect on forest management, they do suggest that its impact on deforestation may be limited."	Discussion Paper - Resources for the Future (RFF)   49-pp 	Mexico	"19.566500, -101.706800"	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Forest manageent Units	FMU's	Producer	Government data	N/A	Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																		Data Reported						
7474	"Blackman, A.; Naranjo, M. A."	2012	Does eco-certification have environmental benefits? Organic coffee in Costa Rica	"Eco-certification of coffee, timber and other high-value agricultural commodities is increasingly widespread. In principle, it can improve commodity producers' environmental performance, even in countries where state regulation is weak. But eco-certification will have limited environmental benefits if, as one would expect, it disproportionately selects for producers already meeting certification standards. Rigorous evaluations of the environmental effects of eco-certification in developing countries that control for selection bias are virtually nonexistent. To help fill this gap, we use detailed farm-level data to analyze the environmental impacts of organic coffee certification in central Costa Rica. We use propensity score matching to control for selection bias. We find that organic certification improves coffee growers' environmental performance. It significantly reduces chemical input use and increases adoption of some environmentally friendly management practices. å© 2012 Elsevier B.V."	Ecological Economics 83  58-66 DOI:10.1016/j.ecolecon.2012.08.001	Costa Rica	"9.91, -83.68"	Coffee	Coffee	Organic	Association	Farmers	Producer	Mixed methods	"Census data, GIS,"	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported																Data Reported							Data Reported	
G09	"Bolwig, Simon; Gibbon, Peter; Jones, Sam"	2009	The Economics of Smallholder Organic Contract Farming in Tropical Africa		World Development 37 6 1094-1104 DOI:10.1016/j.worlddev.2008.09.012	Uganda	"0.347596, 32.582520"	Coffee	Coffee	Organic	Smallholders	Smallholders	Producer	Mixed methods	Household survey and direct observations of practise	Matched	Data Reported	Data Reported	Data Reported	No Data Reported		Data Reported			Data Reported 						Data Reported	Data Reported			Data Reported									
1346	"Camino, R. de; Alfaro, M., To"	1998	Certification in Latin America: Experience To Date	"Based on a study of certified forest management units in Central America, and a detailed case study from Brazil, this paper presents some of the positive and negative aspects of certification as experienced by the various actors involved. There is growing interest in certification across Central America and initiatives to define nationally-appropriate criteria and indicators are being established in many countries. It is clear that it is generally the most innovative forest owners who have become certified. For most, sustainability was already a key objective for their forest management so that the additional cost involved in becoming certified was marginal. The process of certification promoted by the Forest Stewardship Council is generally seen as a useful one, resulting in improvements to technical forest management, better relations with workers and with local authorities, and access to new markets. Nevertheless, the process is also criticised for being too dominated by Northern certification bodies with the quality of certification teams being variable from one place to another. The increasing competition between certification bodies raises questions about the potential conflict between running a business and maintaining consistent standards of certification. Other issues raised concern the perceived dominance of a Northern conservationist paradigm (both amongst NGOs and donors) which is seen to put environmental interests above business reality, is reluctant to assist private forest companies in becoming certified, and would prefer no operations in primary forest to be certified."	"RDFN Network Paper 23c, Rural Development Forestry Network,ODI      "	Brazil	"-15.7942,-47.8822"	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Forest management Units	FMU's	Producer	Interviews 	N/A	Pre-post 	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported							Data Reported	Data Reported							Data Reported		Data Reported	Data Reported	Data Reported		Data Reported 		Data Reported
8976	"Carter, D. R.; Merry, F. D."	1998	The nature and status of certification in the United States	"Forest certification has been promoted as a market-based incentive for improved forest management. Indeed, U.S. producers are increasingly interested in whether they should become certified. However, the economic and market implications, as well as the current nature and status of certified wood markets in the United States, are not well understood. A review indicates that producers face both direct and indirect costs associated with adoption. These costs are expected to be covered by increased product prices, or the 'green' premium. The overall impact on market equilibrium though is uncertain. For example, widespread certification could force marginal forest land to go out of commercial production. Current production of certified wood in the United States is limited to four major producers. Although the market for certified wood is distributed throughout the United States, merchants of certified products are located primarily on the west coast. Sawn wood, flooring, S2S lumber, and wholesale furniture are the most popular items."	Forest Products Journal 48  23-23 	USA	"38.8951100, -77.0363700"	Forest sector	Timber 	Forest Stewardship Council (FSC)	Merchants	Merchants	Producer; Processor	Online surveys ; Questionnaire	Survey was mailed and phone calls to follow up	Pre-post	No Data Reported	Data Reported	Data Reported	No Data Reported								Data Reported 				Data Reported 		Data Reported										
2532	Cassio Franco Moreira; Elisabete A. de Nadai Fernandes;  Carlos Eduardo de Freitas Vian; 	2011	Coffee certification features in Brazil	"The market of certified agricultural products Data Reporteds every day. Developed countries demand information on the production system and the origin of the product concerning socioenvironmental sustainability and quality attributes. The consumer seeks to know how his/ her food has been produced. Certified products are more and more present at shops and supermarkets worldwide. In the coffee sector this also happens, and the Brazilian coffee is perhaps the most national developed agriculture sector regarding certification. Distinct coffee certification standards are present at the Brazilian coffee production, and the following are the main ones: Organic, FairTrade (FT), Utz Certified (UC), and Rain Forest Alliance (RA). However, each of these standards considers distinct aspects of coffee production and its respective products are in the market carried with different characteristics. The characterization of each certification standard as well as its exhibition to the producers and consumers is important so that they make their decision in a clear and conscious way. Coffee certification in Brazil has contributed to considerable social and environmental improvements in the production sector. Coffee certification in Brazil is still improving and its benefits are reaching society"	" Organizações Rurais & Agroindustriais, Lavras, v. 13, n. 3, p. 344-351"	Brazil	"-15.835420, -48.063619"	Coffee	Coffee	Various	Various		Producer			Overview of markets	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported													
13385	"Castellini C., Boggia A., Paolotti L., Thoma G.J. , Kim D.S."	2012	 Environmental Impacts and Life Cycle Analysis of Organic Meat Production and Processing.		" In. Wiley-Blackwell Department of Applied Biology, University of Perugia, Perugia, Italy Department of Economics and Appraisal, University of Perugia, Perugia, Italy Ralph E. Martin Department of Chemical Engineering, University of Arkansas, Fayetteville, AR, United States, pp. 113-136. DOI: 10.1002/9781118229088.ch7"	Italy 	"41.8719, 12.5674"	Livestock	Chicken	Organic	Farms	Farms	Producer	Field experiments		Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																			Data Reported			Data Reported		
