ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	LatDD	LonDD	Rural/Urban/Peri-Urban	Sample Size (n)	Is the Study about Cooking Sector?	Program Focus	Start Date of Intervention/Program	Study Start Date	Study Duration (Years)	Years Since Intervention (Sustainability Measure)	Synthesis Paper	Missing Data	"If Yes, Is There Accountability?"	Is Secondary Data Used?	Independently Measured Outcomes	Measured Outcomes - Social	Measured Outcomes - Economic	Measured Outcomes - Environmental	Drivers/Barriers Data Present?	Characteristics of Setting - Drivers	Characteristics of Setting - Barriers	"Knowledge and Perception, Information - Drivers"	"Knowledge and Perception, Information - Barriers"	Technology Characteristics - Drivers	Technology Characteristics - Barriers	"Financial, Tax and Subsidy Aspects - Drivers"	"Financial, Tax and Subsidy Aspects - Barriers"	"Regulation, Legislation and Standards - Drivers"	"Regulation, Legislation and Standards - Barriers"	Market Development - Drivers	Market Development - Barriers	Programmatic and Policy Mechanisms - Drivers	Programmatic and Policy Mechanisms - Barriers	Other - Drivers	Other - Barriers	Poverty - Drivers	Poverty - Barriers	Gender - Drivers	Gender - Barriers
393	Journal Article	2018	"Evans, W. D.; Johnson, M.; Jagoe, K.; Charron, D.; Young, B. N.; Mashiur Rahman, A. S. M.; Omolloh, D.; Ipe, J."	Evaluation of behavior change communication campaigns to promote modern cookstove purchase and use in lower middle income countries	International Journal of Environmental Research and Public Health	16617827 (ISSN)	10.3390/ijerph15010011	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038918527&doi=10.3390%2fijerph15010011&partnerID=40&md5=1f97cf6fffe5b8d264f7d0f39457b70f; https://res.mdpi.com/d_attachment/ijerph/ijerph-15-00011/article_deploy/ijerph-15-00011-v2.pdf	"Nearly three billion people worldwide burn solid fuels and kerosene in open fires and inefficient stoves to cook, light, and heat their homes. Cleaner-burning stoves reduce emissions and can have positive health, climate, and women's empowerment benefits. This article reports on the protocol and baseline data from the evaluation of four behavior change communication (BCC) campaigns carried out in lower to middle income countries aimed at promoting the sale and use of cleaner-burning stoves. Interventions implemented in Bangladesh, Kenya, and Nigeria are using a range of BCC methods including mass media, digital media, outdoor advertising, and inter-personal communication. The mixed methods evaluation comprises three large-scale surveys: one pre-BCC and two follow-ups, along with smaller scale assessments of stove uptake and patterns of use. Baseline results revealed varying levels of awareness of previous promotions and positive attitudes and beliefs about modern (i.e., relatively clean-burning) cookstoves. Differences in cookstove preferences and behaviors by gender, socio-demographics, media use, and country/region were observed that may affect outcomes. Across all three countries, cost (lack of funds) a key perceived barrier to buying a cleaner-burning stove. Future multivariate analyses will examine potential dose-response effects of BCC on cookstove uptake and patterns of use. BCC campaigns have the potential to promote modern cookstoves at scale. More research on campaign effectiveness is needed, and on how to optimize messages and channels. This evaluation builds on a limited evidence base in the field. √´¬© 2017 by the authors. Licensee MDPI, Basel, Switzerland."	15	1		"Bangladesh; Behavior change communication; Kenya; Low and middle income countries; Modern cookstoves; Nigeria; Outcome evaluation; Public health; Social marketing; charcoal; kerosene; liquefied petroleum gas; communication behavior; cooking appliance; preference behavior; adult; advertising; Article; attitude to health; behavior change; cleaner burning stove; controlled study; family health; female; groups by age; health behavior; health survey; household; human; interpersonal communication; low income country; male; mass medium; middle income country; public health campaign; cooking; devices; equipment design; health promotion; indoor air pollution; Internet; middle aged; poverty; prevention and control; procedures; Air Pollution, Indoor; Communication; Household Articles; Humans"				Not Reported	0	Y	Cookstoves					N				NR 				Neither																				
412	Journal Article	2018	"Diaz, P.; van Vliet, O."	Drivers and risks for renewable energy developments in mountain regions: a case of a pilot photovoltaic project in the Swiss Alps	Energy Sustainability and Society	2192-0567	10.1186/s13705-018-0168-x	https://energsustainsoc.biomedcentral.com/track/pdf/10.1186/s13705-018-0168-x	"Background: When renewable policies are in place, the mismatch between policy targets and lack of technology diffusion indicates a gap between codifying a policy and implementing it. In Switzerland, photovoltaic (PV) electricity is seen to play a major role in the future. Stakeholders' opinions in the implementation of photovoltaic projects may block or delay the achievement of renewable policy goals. This paper explores the question: which are the main drivers and risks perceived by stakeholders at different levels of the government in the implementation of a pilot PV project? Methods: We study a decision-making process of a pilot project in the Swiss Alps to figure out which determinants explain the public opposition to such implementation. We study five types of determinants of public acceptance: economy, technology, environment, social aspects, and the policy process. We use Q methodology, which is especially suited to determine the different interests of stakeholders' groups. Results: Our results show four different perspectives: ""Mainstream proponents,"" ""Ecologically wary,"" ""Worried about implementation,"" and ""Looking for cantonal and national backing."" The results indicate that the photovoltaics' acceptance was highly driven by the potential contribution of the project to the regional economy. However, economy and technology determinants elicited both the highest and the lowest statistical consensus among perspectives (z-score). Our results point out the important role of initiators to maintain trust during the decision-making process. Finally, stakeholders in the photovoltaic project wanted to have fluent access to concrete information about the project and its future plans. Conclusions: Most of the implementation risks observed are determinants of acceptance related to economic aspects and the policy process. Characteristics of the decision-making process, such as trust during the process, affect the perceived outcomes of the project. Aspects of the decision-making process may, therefore, turn into risks for the project's implementation. Results also suggest that techno-economic assessments are key drivers to fostering energy transitions, but they are not sufficient in themselves. Initiators have to consider enhancing communication since the early steps of the policy process, the intelligence and promotion phases to avoid implementation risks."	8			Q methodology; Stakeholder; Risk perception; Policy implementation; Photovoltaic (PV) power; Switzerland; APPLYING Q-METHODOLOGY; PUBLIC-PARTICIPATION; DECISION-MAKING; POLICY; ACCEPTANCE; PERSPECTIVES; IMPLEMENTATION; SWITZERLAND; PERCEPTIONS; LANDSCAPE	Switzerland	46.98	9.76	Rural	43	N	Energy - Fuel Transition	2011	NR	NR	NR	N	N	NA	N	NR 				Drivers and Barriers			Perceived environmental are indicators to be used in the promotion and codification phases of policy implementation				Economic value gain for village was a driver to support project	Implementation risks observed are determinants of acceptance related to economic aspects and the policy process of project						Implementation risks observed are determinants of acceptance related to economic aspects and the policy process of project						
414	Journal Article	2017	"Debajit, P.; Ramit, M.; Sanjay, M."	Enhancing viability of biofuel-based decentralized power projects for rural electrification in India	"Environment, Development and Sustainability"	1387-585X	http://dx.doi.org/10.1007/s10668-015-9720-4	http://rd.springer.com/journal/10668; https://link.springer.com/article/10.1007%2Fs10668-015-9720-4	"Decentralized power generation, using locally available biofuels from non-edible oilseeds, is an option for rural electrification in many developing countries. However, due to prevailing high price of non-edible oilseeds, such as Jatropha curcas, the cost of electricity generation is very high. This paper provides detailed financial analysis of straight vegetable oil (SVO)-based decentralized power project and proposes an innovative model for enhancing their financial viability. While for implementing agency operational cost recovery is the key for viability, affordable tariff is crucial for end-users. The paper attempts to estimate minimum desired price of electricity from the stakeholders' (producer and users) perspective using data gathered from selected operational SVO-based power generation projects in India. Analysis carried out in this paper indicates that operating the decentralized power plant at higher capacity utilization factor, by introduction of productive load, and differentiated tariffs for commercial and domestic consumers may not alone be sufficient to achieve the financial viability. The paper proposes an innovative integrated model of using biogas, obtained from the by-product de-oiled cake of non-edible oilseeds, as a feedstock for power generation, instead of using the SVO in engines. This reduces the fuel cost of power generation, thereby helping to bring down the tariff within the paying capacity of rural consumers. The main produce, viz. extracted non-edible oil, which was otherwise used as fuel for generating power, can be sold in local market for earning revenue, thereby enhancing the project's economic viability. This paper sets forth the proposed integrated model as a viable biofuel-based decentralized power project for sustainable rural development in areas with adequate availability of oilseeds."	19	1	263-283	biofuels; biogas; decentralization; economic viability; electricity generation; electricity supplies; energy sources; models; prices; rural areas	India	28.53	77.07	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
425	Journal Article	2018	"Coelho, S.T.; Sanches-Pereira, A.; Tudeschini, L.G.; Goldemberg, J."	The energy transition history of fuelwood replacement for liquefied petroleum gas in Brazilian households from 1920 to 2016	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2018.08.041	http://www.sciencedirect.com/science/article/pii/S030142151830569X; https://www.sciencedirect.com/science/article/pii/S030142151830569X?via%3Dihub	"In Brazil, there are almost ten million people relying on traditional use of biomass for cooking, which correspond to about five percent of the country's population. The vast majority lives in poor municipalities away from urban centers. The replacement of fuelwood for LPG is the result of an intense urbanization process and governmental intervention based on price regulation and subsidies. In 2015, the energy demand for cooking in the Brazilian households was 46 TJ, LPG covered 51% of the demand and the remaining 49% relied on fuelwood to supply the demand for energy. This study shows that there are enormous variations in the level of consumption and the types of fuels used due to the regional complexity of Brazil. In addition, it also shows the transition from fuelwood for cooking to modern fuels such as LPG does follow a consistent pattern in Brazil. Decisions related to energy consumption and fuel type are strongly influenced by accessibility, affordability and the convenience of the fuel."	123		41-52	Energy transition; Affordable energy; Fuelwood; LPG; Energy poverty; Brazil	Brazil	-15.783333	-47.866667	Not Reported	0	Y	Energy - Fuel Transition	1973	2018			Y	NR		Y	Economic		Fuel Price [Worsened]; Fuel Use [Improved]		Drivers and Barriers					convenience & accessibility of the fuel	LPG price increases		affordability - once subsidy program finished	increases in minimum wage and governmental fuel and social policies	Governmental cuts of social policies _ especially in the direct income transfer program _ have also fostered the return to fuelwood in low-income groups.										
426	Journal Article	2013	"Coelho, S.T.; Goldemberg, J."	Energy access: Lessons learned in Brazil and perspectives for replication in other developing countries	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2013.05.062	http://www.sciencedirect.com/science/article/pii/S030142151300414X; https://www.sciencedirect.com/science/article/pii/S030142151300414X?via%3Dihub	"Energy access has been singled out by the AGECC in 2010 as one of the important problems to be tackled in the next few decades in a world where 1.3 billion people do not have access to electricity and 2.7 use primitive fuels - mainly fuel wood - for cooking and heating. To solve such problems, innumerous small scale projects have been implemented around the world either on the improvement of cooking stoves, biogas and others, as well as in generating electricity in decentralized systems. We discuss here the _√ë√ílarge scale approach_√ë¬ù to solve these problems in Brazil through the introduction of LPG (liquid petroleum gas) in Brazil 70 years ago, all over the country, as a cooking fuel that replaced significantly the use of fuel wood in rural areas. In addition to that, we describe the governmental program (Luz para Todos - LPT - Light for all) introduced more recently to extend the electricity grid to around 10 million people, reducing considerably the number of people without access to electricity in the rural areas of the country. Such experiences and the corresponding lessons learned could be replicated in other developing countries, contributing significantly to poverty alleviation."	61		1088-1096	Developing countries; Energy access; Energy for productive uses	Brazil	-15.798374	-47.880376	Urban Peri-Urban and Rural	0	Y	Energy - Other					Y				NR 				Neither																				
440	Journal Article	2018	"Chang, K. C.; Lin, W. M.; Chung, K. M."	A lesson learned from the long-term subsidy program for solar water heaters in Taiwan	Sustainable Cities and Society	22106707 (ISSN)	10.1016/j.scs.2018.06.012	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049352920&doi=10.1016%2fj.scs.2018.06.012&partnerID=40&md5=700bbc7a9a8de92b4a0ec2e1e24f03e2; https://www.sciencedirect.com/science/article/abs/pii/S2210670717305681?via%3Dihub	"The use of renewable energy is vital if carbon emissions are to be reduced worldwide. Solar water heaters (SWHs) are a mature technology and the Taiwanese government has supported purchase-based subsidy programs during the last three decades. Some regional programs have also been implemented. The historical data shows that these programs definitely have a strong impact on the local market and the uptake of SWHs. However, the effectiveness of the long-term subsidy program is subject of debate. This paper comprehensively reviews the long-term subsidy program (2000-2015) in the local market. The dominant factors for the dissemination of SWHs include financial incentives, economy of scale, housing status and economic aspects. Upon the termination of the current program, the enforcement of the _√ë√íGreenhouse Gas Emission Reduction and Management Act_√ë¬ù is expected to be the key driver for a sustainable SWH industry. √´¬© 2018 Elsevier Ltd"	41		810-815	Solar thermal; Solar water heater; Subsidy; Taiwan; Commerce; Emission control; Gas emissions; Greenhouse gases; Water heaters; Economic aspects; Financial incentives; Greenhouse gas emission reduction; Regional projects; Use of renewable energies; Solar water heaters	Taiwan	25.04	121.57	Not Reported	322986	N	Energy - Other	2001	2001	15	NR	N	Y	N	Y	Economic		Subsidies [Improved]		Drivers	Type of architecture and the completion of housing construction		"Public attitude to SWHs is also based on word of mouth and is affected by quality control and technical guarantees/support, even though there is greater initial capital cost."		"Public attitude to SWHs is also based on word of mouth and is affected by quality control and technical guarantees/support, even though there is greater initial capital cost."		The decision for a household to purchase an SWH depends on the household√çs disposable income.				"Public attitude to SWHs is also based on word of mouth and is affected by quality control and technical guarantees/support, even though there is greater initial capital cost."									
442	Journal Article	2018	"Catalan-Vazquez, M.; Fernandez-Plata, R.; Martinez-Briseno, D.; Pelcastre-Villafuerte, B.; Riojas-Rodriguez, H.; Suarez-Gonzalez, L.; Perez-Padilla, R.; Schilmann, A."	Factors that enable or limit the sustained use of improved firewood cookstoves: qualitative findings eight years after an intervention in rural Mexico	PLoS ONE	1932-6203	http://dx.doi.org/10.1371/journal.pone.0193238	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0193238; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5821362/pdf/pone.0193238.pdf	"Objective: The aim of this study was to analyze the factors enabling/limiting the use of improved cookstoves among rural fuel wood users from one mestizo and two indigenous communities eight years after an intervention in the state of Michoacan, in Mexico. Methods: A qualitative study with an ethnographic perspective was conducted in 2013/2014 based on 62 interviews with women who had participated in an improved firewood cookstove program in 2005. Thematic qualitative content analysis was performed. Results: Very few women from the indigenous communities were using the improved cookstove at the time of the study; the majority had dismantled or had ceased using it; whereas most of those from the mestizo community were using it for all of their cooking activities. In the indigenous communities, characterized by extended families, uptake of new technology was limited by traditional routine practices, rearrangement of rooms in the house, attachment to the traditional stove, a low- or non-risk perception of woodsmoke; gender relations, insufficient training, non-compliance with program recommendations and design-related aspects. Conversely, in the mestizo community, the uptake of the improved cookstove was favored by routine cooking practices in a nuclear family, a previous use of a raised cookstove and social representations on the health-disease-death effects of woodsmoke vs. the health benefits of cooking with improved stoves. The sociocultural dimension of communities and the cookstove design are aspects that either favor or limit the use of improved cookstoves in indigenous and mestizo populations. Conclusions: Effective cookstove programs must take these elements into account from their early planning stages, and blend them into implementation and follow-up. Project communication, training and differentiated follow-up activities ensuring the operation and maintenance of the cookstove, should be designed according to the specific needs and traditions of each community; they should be based on the preferences and needs of the users."	13	2	e0193238	cooking; dwellings; effects; follow up; fuelwood; guidelines; health; planning; rural areas; sociology; technology; uptake; women	Mexico	19.62	-102.22	Rural	62	Y	Cookstoves	2005	2005	2	7	N	Y	N	Y	Social and Environmental	Human Health and Wellbeing [Improved]; Convenience [Improved]		Environmental Pollution [Improved]	Drivers and Barriers	Improved cookstove does not release smoke				Functions with a small amount of firewood. Allows for cooking different foods simultaneously. Keeps pots and pans clean.	Stove design was unsatisfactory. Stove was made of low quality materials. 								Program follow-up was not implemented.					Improved Cookstove does not require consent from husband	Husband or in-laws had an adverse opinion of the stove. Program was implemented by men.
444	Journal Article	2018	"Carrion, D.; Dwommoh, R.; Tawiah, T.; Agyei, O.; Agbokey, F.; Twumasi, M.; Mujtaba, M.; Jack, D.; Asante, K. P."	Enhancing LPG adoption in Ghana (ELAG): A factorial cluster-randomized controlled trial to Enhance LPG Adoption & Sustained use	BMC Public Health	14712458 (ISSN)	10.1186/s12889-018-5622-3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048000744&doi=10.1186%2fs12889-018-5622-3&partnerID=40&md5=9540ecf8ebdc9448b65d89d10493f765; https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-018-5622-3	"Background: Three billion individuals worldwide rely on biomass fuel [dung, wood, crops] for cooking and heating. Further, health conditions resulting from household air pollution (HAP) are responsible for approximately 3.9 million premature deaths each year. Though transition away from traditional biomass stoves is projected curb the health effects of HAP by mitigating exposure, the benefits of newer clean cookstove technologies can only be fully realized if use of these new stoves is exclusive and sustained. However, the conditions under which individuals adopt and sustain use of clean cookstoves is not well understood. Methods: The Enhancing LPG Adoption in Ghana (ELAG) study is a cluster-randomized controlled trial employing a factorial intervention design. The first component is a behavior change intervention based on the Risks, Attitudes, Norms, Abilities, and Self-regulation (RANAS) model. This intervention seeks to align these five behavioral factors with clean cookstove adoption and sustained use. A second intervention is access-related and will improve LPG availability by offering a direct-delivery refueling service. These two interventions will be integrated via a factorial design whereby 27 communities are assigned to one of the following: the control arm, the educational intervention, the delivery, or a combined intervention. Intervention allocation is determined by a covariate-constrained randomization approach. After intervention, approximately 900 households' individual fuel use is tracked for 12 months via iButton stove use monitors. Analysis will include hierarchical linear models used to compare intervention households' fuel use to control households. Discussion: Literature to-date demonstrates that recipients of improved cookstoves rarely completely adopt the new technology. Instead, they often practice partial adoption (fuel stacking). Consequently, interventions are needed to influence adoption patterns and simultaneously to understand drivers of fuel adoption. Ensuring uptake, adoption, and sustained use of improved cookstove technologies can then lead to HAP-reductions and consequent improvements in public health. Trial registration: NCT03352830 (November 24, 2017). √´¬© 2018 The Author(s)."	18	1		"Behavioral intervention; Biomass combustion; Clean cookstove adoption; Clean cookstoves; Household air pollution; Structural intervention; Sustained use; adoption; adult; air pollution; article; autoregulation; behavior change; biomass; case report; clinical article; combustion; driver; factorial design; female; Ghana; household; human; human experiment; male; public health; randomization; randomized controlled trial; recipient; registration; consumer attitude; controlled study; cooking; devices; equipment design; family size; indoor air pollution; methodology; prevention and control; statistics and numerical data; technology; trends; petroleum; Air Pollution, Indoor; Consumer Behavior; Family Characteristics; Household Articles; Humans; Research Design"	Ghana	8.05	-1.73	Rural	979	Y	Energy - Other	2017	2017	1	NR	N	Y	N	N	NR 				Neither																				
446	Journal Article	2018	"Capellan-Perez, I.; Campos-Celador, A.; Teres-Zubiaga, J."	Renewable Energy Cooperatives as an instrument towards the energy transition in Spain	Energy Policy	03014215 (ISSN)	10.1016/j.enpol.2018.08.064	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053005103&doi=10.1016%2fj.enpol.2018.08.064&partnerID=40&md5=dc5af60eaa63575b0db5eee1fc1850f6; https://www.sciencedirect.com/science/article/pii/S0301421518305937?via%3Dihub	"Renewable Energy Sources (RES) offer a key transformative potential from a social point of view due to their modularity and capacity to generate energy at local level, allowing for the development of democratic and participative bottom-up initiatives. Spanish RES cooperatives, unlike other European countries, are few in number. Here, we review their development by applying the Multi-Level Perspective approach. Spanish RES cooperatives have recently come up against a hostile regulatory and economic context, which has induced specific organizational and operating structures such as the application of innovative participation methods and investment tools. Spanish RES cooperatives regularly collaborate in sharing learning processes and experiences, having also demonstrated their capacity to spread new ideas at both social and political levels. However, despite their growth and territorial spread over the last few years, RES cooperatives still have a minor presence in the Spanish energy system. Although some internal factors may limit their potential as an active instrument towards the transition to RES in the country, the regime's resistance is found to be the main barrier. This paper concludes with some recommendations for policy makers and RES cooperatives to enhance its potential role in the forthcoming energy transition process. √´¬© 2018 Elsevier Ltd"	123		215-229	Community energy; Energy democracy; Renewable energy cooperatives; Spain; Transition to renewable energies; Renewable energy resources; European Countries; Participation methods; Perspective approach; Renewable energies; Renewable energy source; Investments; alternative energy; democracy; learning; policy making	Spain	40.4168	-3.703	Not Reported	0	N	Energy - Other					Y				NR 				Neither																				
457	Journal Article	2015	"Brouwer, R.; Job, F. C.; van der Kroon, B.; Johnston, R."	Comparing Willingness to Pay for Improved Drinking-Water Quality Using Stated Preference Methods in Rural and Urban Kenya	Applied Health Economics and Health Policy	11755652 (ISSN)	10.1007/s40258-014-0137-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943588526&doi=10.1007%2fs40258-014-0137-2&partnerID=40&md5=f4e0b739d5c406781b7ce0a8c10481a0; https://link.springer.com/article/10.1007%2Fs40258-014-0137-2	"Methods: A choice experiment (CE) was used to assess the value attached to the characteristics of a new GDM filter before marketing in urban and rural Kenya. The CE was followed by a contingent valuation (CV) question. Differences in willingness to pay (WTP) for the same filter design were tested between methods, as well as urban and rural samples. Results: The CV follow-up approach produces more conservative and statistically more efficient WTP values than the CE, with only limited indications of anchoring. The effect of the new filter technology on children with diarrhea is among the most important drivers behind choice behavior and WTP in both areas. The urban sample is willing to pay more in absolute terms than the rural sample irrespective of the valuation method. Rural households are more price sensitive, and willing to pay more in relative terms compared with disposable household income. Conclusion: A differentiated marketing strategy across rural and urban areas is expected to increase uptake and diffusion of the new filter technology. Background: Access to safe drinking water has been on the global agenda for decades. The key to safe drinking water is found in household water treatment and safe storage systems. Objective: In this study, we assessed rural and urban household demand for a new gravity-driven membrane (GDM) drinking-water filter. √´¬© 2014, Springer International Publishing Switzerland."	13	1	81-94	"drinking water; adult; Article; contingent valuation; diarrhea; economic evaluation; female; filter design; follow up; gravity driven membrane filter; household; human; Kenya; male; marketing; membrane filter; rural area; technology; urban area; urban rural difference; water quality; water treatment; comparative study; economics; filtration; micropore filter; rural population; socioeconomics; standards; statistical model; statistics and numerical data; urban population; Humans; Micropore Filters; Models, Statistical; Socioeconomic Factors"	Kenya	-0.29	36.09	Urban and Rural	300	N	Water	2012	2012	1	NR	N	Y	N	N	NR 				Neither																				
492	Journal Article	2016	"Banerjee, M.; Prasad, R.; Rehman, I.H.; Gill, B."	Induction stoves as an option for clean cooking in rural India	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2015.10.021	http://www.sciencedirect.com/science/article/pii/S030142151530149X; https://www.sciencedirect.com/science/article/pii/S030142151530149X?via%3Dihub	"As part of a programme on _√ë√âaccess to clean cooking alternatives in rural India', induction stoves were introduced in nearly 4000 rural households in Himachal Pradesh, one of the few highly electrified states in India. Analysis of primary usage information from 1000 rural households revealed that electricity majorly replaced Liquid Petroleum Gas (LPG), generally used as a secondary cooking fuel, but did not influence a similar shift from traditional mud stoves as the primary cooking technology. Likewise, the shift from firewood to electricity as a primary cooking fuel was observed in only 5% of the households studied. Country level analysis indicates that rural households falling in lower monthly per capita expenditure (MPCE) classes have lesser access to electricity and clean cooking options than those falling in higher MPCE classes. Again, only three states in India with high levels of rural household electrification report consumption statuses more than 82kWh per month (the estimated mean for electricity consumption by induction stoves). Overall, the results of the study indicate that induction stoves will have limited potential in reducing the consumption of firewood and LPG if included in energy access programmes, that too only in regions where high levels of electrification exist."	88		159-167	Clean cooking; Induction stoves; Electricity; Cooking fuel; Modern energy access; Household survey	India	31.8	75.05	Rural	1020	Y	Energy - Fuel Transition	NR	NR	NR	1	N	Y	Y	N	Social and Economic	Drudgery [Improved]	Fuel Use [Improved]; Cost Saving [Improved]		Barriers		"Only 11% of total households reported cooking chapattis on the induction stove, even though chapattis are an integral part of the local diet"						Fear of higher electricity bills was most prominent reason for not using induction stoves regularly.								"For 30%, irregular use was the result of inadequate voltage supply"				
492	Journal Article	2016	"Banerjee, M.; Prasad, R.; Rehman, I.H.; Gill, B."	Induction stoves as an option for clean cooking in rural India	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2015.10.021	http://www.sciencedirect.com/science/article/pii/S030142151530149X; https://www.sciencedirect.com/science/article/pii/S030142151530149X?via%3Dihub	"As part of a programme on _√ë√âaccess to clean cooking alternatives in rural India', induction stoves were introduced in nearly 4000 rural households in Himachal Pradesh, one of the few highly electrified states in India. Analysis of primary usage information from 1000 rural households revealed that electricity majorly replaced Liquid Petroleum Gas (LPG), generally used as a secondary cooking fuel, but did not influence a similar shift from traditional mud stoves as the primary cooking technology. Likewise, the shift from firewood to electricity as a primary cooking fuel was observed in only 5% of the households studied. Country level analysis indicates that rural households falling in lower monthly per capita expenditure (MPCE) classes have lesser access to electricity and clean cooking options than those falling in higher MPCE classes. Again, only three states in India with high levels of rural household electrification report consumption statuses more than 82kWh per month (the estimated mean for electricity consumption by induction stoves). Overall, the results of the study indicate that induction stoves will have limited potential in reducing the consumption of firewood and LPG if included in energy access programmes, that too only in regions where high levels of electrification exist."	88		159-167	Clean cooking; Induction stoves; Electricity; Cooking fuel; Modern energy access; Household survey	India	31.8	75.05	Rural	1020	Y	Cookstoves	NR	NR	NR	1	N	Y	Y	N	Social and Economic	Drudgery [Improved]	Fuel Use [Improved]; Cost Saving [Improved]		Barriers		"Only 11% of total households reported cooking chapattis on the induction stove, even though chapattis are an integral part of the local diet"						Fear of higher electricity bills was most prominent reason for not using induction stoves regularly.								"For 30%, irregular use was the result of inadequate voltage supply"				
502	Journal Article	2019	"Astuti, S.P.; Day, R.; Emery, S.B."	"A successful fuel transition? Regulatory instruments, markets, and social acceptance in the adoption of modern LPG cooking devices in Indonesia"	Energy Research & Social Science	2214-6296	https://doi.org/10.1016/j.erss.2019.101248	http://www.sciencedirect.com/science/article/pii/S2214629618312027; https://www.sciencedirect.com/science/article/pii/S2214629618312027?via%3Dihub	"In 2004, almost half of Indonesian society was dependent on firewood for fuel. Following the implementation of a policy to substitute kerosene use with Liquefied Petroleum Gas (LPG) in 2007, there was a significant improvement in LPG use from 10.5 percent to 47 percent of households, whilst kerosene use fell significantly from 36 to 9 percent from 2007 to 2011. There was also a 10 percent reduction in the number of households using firewood. This paper investigates LPG adoption by households who previously relied on kerosene and firewood from two perspectives: the institutional perspective, and social acceptance. Semi-structured interviews with representatives from central government to local government in addition to members of the public in six regions in Java and Sumatera were conducted. Findings indicate that the central government's commitment to implement the substitution policy_√ë√ìalongside effective regulatory instruments, financial support and infrastructure_√ë√ìwas critical to the success of the policy. Meanwhile, from a household perspective the reasons behind adoption of LPG were favourable prices, as the result of subsidies and incentives; energy market lock-in; social trust and norms; government communication and campaigns; and favourable appliance characteristics and/or kitchen design. However, there were also LPG resisters who maintained the use of firewood rather than adopting LPG. Safety concerns, cooking preferences and habitual practices were identified as the main determinants of LPG resistance. Understanding the reasons underlying cleaner fuel acceptance or resistance is essential for policy makers to determine successful regulatory pathways to improve fuel quality for better quality of life."	58		101248	Energy poverty; Modern energy; LPG; Fuel substitution; Social acceptance; Biomass; Indonesia; Energy subsidy	Indonesia	5.56	95.26	Urban Peri-Urban and Rural	44	Y	Energy - Fuel Transition	2007	2012	1	4	N	N		N	Social and Economic and Environmental	Convenience [Improved]; Human Health and Wellbeing [Improved]; Hygiene [Improved]	Cost Saving [Improved]	Emissions Within Homes [Improved]	Drivers and Barriers	Community leaders had strong positive influence in encouraging shift from kerosene and firewood to LPG - especially true in poorly educated communities where people needed help and explanation about using LPG from trusted social networks.; 			"During initial implementation, many reluctant to use LPG owing to higher perceived risk of explosion. ;"		"During initial implementation, many reluctant to use LPG owing to higher perceived risk of explosion"	"Government predicted - Replacing subsidised kerosene with subsidised LPG would save about IDR 126.5 billion, this was the primary driver for the subsidy transfer. ; Subsidisations (and resulting increasing affordability) of LPG and increasing price of Kerosene after implementation of policy left more people to prefer LPG usage over kerosene. ; "				Television adverts and leaflets helped shape positive image [of LPG] that influenced public opinion and adoption		Intensive and successful communication programme between national and local government instrumental in overcoming differing political affiliations as a major institutional barrier.; Intervention by the government to promote LPG apparently successfully attracted a significant proportion of people to adopt LPG. ;		Many people adopted LPG because they had little other choice - they were trapped in a specific energy market	"Cooking on an LPG stove unsuitable for cooking specific, traditional foods."				
