UID	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract	Volume	Issue	Pages	Publisher	Index Terms	State Code	LatDD	LonDD	Forest Type	Dominant Forest Tree Species	Age of Forest Area	Historical Forest Management	Forest Management Notes	Study Design	Multiple Studies?	Year of Study Start	Time Since Intervention	Study Duration	Replications	Controls	Management Intervention (High Level)	Managed for Wood Pellet Industry	Deadwood Extraction	Slash Extraction	Method of Sampling (High Level)	Type of Data Collected	Biodiversity Indicator	Negative Impact	Negative Impact by Species	Negative by Class
269	Report article	2006	"Hamel, P. B.; Staten, M.; Wishard, R."	"Initial cerulean warbler response to experimental silvicultural manipulations, Desha County, Arkansas"	"General Technical Report - Southern Research Station, USDA Forest Service"				http://www.srs.fs.usda.gov/pubs/gtr/gtr_srs092/gtr_srs092.pdf	"Cerulean warbler (Dendroica cerulea) is a neotropical migratory bird that has become a focus of management attention. Since 1992, we have studied breeding birds on a 54-ha site owned by Anderson-Tully Company, in Desha County, Arkansas, USA. In 2002, we conducted an unreplicated experiment there to assess the species' response to silvicultural manipulation within its habitat. We applied one of two sulvicultural prescriptions to randomly selected halves of the plot. Establishment criteria were that each half-plot be the same size and have had a comparable history of warbler use. Treatments were: (1) a standard Anderson-Tully Company prescription designed to establish regeneration, develop existing advance regeneration, and add growth to residual sawtimber trees; and (2) a prescription designed to add growth to residual sawtimber trees and favour development of trees similar to those used by the cerulean warbler. Our initial posttreatment survey identified three cerulean warbler territories on the subplot treated with the cerulean warbler prescription and none on the other portion."		SRS-92	03-Sep		habitats; natural regeneration; wild animals; forests; forest management; silviculture; wild birds; advance growth	AK	33.745	-91.15833	Unspecified			saw timber		BA	N	1992	2	12	0	0	Experimental silvicultral prescriptions	N	N	N	Spatial analysis	A	Birds	N		
268	Report article	2016	"Hamel, P. B.; Staten, M.; Souter, R.; Smith, C. G., III; Holland, G."	"Silviculture for a declining species, Cerulean Warbler: 10-year results of a pilot study in the Mississippi Alluvial Valley"	"General Technical Report - Southern Research Station, USDA Forest Service"				http://www.srs.fs.usda.gov/pubs/gtr/gtr_srs212.pdf	"We report on the current status of a long-term study of Cerulean Warbler (Setophaga cerulea) response to silviculture on a 58-ha tract in Desha County, Arkansas. The work involved a 10 year premanipulation monitoring of the birds on the tract, followed by implementation of a split plot comparison of alternative treatments, each applied to a randomly selected half of the original plot. We present results of the alternative treatments on warbler species occurrence, distribution and standing crop of canopy and subcanopy trees, and composition and abundance of advanced regeneration resulting from the manipulation applied in 2002-2004. Basal areas in the area managed by the Cerulean Warbler prescription were higher than those in area managed by a standard prescription. Advanced regeneration did not meet company standards for favored species on nearly 2/3 of the company treated area and almost 90 percent of the area treated with the Cerulean Warbler prescription. Interpretation of these values was complicated by lingering effects of a devastating 1994 ice storm. This necessarily unreplicated study serves as a pilot for later evaluation of a Cerulean Warbler silvicultural treatment. It is a cautionary tale because continuing decline of the Cerulean Warbler population introduces an unknown amount of uncertainty into interpretation of the response of the birds to the experimental manipulation; no Cerulean Warblers were recorded on the plot in the most recent survey. The study provides a basis to consider trade-offs in management for a resource that may be dominated by extra-ownership effects beyond the manager's control or manipulation."		SRS-212	122-131		monitoring; canopy; silviculture; regeneration; basal area	AK	33.745	-91.15833	Broadleaf	"Platanus occidentalis, Populus deltoides, Ulmus americana,Carya illinoiensis, Fraxinus pennsylvanica"		saw timber		BA	N	1992	11	23	0	0	Experimental silvicultral prescriptions	N	N	N	Spatial analysis	A	Vascular plants	N		
268	Report article	2016	"Hamel, P. B.; Staten, M.; Souter, R.; Smith, C. G., III; Holland, G."	"Silviculture for a declining species, Cerulean Warbler: 10-year results of a pilot study in the Mississippi Alluvial Valley"	"General Technical Report - Southern Research Station, USDA Forest Service"				http://www.srs.fs.usda.gov/pubs/gtr/gtr_srs212.pdf	"We report on the current status of a long-term study of Cerulean Warbler (Setophaga cerulea) response to silviculture on a 58-ha tract in Desha County, Arkansas. The work involved a 10 year premanipulation monitoring of the birds on the tract, followed by implementation of a split plot comparison of alternative treatments, each applied to a randomly selected half of the original plot. We present results of the alternative treatments on warbler species occurrence, distribution and standing crop of canopy and subcanopy trees, and composition and abundance of advanced regeneration resulting from the manipulation applied in 2002-2004. Basal areas in the area managed by the Cerulean Warbler prescription were higher than those in area managed by a standard prescription. Advanced regeneration did not meet company standards for favored species on nearly 2/3 of the company treated area and almost 90 percent of the area treated with the Cerulean Warbler prescription. Interpretation of these values was complicated by lingering effects of a devastating 1994 ice storm. This necessarily unreplicated study serves as a pilot for later evaluation of a Cerulean Warbler silvicultural treatment. It is a cautionary tale because continuing decline of the Cerulean Warbler population introduces an unknown amount of uncertainty into interpretation of the response of the birds to the experimental manipulation; no Cerulean Warblers were recorded on the plot in the most recent survey. The study provides a basis to consider trade-offs in management for a resource that may be dominated by extra-ownership effects beyond the manager's control or manipulation."		SRS-212	122-131		monitoring; canopy; silviculture; regeneration; basal area	AK	33.745	-91.15833	Broadleaf	"Platanus occidentalis, Populus deltoides, Ulmus americana,Carya illinoiensis, Fraxinus pennsylvanica"		saw timber		BA	N	1992	11	23	0	0	Experimental silvicultral prescriptions	N	N	N	Spatial analysis	A	Birds	N		
270	Report article	2010	"Hamel, P. B.; Staten, M.; Wishard, R.; Smith, C. G., III"	"Cerulean Warbler response to silvicultural manipulations on managed forestland in Desha Co., Arkansas, third year results"	"General Technical Report - Southern Research Station, USDA Forest Service"				http://www.srs.fs.fed.us/pubs/gtr/gtr_srs121/gtr_srs121_475.pdf	"Cerulean Warbler is a Nearctic-Neotropical migratory bird in need of management attention for which only rudiments of a silvicultural prescription exist. Since 1992, we have monitored breeding populations of this and other canopy-dwelling warbler species on a 54-ha site in Desha County, AR, owned and managed by Anderson-Tully Co. for production of high quality sawtimber. We instituted an experiment in 2002 to assess the response of this species to alternative silvicultural treatments. We split the site in two plots of equal area and with similar histories of use by Cerulean Warblers, and we randomly assigned one of two prescriptions to each plot. The treatments were (1) a standard Company prescription designed to favor development of sawtimber trees and (2) a ""Cerulean Warbler prescription"" (CWP), designed to favor development of large sawtimber trees for use as song perches by male Cerulean Warblers and large shade-tolerant trees in the midstory as potential Cerulean Warbler nest trees. Harvesting was completed in winter 2004. Survey of Cerulean Warbler response in 2006 indicated that the birds have begun breeding on portions of the CWP plot. At least three males, two of whom attracted females, established and defended territories on and adjacent to the CWP plot."		SRS-121	475-479		silviculture; production; harvesting; silvicultural conversion	AK	33.745	-91.15833	Unspecified	"Platanus occidentalis, Populus deltoides, Ulmus americana,Carya illinoiensis, Fraxinus pennsylvanica"		saw timber		BA	N	1992	5	15	0	0	Experimental silvicultral prescriptions	N	N	N	Spatial analysis		Vascular plants	N		
270	Report article	2010	"Hamel, P. B.; Staten, M.; Wishard, R.; Smith, C. G., III"	"Cerulean Warbler response to silvicultural manipulations on managed forestland in Desha Co., Arkansas, third year results"	"General Technical Report - Southern Research Station, USDA Forest Service"				http://www.srs.fs.fed.us/pubs/gtr/gtr_srs121/gtr_srs121_475.pdf	"Cerulean Warbler is a Nearctic-Neotropical migratory bird in need of management attention for which only rudiments of a silvicultural prescription exist. Since 1992, we have monitored breeding populations of this and other canopy-dwelling warbler species on a 54-ha site in Desha County, AR, owned and managed by Anderson-Tully Co. for production of high quality sawtimber. We instituted an experiment in 2002 to assess the response of this species to alternative silvicultural treatments. We split the site in two plots of equal area and with similar histories of use by Cerulean Warblers, and we randomly assigned one of two prescriptions to each plot. The treatments were (1) a standard Company prescription designed to favor development of sawtimber trees and (2) a ""Cerulean Warbler prescription"" (CWP), designed to favor development of large sawtimber trees for use as song perches by male Cerulean Warblers and large shade-tolerant trees in the midstory as potential Cerulean Warbler nest trees. Harvesting was completed in winter 2004. Survey of Cerulean Warbler response in 2006 indicated that the birds have begun breeding on portions of the CWP plot. At least three males, two of whom attracted females, established and defended territories on and adjacent to the CWP plot."		SRS-121	475-479		silviculture; production; harvesting; silvicultural conversion	AK	33.745	-91.15833	Unspecified	"Platanus occidentalis, Populus deltoides, Ulmus americana,Carya illinoiensis, Fraxinus pennsylvanica"		saw timber		BA	N	1992	5	15	0	0	Experimental silvicultral prescriptions	N	N	N	Spatial analysis		Birds	N		
306	Journal article	2014	"Homyack, J. A.; Kroll, A. J."	Slow lives in the fast landscape: conservation and management of plethodontid salamanders in production forests of the United States	Forests		1999-4907	10.3390/f5112750	http://www.mdpi.com/1999-4907/5/11/2750/htm	"Intensively-managed forest (IMF) ecosystems support environmental processes, retain biodiversity and reduce pressure to extract wood products from other forests, but may affect species, such as plethodontid salamanders, that are associated with closed canopies and possess limited vagility. We describe: (1) critical aspects of IMF ecosystems; (2) effectiveness of plethodontid salamanders as barometers of forest change; (3) two case studies of relationships between salamanders and coarse woody debris (CWD); and (4) research needs for effective management of salamanders in IMF ecosystems. Although plethodontid salamanders are sensitive to microclimate changes, their role as ecological indicators rarely have been evaluated quantitatively. Our case studies of CWD and salamanders in western and eastern forests demonstrated effects of species, region and spatial scale on the existence and strength of relationships between plethodontid species and a ""critical"" microhabitat variable. Oregon slender salamanders (Batrachoseps wrighti) were more strongly associated with abundance of CWD in managed second growth forests than ensatina salamanders (Ensatina eschscholtzii). Similarly, CWD was not an important predictor of abundance of Appalachian salamanders in managed hardwood forest. Gaining knowledge of salamanders in IMF ecosystems is critical to reconciling ecological and economic objectives of intensive forest management, but faces challenges in design and implementation."	5	11	2750-2772		landscape; weed control; weeds; herbicides; case studies; nature conservation; forests; forest management; forest plantations; microhabitats; microclimate; logging; secondary forests; coarse woody debris	VA; WV	37.2504177	-80.6752299	Broadleaf	"Quercus spp., Acer rubrum, Liriodendron tulipifera, Fagus grandifolia, Magnolia fraseri, Oxydendron arboretum"	100	Merchantable trees		CI	N	1994	10	1	20	28	Selection system;Shelterwood;Deferment harvest;Clearcutting	N	N	N	Habitat characterization;Transect;Trapping	A	Amphibians	N		
306	Journal article	2014	"Homyack, J. A.; Kroll, A. J."	Slow lives in the fast landscape: conservation and management of plethodontid salamanders in production forests of the United States	Forests		1999-4907	10.3390/f5112750	http://www.mdpi.com/1999-4907/5/11/2750/htm	"Intensively-managed forest (IMF) ecosystems support environmental processes, retain biodiversity and reduce pressure to extract wood products from other forests, but may affect species, such as plethodontid salamanders, that are associated with closed canopies and possess limited vagility. We describe: (1) critical aspects of IMF ecosystems; (2) effectiveness of plethodontid salamanders as barometers of forest change; (3) two case studies of relationships between salamanders and coarse woody debris (CWD); and (4) research needs for effective management of salamanders in IMF ecosystems. Although plethodontid salamanders are sensitive to microclimate changes, their role as ecological indicators rarely have been evaluated quantitatively. Our case studies of CWD and salamanders in western and eastern forests demonstrated effects of species, region and spatial scale on the existence and strength of relationships between plethodontid species and a ""critical"" microhabitat variable. Oregon slender salamanders (Batrachoseps wrighti) were more strongly associated with abundance of CWD in managed second growth forests than ensatina salamanders (Ensatina eschscholtzii). Similarly, CWD was not an important predictor of abundance of Appalachian salamanders in managed hardwood forest. Gaining knowledge of salamanders in IMF ecosystems is critical to reconciling ecological and economic objectives of intensive forest management, but faces challenges in design and implementation."	5	11	2750-2772		landscape; weed control; weeds; herbicides; case studies; nature conservation; forests; forest management; forest plantations; microhabitats; microclimate; logging; secondary forests; coarse woody debris	VA; WV	38.7145009	-80.2498015	Broadleaf	"Quercus spp., Acer rubrum, Liriodendron tulipifera, Fagus grandifolia, Magnolia fraseri, Oxydendron arboretum"	100	Merchantable trees		CI	N	1994	10	1	10	14	Selection system;Shelterwood;Deferment harvest;Clearcutting	N	N	N	Habitat characterization;Transect;Trapping	A	Amphibians	N		
358	Journal article	2001	"Kedzierski, W. M.; Smock, L. A."	"Effects of logging on macroinvertebrate production in a sand-bottomed, low-gradient stream"	Freshwater Biology			10.1046/j.1365-2427.2001.00712.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034974222&doi=10.1046%2Fj.1365-2427.2001.00712.x&partnerID=40&md5=d20b7fcd43aae4e2fd54c3636fa1e697	"1. Macroinvertebrate production and macrophyte growth were studied in logged and unlogged sections of a sand-bottomed, low-gradient, blackwater stream on the Coastal Plain of Virginia, U.S.A. A section of the catchment had been clear-cut 3 years prior to sampling. No logging occurred in the upstream area of the catchment, which had experienced almost no land disturbance by humans for over 100 years. 2. A primary difference among the logged and unlogged sections of the stream was in the abundance of macrophytes. The combined biomass of Sparganium americanum and of Chara sp. was over 300-times greater in the logged than the unlogged section. 3. Annual macroinvertebrate production in the sediment was higher in the unlogged section (41 g dry mass m-2) than in the logged section (25 g m-2). 4. Annual macroinvertebrate production on Sparganium was higher in the logged section (10 g m-2 of plant surface area) than in the unlogged section (6 g m-2). Annual production associated with Chara, which occurred only in the logged section, was 196 g m-2 of stream bottom covered by this plant. 5. Whole-stream annual macroinvertebrate production, calculated by summing habitat-specific production that was weighted by habitat availability, was greater in the logged section (103 g m-2) than in the unlogged section (41 g m-2). Sediments supported 99% of the annual production in the unlogged section, whereas macrophytes supported 76% in the logged section. 6. Much of the additional macroinvertebrate production in the logged section was by collector-filterers living on macrophytes. Production by collector-gatherers was also greater in the logged section, whereas production by other functional feeding groups changed little with logging. 7. Although logging along high-gradient, rocky streams also results in increased macroinvertebrate production, that increase often is stimulated by greater periphyton growth rather than the macrophyte growth observed in this low-gradient stream."	46	6	821-833		ecology; growth rate; logging; economic activity	VA	36.9937126	-77.1637635	Mixed	"Pinus taeda L., P. echinata, Liriodendron tulipifera L., Acer rubrum L., Quercus spp., Nyssa sylvatica Marsh"		"Logging, undisturbed"	"The catchment had not been logged for over 100 years and the canopy trees were mainly 70¬¨¬±110 years old (Virginia Department of Forestry, personal communication)."	CI	N	1994	4	1	1	1	Logging 	N	N	N	Field observation;Quadrat	A	Invertebrates (aquatic)	N		
628	Journal article	1998	"Stone, M. K.; Wallace, J. B."	Long-term recovery of a mountain stream from clearcut logging: the effects of forest succession on benthic invertebrate community structure	Freshwater Biology			10.1046/j.1365-2427.1998.00272.x		"1. Changes in benthic invertebrate community structure following 16 years of forest succession after logging were examined by estimating benthic invertebrate abundance, biomass and secondary production in streams draining a forested reference and a recovering clear-cut catchment. Benthic invertebrate abundance was three times higher, and invertebrate biomass and production were two times higher in the disturbed stream. 2. Comparison of invertebrate community abundance 1, 5 and 16 years after clearcutting indicated that the proportion of scrapers had decreased, whereas shredders had increased. Functional group percentage similarity indicated that the invertebrate community in the disturbed stream 16 years after clear-cutting was more similar to the reference than to that found earlier in the disturbed stream. 3. The five indices calculated from data collected over the past 16 years, as well as the abundance, biomass and production data collected during this study, proved to be of differing value in assessing recovery of the disturbed stream from logging. Percent dominant taxon and EPT (Ephemeroptera, Plecoptera and Trichoptera) taxon richness failed to show any initial differences between reference and disturbed streams, indicating that these indices may not be useful for measuring recovery from logging. The percentage Baetis and shredder-scraper indices showed significant differences only during the 1977 study and suggest recovery (no difference between reference and disturbed) by 1982. The North Carolina Biotic Index showed continued differences during 1982 in the riffle and depositional habitats and recovery by 1993. Total macroinvertebrate abundance, biomass and production, as well as EPT abundance, indicated continued differences between the reference and disturbed streams in the 1993 study."	39	1	151-169			NC	35.0597293	-83.4327507	Unspecified	"Quercus spp., Carya spp., Liriodendron tulipifera L., Acer rubrum"		"Experimental forest, logging"	"The reference catchment (C14), drained by Hugh White Creek, has been relatively undisturbed except for selective logging during the early 1900s and the chestnut blight [Endothia parasitica (Murrill) Anderson] during the 1930s."	CI	N	1993	17	1	1	1	Clearcutting	N	N	Y	Plot sampling	RA	Invertebrates (aquatic)	Y	Scrapers	Invertebrates (aquatic)
423	Report article	2016	"Margenau, E. L.; Wang, Yong; Schweitzer, C. J."	Breeding bird response to a second-stage shelterwood harvest in an upland hardwood forest	"General Technical Report - Southern Research Station, USDA Forest Service"				http://www.srs.fs.usda.gov/pubs/gtr/gtr_srs212.pdf	"Post-logging sites were historically assumed to provide unfavorable habitat for songbirds. Timber harvests have always been important for species that require disturbances, but while most studies focus on clearcuts, few examine the harvesting methods ranging between clearcutting and undisturbed forests; such as those created with shelterwood prescriptions. We studied breeding bird community response to different basal area retention levels during the second stage of a two-stage shelterwood harvest, 12 and 13 years postinitial harvest. Study sites were located in an upland hardwood forest in northern Alabama on the southern end of the mid-Cumberland Plateau through territory mapping. This study examined how different retention cuts affect bird species with varying habitat requirements. Bird diversity (calculated using the Brillouin Index) was compared among treatments using analysis of variance with a post-hoc LSD test. The relationship between habitat features and bird diversity were examined using correlation analysis. Breeding bird diversity was significantly lower in the control stands than the 50 percent retention stands (2013 p=0.002 - 2014 p=0.007) in both years. Breeding bird diversity was positively correlated with sapling density in 2013 (r=0.65); showed a quadratic correlation with sapling density in 2014 (r=0.85), and canopy cover in both years (2013 r=0.96; - 2014 r=0.96). Breeding bird diversity was similar across all four shelterwood treatments in both years, although these treatments had structural differences among them. These finding suggest that breeding bird diversity is dynamic and temporally dependent upon timber harvest and subsequent succession."		SRS-212	97-105		species diversity; canopy; basal area; shelterwood system	AL	34.9406398	-86.0929044	Broadleaf	"Quercus velutina, Quercus rubra, Quercus alba, Quercus prinus, Liriodendron tulipifera, Carya spp., Acer saccharum"				CI	N	2001	13	1	6	6	Shelterwood	N	N	N	Field observation;Plot sampling	R	Vascular plants	N		
423	Report article	2016	"Margenau, E. L.; Wang, Yong; Schweitzer, C. J."	Breeding bird response to a second-stage shelterwood harvest in an upland hardwood forest	"General Technical Report - Southern Research Station, USDA Forest Service"				http://www.srs.fs.usda.gov/pubs/gtr/gtr_srs212.pdf	"Post-logging sites were historically assumed to provide unfavorable habitat for songbirds. Timber harvests have always been important for species that require disturbances, but while most studies focus on clearcuts, few examine the harvesting methods ranging between clearcutting and undisturbed forests; such as those created with shelterwood prescriptions. We studied breeding bird community response to different basal area retention levels during the second stage of a two-stage shelterwood harvest, 12 and 13 years postinitial harvest. Study sites were located in an upland hardwood forest in northern Alabama on the southern end of the mid-Cumberland Plateau through territory mapping. This study examined how different retention cuts affect bird species with varying habitat requirements. Bird diversity (calculated using the Brillouin Index) was compared among treatments using analysis of variance with a post-hoc LSD test. The relationship between habitat features and bird diversity were examined using correlation analysis. Breeding bird diversity was significantly lower in the control stands than the 50 percent retention stands (2013 p=0.002 - 2014 p=0.007) in both years. Breeding bird diversity was positively correlated with sapling density in 2013 (r=0.65); showed a quadratic correlation with sapling density in 2014 (r=0.85), and canopy cover in both years (2013 r=0.96; - 2014 r=0.96). Breeding bird diversity was similar across all four shelterwood treatments in both years, although these treatments had structural differences among them. These finding suggest that breeding bird diversity is dynamic and temporally dependent upon timber harvest and subsequent succession."		SRS-212	97-105		species diversity; canopy; basal area; shelterwood system	AL	34.9406398	-86.0929044	Broadleaf	"Quercus velutina, Quercus rubra, Quercus alba, Quercus prinus, Liriodendron tulipifera, Carya spp., Acer saccharum"				CI	N	2001	13	1	6	6	Shelterwood	N	N	N	Field observation;Plot sampling	R	Birds	N		
163	Journal article	2012	"Dodd, L. E.; Lacki, M. J.; Britzke, E. R.; Buehler, D. A.; Keyser, P. D.; Larkin, J. L.; Rodewald, A. D.; Wigley, T. B.; Wood, P. B.; Rieske, L. K."	Forest structure affects trophic linkages: how silvicultural disturbance impacts bats and their insect prey	Forest Ecology and Management			10.1016/j.foreco.2011.12.016	http://www.sciencedirect.com/science/article/pii/S037811271100747X	"Vertebrate insectivores such as bats are a pervasive top-down force on prey populations in forest ecosystems. Conservation focusing on forest-dwelling bats requires understanding of community-level interactions between these predators and their insect prey. Our study assessed bat activity and insect occurrence (abundance and diversity) across a gradient of forest disturbance and structure (silvicultural treatments) in the Central Appalachian region of North America. We conducted acoustic surveys of bat echolocation concurrent with insect surveys using blacklight and malaise traps over 2 years. Predator activity, prey occurrence and prey biomass varied seasonally and across the region. The number of bat echolocation pulses was positively related with forest disturbance, whereas prey demonstrated varied trends. Lepidopteran abundance was negatively related with disturbance, while dipteran abundance and diversity was positively related with disturbance. Coleoptera were unaffected. Neither bat nor insect response variables differed between plot interiors and edges. Correlations between bat activity and vegetative structure reflected differences in foraging behavior among ensembles. Activity of myotine bats was correlated with variables describing sub-canopy vegetation, whereas activity of lasiurine bats was more closely correlated with canopy-level vegetation. Lepidopteran abundance was correlated with variables describing canopy and sub-canopy vegetation, whereas coleopteran and dipteran occurrence were more closely correlated with canopy-level vegetative structure. Our study demonstrates regional variation in bat activity and prey occurrence across a forested disturbance gradient. Land management and conservation efforts should consider the importance of vegetation structure and plant species richness to sustain forest-dwelling bats and their insect prey."	267		262-270		animal behaviour behaviour biomass canopy foraging	KY; TN; WV	37.0221717	-84.2910693	Broadleaf	"Quercus spp., Carya spp., Fraxinus spp., Castanea dentata, Aesculus spp., Betula spp., Liriodendron tulipifera, Tsuga spp., Acer spp., Magnolia spp."		"timber harvests, former mines, fmanaged forestland"		CI	N	2006	2	2	12	4	Selection system;;Shelterwood	N	N	N	Field observation;Trapping	A	Invertebrates (land)	Y	Lepidoptera	Invertebrates (land)
163	Journal article	2012	"Dodd, L. E.; Lacki, M. J.; Britzke, E. R.; Buehler, D. A.; Keyser, P. D.; Larkin, J. L.; Rodewald, A. D.; Wigley, T. B.; Wood, P. B.; Rieske, L. K."	Forest structure affects trophic linkages: how silvicultural disturbance impacts bats and their insect prey	Forest Ecology and Management			10.1016/j.foreco.2011.12.017	http://www.sciencedirect.com/science/article/pii/S037811271100747X	"Vertebrate insectivores such as bats are a pervasive top-down force on prey populations in forest ecosystems. Conservation focusing on forest-dwelling bats requires understanding of community-level interactions between these predators and their insect prey. Our study assessed bat activity and insect occurrence (abundance and diversity) across a gradient of forest disturbance and structure (silvicultural treatments) in the Central Appalachian region of North America. We conducted acoustic surveys of bat echolocation concurrent with insect surveys using blacklight and malaise traps over 2 years. Predator activity, prey occurrence and prey biomass varied seasonally and across the region. The number of bat echolocation pulses was positively related with forest disturbance, whereas prey demonstrated varied trends. Lepidopteran abundance was negatively related with disturbance, while dipteran abundance and diversity was positively related with disturbance. Coleoptera were unaffected. Neither bat nor insect response variables differed between plot interiors and edges. Correlations between bat activity and vegetative structure reflected differences in foraging behavior among ensembles. Activity of myotine bats was correlated with variables describing sub-canopy vegetation, whereas activity of lasiurine bats was more closely correlated with canopy-level vegetation. Lepidopteran abundance was correlated with variables describing canopy and sub-canopy vegetation, whereas coleopteran and dipteran occurrence were more closely correlated with canopy-level vegetative structure. Our study demonstrates regional variation in bat activity and prey occurrence across a forested disturbance gradient. Land management and conservation efforts should consider the importance of vegetation structure and plant species richness to sustain forest-dwelling bats and their insect prey."	267		262-270		animal behaviour behaviour biomass canopy foraging	KY; TN; WV	37.5	-81.6	Broadleaf	"Quercus spp., Carya spp., Fraxinus spp., Castanea dentata, Aesculus spp., Betula spp., Liriodendron tulipifera, Tsuga spp., Acer spp., Magnolia spp."		"timber harvests, former mines, fmanaged forestland"		CI	N	2006	2	2	12	4	Selection system;;Shelterwood	N	N	N	Field observation;Trapping	A	Invertebrates (land)	Y	Lepidoptera	Invertebrates (land)
163	Journal article	2012	"Dodd, L. E.; Lacki, M. J.; Britzke, E. R.; Buehler, D. A.; Keyser, P. D.; Larkin, J. L.; Rodewald, A. D.; Wigley, T. B.; Wood, P. B.; Rieske, L. K."	Forest structure affects trophic linkages: how silvicultural disturbance impacts bats and their insect prey	Forest Ecology and Management			10.1016/j.foreco.2011.12.018	http://www.sciencedirect.com/science/article/pii/S037811271100747X	"Vertebrate insectivores such as bats are a pervasive top-down force on prey populations in forest ecosystems. Conservation focusing on forest-dwelling bats requires understanding of community-level interactions between these predators and their insect prey. Our study assessed bat activity and insect occurrence (abundance and diversity) across a gradient of forest disturbance and structure (silvicultural treatments) in the Central Appalachian region of North America. We conducted acoustic surveys of bat echolocation concurrent with insect surveys using blacklight and malaise traps over 2 years. Predator activity, prey occurrence and prey biomass varied seasonally and across the region. The number of bat echolocation pulses was positively related with forest disturbance, whereas prey demonstrated varied trends. Lepidopteran abundance was negatively related with disturbance, while dipteran abundance and diversity was positively related with disturbance. Coleoptera were unaffected. Neither bat nor insect response variables differed between plot interiors and edges. Correlations between bat activity and vegetative structure reflected differences in foraging behavior among ensembles. Activity of myotine bats was correlated with variables describing sub-canopy vegetation, whereas activity of lasiurine bats was more closely correlated with canopy-level vegetation. Lepidopteran abundance was correlated with variables describing canopy and sub-canopy vegetation, whereas coleopteran and dipteran occurrence were more closely correlated with canopy-level vegetative structure. Our study demonstrates regional variation in bat activity and prey occurrence across a forested disturbance gradient. Land management and conservation efforts should consider the importance of vegetation structure and plant species richness to sustain forest-dwelling bats and their insect prey."	267		262-270		animal behaviour behaviour biomass canopy foraging	KY; TN; WV	36.4262461	-84.2998437	Broadleaf	"Quercus spp., Carya spp., Fraxinus spp., Castanea dentata, Aesculus spp., Betula spp., Liriodendron tulipifera, Tsuga spp., Acer spp., Magnolia spp."		"timber harvests, former mines, fmanaged forestland"		CI	N	2006	2	2	12	4	Selection system;;Shelterwood	N	N	N	Field observation;Trapping	A	Invertebrates (land)	Y	Lepidoptera	Invertebrates (land)
