Comparison Arm ID	UID	LatDD	LonDD	Intervention (Study) Housing Type (HT1)	HT1 - Outdoor Access	Comparison Housing Type (HT2)	HT2 - Grazing Period	HT2 - Outdoor Access	Citation	Year of Publication	Author	Title	Journal/Main Resource Title/Academic Institution 	DOI	ISSN/ISBN	URL	Abstract	Volume	Issue	Pages	Language	Scale of Study	Number of Study Sites	Super National Area	Country	Sub National Region	Study Type	Study Data Type	Study BACI	Study Aim/Objective(s)	Study Duration (Years)	Study Date(s)	Number of Farms	Number of Herds	Number of Cattle	Breed(s) of Dairy Cattle	Data Suitable for Meta-Analysis (Number in sample, Mean, and Standard Error/Standard Deviation) 	HWB Measures	Presentation of Data	Risk of Bias Score
294_Bradley_2001|2_W (F)	294_Bradley_2001	51.10672927	-2.926052883	Cubicle	No	Cubicle	Seasonal grazing	Yes	Bradley, A.J. and Green, M.J., 2001. Aetiology of clinical mastitis in six Somerset dairy herds. Veterinary Record. 148(22). 683-686. 10.1136/vr.148.22.683	2001	Bradley, A.J. and Green, M.J.	Aetiology of clinical mastitis in six Somerset dairy herds	Veterinary Record	10.1136/vr.148.22.683		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med4&NEWS=N&AN=11425254	Clinical mastitis was monitored in six Somerset dairy herds for one year. The herds all had three-month geometric mean bulk milk somatic cell counts of less than 250,000 cells/ml. Escherichia coli was the predominant pathogen isolated on all the farms and in all months of the year. Environmental pathogens accounted for 61-4 percent of all cases of clinical mastitis and for 79-3 percent of the mastitis cases in which an aetiological agent was identified. The mean annual incidence was 41-6 cases per 100 cows (range 14 to 75). Affected cows suffered a mean of 1-5 cases and 16-4 percent of quarters suffered at least one repeat case. Mastitis due to E coli was more severe than mastitis due to other causes and it tended to be more severe in early lactation and during the housing period. Mastitis was significantly more severe (grades 2 and 3) in the herd with the lowest bulk milk somatic cell count and in the herd which was kept indoors throughout the year than in the other four herds. Mastitis was fatal in 2-2 per cent of cases and resulted in the death of 0-6 percent of the lactating cows.	148	22	683-686	English	Sub National	6		United Kingdom	Somerset	Empirical	Quantitative	CI	The aim of this study was to determine the incidence, aetiology and severity of clinical mastitis in six Somerset dairy herds, monitored for 12 months.	1	Jun 1997-May 1998	6	6	810	Holstein cross	N	SCC/SCS;Mastitis;Bacterial pathogens - Streptococcus sp;Bacterial pathogens - Bacillus species;Bacterial pathogens - Klebsiella species;Bacterial pathogens - Escherichia coli (E. coli);Bacterial pathogens - Streptococcus uberis;Bacterial pathogens - Coagulase +ve staphylococci;Bacterial pathogens - Streptococcus dysgalactiae;Bacterial pathogens - Coagulase -ve staphylococci;Bacterial pathogens - Corynebacterium species;Bacterial pathogens - Serratia species;Yeast pathogens;Bacterial pathogens - Arcanobacter pyogenes;Bacterial pathogens - Pseudomonas species;Bacterial pathogens - Streptococcus faecalis;Bacterial pathogens - Citrobacter species;Bacterial pathogens - Enterobacter species;Bacterial pathogens - Morganella species	%	7
294_Bradley_2001|3_W (H)	294_Bradley_2001	51.10672927	-2.926052883	Cubicle	No	Cubicle	Seasonal grazing	Yes	Bradley, A.J. and Green, M.J., 2001. Aetiology of clinical mastitis in six Somerset dairy herds. Veterinary Record. 148(22). 683-686. 10.1136/vr.148.22.683	2001	Bradley, A.J. and Green, M.J.	Aetiology of clinical mastitis in six Somerset dairy herds	Veterinary Record	10.1136/vr.148.22.683		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med4&NEWS=N&AN=11425254	Clinical mastitis was monitored in six Somerset dairy herds for one year. The herds all had three-month geometric mean bulk milk somatic cell counts of less than 250,000 cells/ml. Escherichia coli was the predominant pathogen isolated on all the farms and in all months of the year. Environmental pathogens accounted for 61-4 percent of all cases of clinical mastitis and for 79-3 percent of the mastitis cases in which an aetiological agent was identified. The mean annual incidence was 41-6 cases per 100 cows (range 14 to 75). Affected cows suffered a mean of 1-5 cases and 16-4 percent of quarters suffered at least one repeat case. Mastitis due to E coli was more severe than mastitis due to other causes and it tended to be more severe in early lactation and during the housing period. Mastitis was significantly more severe (grades 2 and 3) in the herd with the lowest bulk milk somatic cell count and in the herd which was kept indoors throughout the year than in the other four herds. Mastitis was fatal in 2-2 per cent of cases and resulted in the death of 0-6 percent of the lactating cows.	148	22	683-686	English	Sub National	6		United Kingdom	Somerset	Empirical	Quantitative	CI	The aim of this study was to determine the incidence, aetiology and severity of clinical mastitis in six Somerset dairy herds, monitored for 12 months.	1	Jun 1997-May 1998	6	6	810	Holstein cross	N	SCC/SCS;Mastitis;Bacterial pathogens - Streptococcus sp;Bacterial pathogens - Bacillus species;Bacterial pathogens - Klebsiella species;Bacterial pathogens - Escherichia coli (E. coli);Bacterial pathogens - Streptococcus uberis;Bacterial pathogens - Coagulase +ve staphylococci;Bacterial pathogens - Streptococcus dysgalactiae;Bacterial pathogens - Coagulase -ve staphylococci;Bacterial pathogens - Corynebacterium species;Bacterial pathogens - Serratia species;Yeast pathogens;Bacterial pathogens - Arcanobacter pyogenes;Bacterial pathogens - Pseudomonas species;Bacterial pathogens - Streptococcus faecalis;Bacterial pathogens - Citrobacter species;Bacterial pathogens - Enterobacter species;Bacterial pathogens - Morganella species	%	7
294_Bradley_2001|4_W (N)	294_Bradley_2001	51.10672927	-2.926052883	Cubicle	No	Cubicle	Seasonal grazing	Yes	Bradley, A.J. and Green, M.J., 2001. Aetiology of clinical mastitis in six Somerset dairy herds. Veterinary Record. 148(22). 683-686. 10.1136/vr.148.22.683	2001	Bradley, A.J. and Green, M.J.	Aetiology of clinical mastitis in six Somerset dairy herds	Veterinary Record	10.1136/vr.148.22.683		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med4&NEWS=N&AN=11425254	Clinical mastitis was monitored in six Somerset dairy herds for one year. The herds all had three-month geometric mean bulk milk somatic cell counts of less than 250,000 cells/ml. Escherichia coli was the predominant pathogen isolated on all the farms and in all months of the year. Environmental pathogens accounted for 61-4 percent of all cases of clinical mastitis and for 79-3 percent of the mastitis cases in which an aetiological agent was identified. The mean annual incidence was 41-6 cases per 100 cows (range 14 to 75). Affected cows suffered a mean of 1-5 cases and 16-4 percent of quarters suffered at least one repeat case. Mastitis due to E coli was more severe than mastitis due to other causes and it tended to be more severe in early lactation and during the housing period. Mastitis was significantly more severe (grades 2 and 3) in the herd with the lowest bulk milk somatic cell count and in the herd which was kept indoors throughout the year than in the other four herds. Mastitis was fatal in 2-2 per cent of cases and resulted in the death of 0-6 percent of the lactating cows.	148	22	683-686	English	Sub National	6		United Kingdom	Somerset	Empirical	Quantitative	CI	The aim of this study was to determine the incidence, aetiology and severity of clinical mastitis in six Somerset dairy herds, monitored for 12 months.	1	Jun 1997-May 1998	6	6	810	Holstein cross	N	SCC/SCS;Mastitis;Bacterial pathogens - Streptococcus sp;Bacterial pathogens - Bacillus species;Bacterial pathogens - Klebsiella species;Bacterial pathogens - Escherichia coli (E. coli);Bacterial pathogens - Streptococcus uberis;Bacterial pathogens - Coagulase +ve staphylococci;Bacterial pathogens - Streptococcus dysgalactiae;Bacterial pathogens - Coagulase -ve staphylococci;Bacterial pathogens - Corynebacterium species;Bacterial pathogens - Serratia species;Yeast pathogens;Bacterial pathogens - Arcanobacter pyogenes;Bacterial pathogens - Pseudomonas species;Bacterial pathogens - Streptococcus faecalis;Bacterial pathogens - Citrobacter species;Bacterial pathogens - Enterobacter species;Bacterial pathogens - Morganella species	%	7
294_Bradley_2001|5_W (S)	294_Bradley_2001	51.10672927	-2.926052883	Cubicle	No	Cubicle	Seasonal grazing	Yes	Bradley, A.J. and Green, M.J., 2001. Aetiology of clinical mastitis in six Somerset dairy herds. Veterinary Record. 148(22). 683-686. 10.1136/vr.148.22.683	2001	Bradley, A.J. and Green, M.J.	Aetiology of clinical mastitis in six Somerset dairy herds	Veterinary Record	10.1136/vr.148.22.683		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med4&NEWS=N&AN=11425254	Clinical mastitis was monitored in six Somerset dairy herds for one year. The herds all had three-month geometric mean bulk milk somatic cell counts of less than 250,000 cells/ml. Escherichia coli was the predominant pathogen isolated on all the farms and in all months of the year. Environmental pathogens accounted for 61-4 percent of all cases of clinical mastitis and for 79-3 percent of the mastitis cases in which an aetiological agent was identified. The mean annual incidence was 41-6 cases per 100 cows (range 14 to 75). Affected cows suffered a mean of 1-5 cases and 16-4 percent of quarters suffered at least one repeat case. Mastitis due to E coli was more severe than mastitis due to other causes and it tended to be more severe in early lactation and during the housing period. Mastitis was significantly more severe (grades 2 and 3) in the herd with the lowest bulk milk somatic cell count and in the herd which was kept indoors throughout the year than in the other four herds. Mastitis was fatal in 2-2 per cent of cases and resulted in the death of 0-6 percent of the lactating cows.	148	22	683-686	English	Sub National	6		United Kingdom	Somerset	Empirical	Quantitative	CI	The aim of this study was to determine the incidence, aetiology and severity of clinical mastitis in six Somerset dairy herds, monitored for 12 months.	1	Jun 1997-May 1998	6	6	810	Holstein cross	N	SCC/SCS;Mastitis;Bacterial pathogens - Streptococcus sp;Bacterial pathogens - Bacillus species;Bacterial pathogens - Klebsiella species;Bacterial pathogens - Escherichia coli (E. coli);Bacterial pathogens - Streptococcus uberis;Bacterial pathogens - Coagulase +ve staphylococci;Bacterial pathogens - Streptococcus dysgalactiae;Bacterial pathogens - Coagulase -ve staphylococci;Bacterial pathogens - Corynebacterium species;Bacterial pathogens - Serratia species;Yeast pathogens;Bacterial pathogens - Arcanobacter pyogenes;Bacterial pathogens - Pseudomonas species;Bacterial pathogens - Streptococcus faecalis;Bacterial pathogens - Citrobacter species;Bacterial pathogens - Enterobacter species;Bacterial pathogens - Morganella species	%	7
3036_Solano_2015|1_C_RM	3036_Solano_2015	46.82105521	-71.20505681	Open Lounging	No	Open Lounging	Zero grazing	No	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K., 2015. Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns. Journal of dairy science. 98(10). 6978-6991. 10.3168/jds.2015-9652	2015	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K.,	Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns	Journal of Dairy Science	10.3168/jds.2015-9652		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med12&NEWS=N&AN=26254526	Lameness is a severe welfare problem and a production-limiting disease in dairy farming. The objectives of this study were to determine prevalence of lameness and investigate cow-and herd-level factors associated with lameness in dairy cows housed in freestall barns in 3 Canadian provinces. A purposive sample of 40 Holstein-Friesian cows was selected from each of 141 dairy farms in Quebec, Ontario, and Alberta. In total, 5,637 cows were scored once for lameness (presence of limping when walking). Data collected included information on individual cows (hock lesions, claw length, body condition score, parity, days in milk, and milk production), management practices (floor and stall cleaning routine, bedding routine, and footbath practices), and facility design (stall dimensions, stall base and bedding type, width of feed alley, flooring type, and slipperiness) hypothesized to be risk factors for lameness. Multilevel mixed logistic regression models were constructed (including farm as a random effect and province as a fixed effect). Herd-level lameness prevalence ranged from 0 to 69% (mean = 21%). Lameness prevalence increased with increasing parity; compared with first parity, cows in parity 2, 3, and >= 4 had 1.6, 3.3, and 4 times, respectively, higher odds of being lame. Furthermore, the odds of lameness were 1.6 times greater in cows with low body condition score (<= 2.5) than in cows with a higher body condition score. In addition, injured hocks and overgrown claws were associated with 1.4- and 1.7-fold increased odds of being lame, respectively, whereas every 1 kg increase in daily milk production was associated with a 3% decrease in the odds of being lame. Lameness prevalence was higher in herds with <= 100 cows, but lower in barns with a sand or dirt stall base, or with bedding >= 2 cm deep. Cows exposed to very slippery floors had 2 times the odds of being lame compared with cows exposed to non slippery floors. We attributed the wide range of lameness prevalence to the great variability in facilities and management practices among farms. Finally, we inferred that the prevalence of lameness could be decreased by improving management of multiparous, thin, or injured cows and by adopting management practices intended to improve cow comfort, namely the floor's slip resistance and the stall's lying surface.	98	10	6978-6991	English	National	141		Canada	Quebec|Ontario|Alberta	Empirical	Quantitative	CI	To determine (1) prevalence of lameness, (2) herd-level management and facility design factors related to lameness prevalence, and (3) the association between herd and cow-level factors, as related to the prevalence of lameness.	1.25	May 2011-Jul 2012	141	NR	40	Holstein cross	N	Lameness (Unspecified)	%	8
3036_Solano_2015|2_C_GEO	3036_Solano_2015	51.53448139	-86.67764908	Open Lounging	No	Open Lounging	Zero grazing	No	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K., 2015. Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns. Journal of dairy science. 98(10). 6978-6991. 10.3168/jds.2015-9652	2015	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K.,	Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns	Journal of Dairy Science	10.3168/jds.2015-9652		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med12&NEWS=N&AN=26254526	Lameness is a severe welfare problem and a production-limiting disease in dairy farming. The objectives of this study were to determine prevalence of lameness and investigate cow-and herd-level factors associated with lameness in dairy cows housed in freestall barns in 3 Canadian provinces. A purposive sample of 40 Holstein-Friesian cows was selected from each of 141 dairy farms in Quebec, Ontario, and Alberta. In total, 5,637 cows were scored once for lameness (presence of limping when walking). Data collected included information on individual cows (hock lesions, claw length, body condition score, parity, days in milk, and milk production), management practices (floor and stall cleaning routine, bedding routine, and footbath practices), and facility design (stall dimensions, stall base and bedding type, width of feed alley, flooring type, and slipperiness) hypothesized to be risk factors for lameness. Multilevel mixed logistic regression models were constructed (including farm as a random effect and province as a fixed effect). Herd-level lameness prevalence ranged from 0 to 69% (mean = 21%). Lameness prevalence increased with increasing parity; compared with first parity, cows in parity 2, 3, and >= 4 had 1.6, 3.3, and 4 times, respectively, higher odds of being lame. Furthermore, the odds of lameness were 1.6 times greater in cows with low body condition score (<= 2.5) than in cows with a higher body condition score. In addition, injured hocks and overgrown claws were associated with 1.4- and 1.7-fold increased odds of being lame, respectively, whereas every 1 kg increase in daily milk production was associated with a 3% decrease in the odds of being lame. Lameness prevalence was higher in herds with <= 100 cows, but lower in barns with a sand or dirt stall base, or with bedding >= 2 cm deep. Cows exposed to very slippery floors had 2 times the odds of being lame compared with cows exposed to non slippery floors. We attributed the wide range of lameness prevalence to the great variability in facilities and management practices among farms. Finally, we inferred that the prevalence of lameness could be decreased by improving management of multiparous, thin, or injured cows and by adopting management practices intended to improve cow comfort, namely the floor's slip resistance and the stall's lying surface.	98	10	6978-6991	English	National	141		Canada	Quebec|Ontario|Alberta	Empirical	Quantitative	CI	To determine (1) prevalence of lameness, (2) herd-level management and facility design factors related to lameness prevalence, and (3) the association between herd and cow-level factors, as related to the prevalence of lameness.	1.25	May 2011-Jul 2012	141	NR	40	Holstein cross	N	Lameness (Unspecified)	%	8
3036_Solano_2015|3_C_SANDIRT	3036_Solano_2015	56.42890782	-115.0554232	Open Lounging	No	Open Lounging	Zero grazing	No	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K., 2015. Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns. Journal of dairy science. 98(10). 6978-6991. 10.3168/jds.2015-9652	2015	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K.,	Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns	Journal of Dairy Science	10.3168/jds.2015-9652		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med12&NEWS=N&AN=26254526	Lameness is a severe welfare problem and a production-limiting disease in dairy farming. The objectives of this study were to determine prevalence of lameness and investigate cow-and herd-level factors associated with lameness in dairy cows housed in freestall barns in 3 Canadian provinces. A purposive sample of 40 Holstein-Friesian cows was selected from each of 141 dairy farms in Quebec, Ontario, and Alberta. In total, 5,637 cows were scored once for lameness (presence of limping when walking). Data collected included information on individual cows (hock lesions, claw length, body condition score, parity, days in milk, and milk production), management practices (floor and stall cleaning routine, bedding routine, and footbath practices), and facility design (stall dimensions, stall base and bedding type, width of feed alley, flooring type, and slipperiness) hypothesized to be risk factors for lameness. Multilevel mixed logistic regression models were constructed (including farm as a random effect and province as a fixed effect). Herd-level lameness prevalence ranged from 0 to 69% (mean = 21%). Lameness prevalence increased with increasing parity; compared with first parity, cows in parity 2, 3, and >= 4 had 1.6, 3.3, and 4 times, respectively, higher odds of being lame. Furthermore, the odds of lameness were 1.6 times greater in cows with low body condition score (<= 2.5) than in cows with a higher body condition score. In addition, injured hocks and overgrown claws were associated with 1.4- and 1.7-fold increased odds of being lame, respectively, whereas every 1 kg increase in daily milk production was associated with a 3% decrease in the odds of being lame. Lameness prevalence was higher in herds with <= 100 cows, but lower in barns with a sand or dirt stall base, or with bedding >= 2 cm deep. Cows exposed to very slippery floors had 2 times the odds of being lame compared with cows exposed to non slippery floors. We attributed the wide range of lameness prevalence to the great variability in facilities and management practices among farms. Finally, we inferred that the prevalence of lameness could be decreased by improving management of multiparous, thin, or injured cows and by adopting management practices intended to improve cow comfort, namely the floor's slip resistance and the stall's lying surface.	98	10	6978-6991	English	National	141		Canada	Quebec|Ontario|Alberta	Empirical	Quantitative	CI	To determine (1) prevalence of lameness, (2) herd-level management and facility design factors related to lameness prevalence, and (3) the association between herd and cow-level factors, as related to the prevalence of lameness.	1.25	May 2011-Jul 2012	141	NR	40	Holstein cross	N	Lameness (Unspecified)	%	8
3036_Solano_2015|4_C_WB	3036_Solano_2015	46.82105521	-71.20505681	Open Lounging	No	Open Lounging	Zero grazing	No	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K., 2015. Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns. Journal of dairy science. 98(10). 6978-6991. 10.3168/jds.2015-9652	2015	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K.,	Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns	Journal of Dairy Science	10.3168/jds.2015-9652		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med12&NEWS=N&AN=26254526	Lameness is a severe welfare problem and a production-limiting disease in dairy farming. The objectives of this study were to determine prevalence of lameness and investigate cow-and herd-level factors associated with lameness in dairy cows housed in freestall barns in 3 Canadian provinces. A purposive sample of 40 Holstein-Friesian cows was selected from each of 141 dairy farms in Quebec, Ontario, and Alberta. In total, 5,637 cows were scored once for lameness (presence of limping when walking). Data collected included information on individual cows (hock lesions, claw length, body condition score, parity, days in milk, and milk production), management practices (floor and stall cleaning routine, bedding routine, and footbath practices), and facility design (stall dimensions, stall base and bedding type, width of feed alley, flooring type, and slipperiness) hypothesized to be risk factors for lameness. Multilevel mixed logistic regression models were constructed (including farm as a random effect and province as a fixed effect). Herd-level lameness prevalence ranged from 0 to 69% (mean = 21%). Lameness prevalence increased with increasing parity; compared with first parity, cows in parity 2, 3, and >= 4 had 1.6, 3.3, and 4 times, respectively, higher odds of being lame. Furthermore, the odds of lameness were 1.6 times greater in cows with low body condition score (<= 2.5) than in cows with a higher body condition score. In addition, injured hocks and overgrown claws were associated with 1.4- and 1.7-fold increased odds of being lame, respectively, whereas every 1 kg increase in daily milk production was associated with a 3% decrease in the odds of being lame. Lameness prevalence was higher in herds with <= 100 cows, but lower in barns with a sand or dirt stall base, or with bedding >= 2 cm deep. Cows exposed to very slippery floors had 2 times the odds of being lame compared with cows exposed to non slippery floors. We attributed the wide range of lameness prevalence to the great variability in facilities and management practices among farms. Finally, we inferred that the prevalence of lameness could be decreased by improving management of multiparous, thin, or injured cows and by adopting management practices intended to improve cow comfort, namely the floor's slip resistance and the stall's lying surface.	98	10	6978-6991	English	National	141		Canada	Quebec|Ontario|Alberta	Empirical	Quantitative	CI	To determine (1) prevalence of lameness, (2) herd-level management and facility design factors related to lameness prevalence, and (3) the association between herd and cow-level factors, as related to the prevalence of lameness.	1.25	May 2011-Jul 2012	141	NR	40	Holstein cross	N	Lameness (Unspecified)	%	8
3036_Solano_2015|5_RM_GEO	3036_Solano_2015	51.53448139	-86.67764908	Open Lounging	No	Open Lounging	Zero grazing	No	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K., 2015. Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns. Journal of dairy science. 98(10). 6978-6991. 10.3168/jds.2015-9652	2015	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K.,	Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns	Journal of Dairy Science	10.3168/jds.2015-9652		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med12&NEWS=N&AN=26254526	Lameness is a severe welfare problem and a production-limiting disease in dairy farming. The objectives of this study were to determine prevalence of lameness and investigate cow-and herd-level factors associated with lameness in dairy cows housed in freestall barns in 3 Canadian provinces. A purposive sample of 40 Holstein-Friesian cows was selected from each of 141 dairy farms in Quebec, Ontario, and Alberta. In total, 5,637 cows were scored once for lameness (presence of limping when walking). Data collected included information on individual cows (hock lesions, claw length, body condition score, parity, days in milk, and milk production), management practices (floor and stall cleaning routine, bedding routine, and footbath practices), and facility design (stall dimensions, stall base and bedding type, width of feed alley, flooring type, and slipperiness) hypothesized to be risk factors for lameness. Multilevel mixed logistic regression models were constructed (including farm as a random effect and province as a fixed effect). Herd-level lameness prevalence ranged from 0 to 69% (mean = 21%). Lameness prevalence increased with increasing parity; compared with first parity, cows in parity 2, 3, and >= 4 had 1.6, 3.3, and 4 times, respectively, higher odds of being lame. Furthermore, the odds of lameness were 1.6 times greater in cows with low body condition score (<= 2.5) than in cows with a higher body condition score. In addition, injured hocks and overgrown claws were associated with 1.4- and 1.7-fold increased odds of being lame, respectively, whereas every 1 kg increase in daily milk production was associated with a 3% decrease in the odds of being lame. Lameness prevalence was higher in herds with <= 100 cows, but lower in barns with a sand or dirt stall base, or with bedding >= 2 cm deep. Cows exposed to very slippery floors had 2 times the odds of being lame compared with cows exposed to non slippery floors. We attributed the wide range of lameness prevalence to the great variability in facilities and management practices among farms. Finally, we inferred that the prevalence of lameness could be decreased by improving management of multiparous, thin, or injured cows and by adopting management practices intended to improve cow comfort, namely the floor's slip resistance and the stall's lying surface.	98	10	6978-6991	English	National	141		Canada	Quebec|Ontario|Alberta	Empirical	Quantitative	CI	To determine (1) prevalence of lameness, (2) herd-level management and facility design factors related to lameness prevalence, and (3) the association between herd and cow-level factors, as related to the prevalence of lameness.	1.25	May 2011-Jul 2012	141	NR	40	Holstein cross	N	Lameness (Unspecified)	%	8
3036_Solano_2015|6_RM_SANDIRT	3036_Solano_2015	56.42890782	-115.0554232	Open Lounging	No	Open Lounging	Zero grazing	No	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K., 2015. Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns. Journal of dairy science. 98(10). 6978-6991. 10.3168/jds.2015-9652	2015	Solano, L., Barkema, H.W., Pajor, E.A., Mason, S., LeBlanc, S.J., Zaffino Heyerhoff, J.C., Nash, C.G.R., Haley, D.B., Vasseur, E., Pellerin, D., Rushen, J., de Passille, A.M. and Orsel, K.,	Prevalence of lameness and associated risk factors in Canadian Holstein-Friesian cows housed in freestall barns	Journal of Dairy Science	10.3168/jds.2015-9652		http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med12&NEWS=N&AN=26254526	Lameness is a severe welfare problem and a production-limiting disease in dairy farming. The objectives of this study were to determine prevalence of lameness and investigate cow-and herd-level factors associated with lameness in dairy cows housed in freestall barns in 3 Canadian provinces. A purposive sample of 40 Holstein-Friesian cows was selected from each of 141 dairy farms in Quebec, Ontario, and Alberta. In total, 5,637 cows were scored once for lameness (presence of limping when walking). Data collected included information on individual cows (hock lesions, claw length, body condition score, parity, days in milk, and milk production), management practices (floor and stall cleaning routine, bedding routine, and footbath practices), and facility design (stall dimensions, stall base and bedding type, width of feed alley, flooring type, and slipperiness) hypothesized to be risk factors for lameness. Multilevel mixed logistic regression models were constructed (including farm as a random effect and province as a fixed effect). Herd-level lameness prevalence ranged from 0 to 69% (mean = 21%). Lameness prevalence increased with increasing parity; compared with first parity, cows in parity 2, 3, and >= 4 had 1.6, 3.3, and 4 times, respectively, higher odds of being lame. Furthermore, the odds of lameness were 1.6 times greater in cows with low body condition score (<= 2.5) than in cows with a higher body condition score. In addition, injured hocks and overgrown claws were associated with 1.4- and 1.7-fold increased odds of being lame, respectively, whereas every 1 kg increase in daily milk production was associated with a 3% decrease in the odds of being lame. Lameness prevalence was higher in herds with <= 100 cows, but lower in barns with a sand or dirt stall base, or with bedding >= 2 cm deep. Cows exposed to very slippery floors had 2 times the odds of being lame compared with cows exposed to non slippery floors. We attributed the wide range of lameness prevalence to the great variability in facilities and management practices among farms. Finally, we inferred that the prevalence of lameness could be decreased by improving management of multiparous, thin, or injured cows and by adopting management practices intended to improve cow comfort, namely the floor's slip resistance and the stall's lying surface.	98	10	6978-6991	English	National	141		Canada	Quebec|Ontario|Alberta	Empirical	Quantitative	CI	To determine (1) prevalence of lameness, (2) herd-level management and facility design factors related to lameness prevalence, and (3) the association between herd and cow-level factors, as related to the prevalence of lameness.	1.25	May 2011-Jul 2012	141	NR	40	Holstein cross	N	Lameness (Unspecified)	%	8
