ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	State	LatDD	LonDD	Livestock type	"If other, please specify"	Agroforestry type	"If other, please specify"	Comparator	"If other, please specify"	Productivity measure	"If other, please specify"	Effect on productivity	GHGEs/Carbon	"If multiple or other, please specify"	Effect on carbon/GHG measure	Water quantity	Water quality	Air quality	Soil erosion	Economics
Quinn2007_497	Journal Article	2007	"Quinn, J. M.; Dodd, M. B.; Thorrold, B. S."	Whatawhata Catchment Management Project: the story so far	Proceedings of the New Zealand Grassland Association	0369-3902			"Changes in land use and management were applied to a 296 ha catchment farm at the Whatawhata Research Centre in 2000-2001 to improve its economic and environmental performance. The area had erosion and weed reversion challenges, poorly performing beef and sheep breeding enterprises, and degraded streams. Changes included conversion of the steepest land to plantation forestry; indigenous forest restoration; intensification of the farming enterprises onto easier terrain with better pasture production; changes in stock type; poplar planting for soil stabilisation; and exclusion of livestock from streams. Significant improvements have followed. The per hectare economic surplus for the pastoral enterprise improved from 30% below industry average to 13% above. The forestry enterprise will further improve economic performance in the long-term. There were reductions in the export of suspended sediment (76%), total phosphorus (62%), and total nitrogen (33%). Water clarity has increased, stream temperature has declined and stream invertebrate indices indicate improvements in the fauna."	69		311-316	farming systems; forest plantations; land management; land use; nitrogen; pastures; phosphorus; restoration ecology; sediment; soil stabilization; suspended solids; sustainability; turbidity; water quality; water temperature; watersheds	New Zealand	Whatawhata	-37.81	175.08	Mixture of sheep and cattle	Beef cattle	Riparian strip		Baseline from implementation		Multiple	"Total productivity, Livestock growth"	Positive				Positive	Positive		Positive	Positive
Prins2018_513	Journal Article	2018	"Prins, E.; Groot, J."	Exploring the potential of agroforestry integration in arable and dairy farms in the Netherlands - an ex-ante assessment at field and farm level	"Proceedings of the 4th European Agroforestry Conference, Agroforestry as Sustainable Land Use, 28-30 May 2018, Nijmegen, The Netherlands"	978-84-09-02384-4			"Integration of well-designed agroforestry configurations is considered as a promising avenue to maintain farm productivity, while simultaneously strengthening ecological functioning of agroecosystems. The complexity of farming systems and the lack of knowledge on the performance of these agroecologically sound practices under Dutch economic, climatic and environmental conditions hamper farmers to implement agroforestry. In this study we performed a model-based ex-ante analysis of the impact of agroforestry implementation on the economic and environmental performance of two existing farms in The Netherlands. At the field level, we show that two out of three of the designed agroforestry configurations (AFCs) outperformed the monoculture crops (triticale and pasture), resulting in higher financial margin and organic matter balance. Furthermore, we show that these configurations could be successfully integrated at the farm level, reducing or eliminating the existing trade-off between ecological and economical objectives. Further research is needed to develop process-based estimations of technical coefficients."			168-173	agroforestry; assessment; dairy farms; models; pastures; triticale	Netherlands		52.132633	5.291266	Cattle		Silvopasture		Baseline from implementation												Positive
Petersen2003_559	Journal Article	2003	"Petersen, E.; Schilizzi, S.; Bennett, D."	Greenhouse gas and groundwater recharge abatement benefits of tree crops in south-western Australian farming systems	Australian Journal of Agricultural and Resource Economics	1364-985X	10.1111/1467-8489.00210	<Go to ISI>://WOS:000183773100003	"The indirect benefits of a commercial tree crop for greenhouse gas and groundwater recharge abatement are analysed. Oil mallees are introduced into a whole-farm linear programming model as a source of income, an offset to greenhouse gas emissions from the mixed sheep and cropping enterprises and as a source of groundwater recharge abatement. The profitability of oil mallees is found to be very sensitive to the discount rate, yield and price assumptions and the relative profitability of other farm enterprises (especially the wool enterprise). Under standard assumptions where oil mallees are profitable, the trees significantly reduced greenhouse gas emissions and groundwater recharge and the farm remains profitable. If farm-level policies are introduced for greenhouse gas abatement, without tree crops or some other technological change, the current farming systems would fail and be replaced by alternative land uses."	47	2	169-181		Australia		-25.274398	133.775136	Sheep		Farm woodland		Baseline from implementation					Livestock offset/mitigation		Positive					Positive
Penaloza1985_603	Journal Article	1985	"Penaloza, R.; Herve, M.; Sobarzo, L."	Applied research on multiple land use through silvopastoral system in Southern Chile	Agroforestry Systems	0167-4366	http://dx.doi.org/10.1007/BF00045739		"In 1977 a silvopastoral system was started in a 8.5 ha pasture; 2+0 radiata pine was planted at 2.5x7 m spacing. The sheep management system began in June 1979; stocking varied from 6 to 8 sheep/ha. During 1979-1982 rotational grazing was applied in 4 paddocks. In June 1982 pasture area was increased to 12 ha by adding 3.5 ha with chestnuts. Data on growth of pasture, sheep and radiata pine suggest that the system is effective in improving farmers' income, helps prevent erosion, and can be used to promote development in this area of Chile."	3	1	35-41	Agroforestry; economics; management; pines; rural development; Silvopastoral systems; trees; woody plants	Chile		-40.15	-73.15	Sheep		Silvopasture		Baseline from implementation												Positive
Pasalodos-Tato2009_631	Journal Article	2009	"Pasalodos-Tato, Maria; Pukkala, Timo; Rigueiro-Rodriguez, Antonio; Fernanez-Nunez, Esther; Rosa Mosquera-Losada, Maria"	Optimal Management of Pinus radiata Silvopastoral Systems Established on Abandoned Agricultural Land in Galicia (North-Western Spain)	Silva Fennica	0037-5330	10.14214/sf.176	<Go to ISI>://WOS:000273665200009	"Timber production has been the main objective in forest production in Galicia for a long time. Nevertheless, factors such as fire risk and the need to obtain non-timber benefits make other production alternatives like silvopastoral systems worth of consideration. Integration of grazing in the production system not only diversifies products and benefits, but also decreases fire risk by enhancing fuel control. Nonetheless, few Studies have examined the economic profitability of these systems. This article analyses the economics of silvopastoral systems established on abandoned agricultural soils afforested with Pinus radiata D. Don. Different tree planting, densities, discounting rates, grass values and fire risk scenarios were analysed. The technique employed is based on the combination of an optimization algorithm and a simulator of stand growth and grass yield. The most profitable schedules were obtained with initial stand densities of 1500 trees per hectare. However, with high unit values of pasture production (high value of grass), schedules with an initial stand density of 500 trees per hectare were the most profitable. When the risk of fire was included in the analyses, silvopastoral systems were always more profitable than timber production systems. With an assumption that grazing reduces fire risk thinnings should be done earlier and heavier to reduce the expected losses due to fire and to promote grass production. This lengthens the pasture period. In general, rotation lengths of silvopastoral systems were shorter than in timber production."	43	5	769-773		Spain	Galicia	42.5	-8.1	Sheep		Silvopasture		Forest without grazing												Positive
Parminter2001_634	Journal Article	2001	"Parminter, I.; Dodd, M. B.; Mackay, A. D."	Economic analysis of poplar planting on steep hill country	Proceedings of the New Zealand Grassland Association	0369-3902			"This paper analyses the costs and benefits of planting poplars for erosion control, to determine the economic incentives facing farmers in North Island, New Zealand. Using cost-benefit analysis over a range of scenarios (a base scenario, a ""most favourable"" scenario, and a targeted planting scenario) and underpinning assumptions (erosion rates, planting densities, stock gross margins), it is found that the private (on-site) monetary incentives for planting poplars are marginal at best. Even at high expected erosion rates and repair costs, and with harvest values incorporated, the internal rate of return is low (between 5 and 6%). The paper indicates circumstances under which the decision to plant poplars is worthwhile for the farmer. These include circumstances where poplars significantly reduce lamb losses, subsidies are available, or non-monetary factor are important."	63		151-167	cost benefit analysis; economic impact; erosion control; farmers; gross margins; hill land; incentives; planting; poplars; returns; trees; woody plants	New Zealand		-40.900557	174.885971	Sheep		Farm woodland		Baseline from implementation												Mixed results (positive and no effect)
Pantera2018_656	Journal Article	2018	"Pantera, A.; Burgess, P. J.; Losada, R. Mosquera; Moreno, G.; Lopez-Diaz, M. L.; Corroyer, N.; McAdam, J.; Rosati, A.; Papadopoulos, A. M.; Graves, A.; Rodriguez, A. Rigueiro; Ferreiro-Dominguez, N.; Lorenzo, J. L. Fernandez; Gonzalez-Hernandez, M. P.; Papanastasis, V. P.; Mantzanas, K.; Van Lerberghe, P.; Malignier, N."	Agroforestry for high value tree systems in Europe	Agroforestry Systems	0167-4366	10.1007/s10457-017-0181-7	<Go to ISI>://WOS:000440076000011	"Most farm-based agroforestry projects focus on the integration of trees on arable or livestock enterprises. This paper focuses on the integration of understorey crops and/or livestock within high value tree systems (e.g., apple orchards, olive groves, chestnut woodlands, and walnut plantations), and describes the components, structure, ecosystem services and economic value of ten case studies of this type of agroforestry across Europe. Although their ecological and socio-economic contexts vary, the systems share some common characteristics. The primary objective of the farmer is likely to remain the value of tree products like apples, olives, oranges, or nuts, or particularly high value timber. However there can still be production, environmental or economic benefits of integrating agricultural crops such as chickpeas and barley, or grazing an understorey grass crop with livestock. Three of the systems focused on the grazing of apple orchards with sheep in the UK and France. The introduction of sheep to apple orchards can minimise the need for mowing and provide an additional source of revenue. Throughout the Mediterranean, there is a need to improve the financial viability of olive groves. The case studies illustrate the possibility of intercropping traditional olive stands with chickpea in Greece, or the intercropping of wild asparagus in high density olive groves in Italy. Another system studied in Greece involves orange trees intercropped with chickpeas. Stands of chestnut trees in North-west Spain can provide feed for pigs when the fruit falls in November, and provide an excellent habitat for the commercial production of edible mushrooms. In Spain, in the production of high quality walnut trees using rotations of up to 50-60 years, there are options to establish a legume-based mixed pasture understorey and to introduce sheep to provide financial and environmental benefits."	92	4	147-156		UK		55.378051	-3.435973	Sheep		Orchard		Other	Orchard without grazing											Positive
Orefice2019_687	Journal Article	2019	"Orefice, Joseph; Smith, Richard G.; Carroll, John; Asbjornsen, Heidi; Howard, Theodore"	"Forage productivity and profitability in newly-established open pasture, silvopasture, and thinned forest production systems"	Agroforestry Systems	0167-4366	10.1007/s10457-016-0052-7	<Go to ISI>://WOS:000459755100005	"There is growing interest among farmers in the northeast US in silvopasture and other practices that would help them expand their agricultural land base in this forested region. Unfortunately, little quantitative data exist regarding forage performance and economic outcomes associated with different forest-to-agriculture conversion strategies, particularly for the northern tier of states. This research examined forage dry matter production and quality in six forage treatments (orchardgrass, bluegrass, brome, and perennial ryegrass bicultures with white clover; cut hay; and a control) in newly-established silvopastures and open pastures converted from an early successional northern hardwood forest in New York. In addition, we conducted a financial analysis of the establishment of both agricultural systems, as well as a thinned forest treatment managed solely for wood products. Total forage dry matter production (planted forages plus volunteer grasses) was greater in open pastures than silvopastures in the first year after establishment; however, no differences in total forage production were found between silvopastures and open pastures in June or August of the second year. Total forage dry matter production was greater in the orchardgrass-white clover biculture compared to the control treatment in both years. Orchardgrass percent crude protein was lower in open pastures (10.7%) compared to silvopastures (12.9%) in June of year two. The financial analysis indicated that silvopasture outperformed open pasture and thinned forest treatments in terms of both IRR and NPV. We conclude that forage production in silvopastures can be competitive with that in open pastures on sites with a similar, forested, starting condition."	93	1	37-43		USA	New York	44.35	-73.53	Cattle		Silvopasture		Pasture without trees		Understory/pasture production		No effect								Positive
Oosterbaan2006_693	Journal Article	2006	"Oosterbaan, A.; Schepers, H.; Kwanten, E."	Walnut as a farm crop in the Netherlands: an agroforestry project in the east and selection of cultivars for organic cultivation in the north	Acta Horticulturae	0567-7572; 90-6605-426-3		http://www.actahort.org	"Foreign and Dutch walnut cultivars have been evaluated in experiments at the Research Station for Fruit Growing located in the Southwest. The cultivars that performed best in these trials originated from British Columbia ('Broadview') and The Netherlands ('Buccaneer'). In an agroforestry project in the East, 8 farms planted 10 ha of walnut ('Broadview', 'Buccaneer'), cherry and sweet chestnut at a spacing between 10-20 metres. The initial investment for trees, poles, wire netting to protect against animals, resulted in a low net income for the first 5 years. Thereafter, the income from the combination of walnut and quality timber with grass is reasonable and may exceed the income from subsidised, extensively managed grass. The grass production varied from 3 to 9 tons of dry matter per hectare per year. In the 4 years of investigation there was no visible evidence that the presence of the trees had influenced the composition and production of the grass vegetation. Based on predicted crown development grass production will be possible for a long period. So far, the nut production from the young plantations has not been profitable. In order to find walnuts that were better adapted to the cooler weather conditions of the North, walnuts were selected from green areas in the North and evaluated for their characteristics. This resulted in at least two cultivars ('Dionym', 'Amphyon') with excellent yield potentials together with a good external and internal quality. Both cultivars have a low susceptibility to disease and are particularly suitable for organic cultivation. 'Dionym' and 'Amphyon' are planted in private gardens but also in a commercial organic orchard of 1.5 ha in which the 200 walnut trees are grown together (mixed cropping) with hazelnuts and Sea Buckthorn."		705	438	agroforestry; dry matter; grasslands; hazelnuts; organic farming; sown grasslands; walnuts	Netherlands		52.132633	5.291266	Unclear		Silvopasture		Baseline from implementation		Understory/pasture production		No effect								Mixed results (positive and no effect)
Morgan-Davies2008_813	Journal Article	2008	"Morgan-Davies, C.; Waterhouse, A.; Pollock, M. L.; Holland, J. P."	Integrating hill sheep production and newly established native woodland: achieving sustainability through multiple land use in Scotland	International Journal of Agricultural Sustainability	1473-5903	10.3763/ijas.2007.0248	<Go to ISI>://WOS:000265488600003	"A novel system combining hill sheep production with native woodland creation has been established in a Scottish mountain valley. This involved implementing an off-wintering regime for a Scottish Blackface ewe flock, fencing approximately one-quarter of the valley, and planting native trees within the fenced area. Comparisons between initial bio-economical modelling results and actual monitored data over five years were made, to assess the potential success of such a combined system in terms of flock economics, local labour, woodland establishment and vegetation and bird impacts. Participative research to assess public benefits (including biodiversity) and uptake by the industry was also carried out. Results showed that with the exception of the slow rate of woodland establishment, results exceeded predictions, especially for the combined system economics, where actual returns were 20% more than predicted. The public and the industry were also very supportive of such an approach (78% and 68% of them respectively). It could also be argued that there is the potential to fully integrate the system in the future by grazing within the woodland and increased use for recreation and amenity, providing evidence that such a multiple land use approach is a viable one for upland and hill areas."	6	2	96-101		UK	Scotland	56.39	-3.44	Sheep		Farm woodland		Baseline from implementation		Livestock growth		Positive								Positive
