Study ID	Author and Year	Reference	Reference Number in Manuscript	Country	Type of Miombo	Type of Study	Study Year	LonDD	LatDD	Cover Type	Category	Age in Years	Treatment	Management	AGwodCMgperHa	AGCOpenareas	AGCGMA	AGCForestReserves	AGCNationalParks	"Biomass & Basal area data (BGCMg/ha, OGBGCMg/ha, BasalArea  sqm/ha, BA as Mg/ha, BA as C Mg/ha, Biomass Mg/ha, Biomass as C Mg/ha, Aboveground C Mg/ha, Belowground biomass Mg/ha)"	"Soil data (Soil C Mg/ha, Oldgrowth soil C Mg/ha, Cropland C Mg/ha, Postcultivation soil C Mg/ha, Soil C Mg/ha, Soil organic matter content (%))"
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	5	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	7	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	8	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	12	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	14	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Oldgrowth	Oldgrowth	 	 Baseline	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	1	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	2	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	5	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	6	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	7	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	13	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	19	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	20	 Baseline	" Mixed, None"						Data Reported	Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Regrowth	Postcult	25	 Baseline	" Mixed, None"							Data Reported
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	2	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Oldgrowth	Oldgrowth	 	 Baseline	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	3	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	4	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	5	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	6	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	9	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	10	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	13	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	19	 Control	 None						Data Reported	
23	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	30	 Control	 None						Data Reported	
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	1	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	2	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	3	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	4	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	5	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	6	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	7	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	8	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	9	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	10	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	11	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	12	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	13	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	14	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	15	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	16	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	17	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	18	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	19	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	20	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	21	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	22	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	23	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	24	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	25	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	26	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	27	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	28	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	29	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	30	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	31	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	32	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	33	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	34	 Control	 None							Data Reported
26	Sambane (2005) 	"Sambane E Above ground biomass accumulation in fallow fields at the Nhambita Community, Mozambique A dissertation presented for the degree of Master of Science University of Edinburgh ; 2005"	37	Mozambique	dry	quantitative	2005	34.176	-18.979	 Regrowth	Postcult	35	 Control	 None							Data Reported
28	Boaler and Sciwale (1966) 	"Boaler S, Sciwale K Ecology of a miombo site, Lupa North Forest Reserve, Tanzania III Effects on the vegetation of local cultivation practices J Ecol 1966;54:577–87"	6	Tanzania	dry	quantitative	1963	33.334	-7.976	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
28	Boaler and Sciwale (1966) 	"Boaler S, Sciwale K Ecology of a miombo site, Lupa North Forest Reserve, Tanzania III Effects on the vegetation of local cultivation practices J Ecol 1966;54:577–87"	6	Tanzania	dry	quantitative	1963	33.334	-7.976	 Oldgrowth	Oldgrowth	 	 Baseline	 None						Data Reported	
28	Boaler and Sciwale (1966) 	"Boaler S, Sciwale K Ecology of a miombo site, Lupa North Forest Reserve, Tanzania III Effects on the vegetation of local cultivation practices J Ecol 1966;54:577–87"	6	Tanzania	dry	quantitative	1963	33.334	-7.976	 Regrowth	Postclear	10	 	 						Data Reported	
28	Boaler and Sciwale (1966) 	"Boaler S, Sciwale K Ecology of a miombo site, Lupa North Forest Reserve, Tanzania III Effects on the vegetation of local cultivation practices J Ecol 1966;54:577–87"	6	Tanzania	dry	quantitative	1963	33.334	-7.976	 Regrowth	Postclear	20	 	 						Data Reported	
28	Boaler and Sciwale (1966) 	"Boaler S, Sciwale K Ecology of a miombo site, Lupa North Forest Reserve, Tanzania III Effects on the vegetation of local cultivation practices J Ecol 1966;54:577–87"	6	Tanzania	dry	quantitative	1963	33.334	-7.976	 Regrowth	Postclear	25	 	 						Data Reported	
28	Boaler and Sciwale (1966) 	"Boaler S, Sciwale K Ecology of a miombo site, Lupa North Forest Reserve, Tanzania III Effects on the vegetation of local cultivation practices J Ecol 1966;54:577–87"	6	Tanzania	dry	quantitative	1963	33.334	-7.976	 Regrowth	Postclear	50	 	 						Data Reported	
28	Boaler and Sciwale (1966) 	"Boaler S, Sciwale K Ecology of a miombo site, Lupa North Forest Reserve, Tanzania III Effects on the vegetation of local cultivation practices J Ecol 1966;54:577–87"	6	Tanzania	dry	quantitative	1963	33.334	-7.976	 Regrowth	Postclear	100	 	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	8	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	8	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	9	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	10	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	13	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	14	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	15	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	16	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	18	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	18	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	20	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	21	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	24	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	30	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	32	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	34	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	40	 IrregularFir	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	40	 Nofire	 						Data Reported	
