Article UID	Source of Article	Reference Type	Full Citation	Year	Author	Title	Journal	DOI	URL	Abstract	Volume	Issue	Pages	Aggregated comparator data only	If Aggregated are the forests managed?	Scale of Study	No. of Studies (Comparator)	Year study started	Study Duration (in months)	UK Nation	Listed Area(s)	LatDD	LonDD	Study Q/Obj	Type of study comparisons made	Treatment allocation	Number of sample points (number)	Commercial Trees	Former landuse	Stand structure	Stand composition	Silvicultural system	Stand developmental stages (only if clear cut system system compared)	Rotation	Comparator Site (if a chronosequence, select 'Not applicable')	Species identification methods	Assessment methodology	Taxonomic Diversity- Richness (S)	Taxonomic Diversity- Abundance (J')	Taxonomic Diversity- Spp Diversity (Index)	Community -Composition 	Functional Diversity (inc diversity of traits)	Levels of Redundancy (taxonomic and/or functional)	Forest strata of study	Specific biodiversity taxa	Specific biodiversity taxa (+)	Specific biodiversity taxa (-)	Specific biodiversity taxa (=)	Additional notes on biodiversity outcome(s)	Taxonomic groups	Are there any missing data in the study results?	Are missing data fully accounted for?	Are all raw data available?	Suitable for meta analysis?
Murphy_2012	Digital	Journal Article	Murphy, S.E., Greenaway, F. and Hill, D.A., 2012. Patterns of habitat use by female brown long‐eared bats presage negative impacts of woodland conservation management. Journal of Zoology, 288(3), pp.177-183.	2012	Murphy, S.E., Greenaway, F., Hill, D.A.	Patterns of habitat use by female brown long‐eared bats presage negative impacts of woodland conservation management	Journal of Zoology			Reinstating forestry practices, such as coppicing, thinning the understorey and grazing, has become a key element of proposals for improving the conservation value of Broadleaf woodlands in Europe. However, the consequences of such woodland management for bats are poorly understood because of a lack of knowledge concerning their habitat requirements. We studied the brown long- eared bat Plecotus auritusin South East England to determine how their patterns of habitat use could inform conservation management. Radio-tracking of 38 adult females showed that they foraged primarily in woodland and that each had a foraging area (mean = 4.4 ha) that they returned to on successive nights. Core foraging areas (mean = 2.1 ha) were characterized by more cover and greater species diversity in the understorey layer than more peripheral areas. Hedgerows were also used for foraging in the late summer and autumn. Most conservation activities for this species have focused on protecting roosts in houses and other buildings. While such protection is important for bat conservation, efforts should also be made to protect foraging habitats in woodlands by maintaining cover of native species in the understorey layer and hedgerows that provide connectivity between woodland patches. Common conservation management practices, such as reinstating coppic- ing or grazing in semi-natural Broadleaf woodlands, could be detrimental for P. auritus and other woodland bats. Their impact on bats should be tested experi- mentally before they are widely promoted as a woodland conservation strategy.	288	3	177-183	Yes	Managed	Stand	1	2003	72	England	West Sussex;East Sussex;Surrey	50.940427	0.36999779	We examine ranging behaviour by individual female bats in oak woods in South East England to investigate the influence of woodland structure and composition on their patterns of habitat use.	Pairwise comparison silviculture	Stratified	4	Oak	Not Reported	Not reported	Mixed	Not reported		Not reported		Sensor	38 bats tagged, habitat useage / foraging areas quantified using GIS software 	No	Yes	No	No	No	No	Canopy;Sub-canopy	Plecotus auritus					Mammals	No	Not applicable	No	No
Murphy_2012	Digital	Journal Article	Murphy, S.E., Greenaway, F. and Hill, D.A., 2012. Patterns of habitat use by female brown long‐eared bats presage negative impacts of woodland conservation management. Journal of Zoology, 288(3), pp.177-183.	2012	Murphy, S.E., Greenaway, F., Hill, D.A.	Patterns of habitat use by female brown long‐eared bats presage negative impacts of woodland conservation management	Journal of Zoology			Reinstating forestry practices, such as coppicing, thinning the understorey and grazing, has become a key element of proposals for improving the conservation value of Broadleaf woodlands in Europe. However, the consequences of such woodland management for bats are poorly understood because of a lack of knowledge concerning their habitat requirements. We studied the brown long- eared bat Plecotus auritusin South East England to determine how their patterns of habitat use could inform conservation management. Radio-tracking of 38 adult females showed that they foraged primarily in woodland and that each had a foraging area (mean = 4.4 ha) that they returned to on successive nights. Core foraging areas (mean = 2.1 ha) were characterized by more cover and greater species diversity in the understorey layer than more peripheral areas. Hedgerows were also used for foraging in the late summer and autumn. Most conservation activities for this species have focused on protecting roosts in houses and other buildings. While such protection is important for bat conservation, efforts should also be made to protect foraging habitats in woodlands by maintaining cover of native species in the understorey layer and hedgerows that provide connectivity between woodland patches. Common conservation management practices, such as reinstating coppic- ing or grazing in semi-natural Broadleaf woodlands, could be detrimental for P. auritus and other woodland bats. Their impact on bats should be tested experi- mentally before they are widely promoted as a woodland conservation strategy.	288	3	177-183	Yes	Managed	Stand	1	2003	72	England	West Sussex;East Sussex;Surrey	51.271532	-0.34145235	We examine ranging behaviour by individual female bats in oak woods in South East England to investigate the influence of woodland structure and composition on their patterns of habitat use.	Pairwise comparison silviculture	Stratified	4	Oak	Not Reported	Not reported	Mixed	Not reported		Not reported		Sensor	38 bats tagged, habitat useage / foraging areas quantified using GIS software 	No	Yes	No	No	No	No	Canopy;Sub-canopy	Plecotus auritus					Mammals	No	Not applicable	No	No
Neumann_2016	Digital			2016	Neumann, J.L., Griffiths, G.H., Foster, C.W., Holloway, G.J.	The heterogeneity of wooded-agricultural landscape mosaics influences woodland bird community assemblages	Landscape Ecology	10.1007/s10980-016-0366-x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961773437&doi=10.1007%2fs10980-016-0366-x&partnerID=40&md5=40ff967b6690681697c51bb1770bb465	Context: Landscape heterogeneity (the composition and configuration of different landcover types) plays a key role in shaping woodland bird assemblages in wooded-agricultural mosaics. Understanding how species respond to landscape factors could contribute to preventing further decline of woodland bird populations. Objective: To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments. Methods: Birds were sampled from woodlands in 58 2Â Ã—Â 2Â km tetrads across southern Britain. Landscape heterogeneity was quantified for each tetrad. Bird assemblage response was determined using redundancy analysis combined with variation partitioning and response trait analyses. Results: For woodland bird assemblages, the independent explanatory importance of landscape composition and landscape configuration variables were closely interrelated. When considered simultaneously during variation partitioning, the community response was better represented by compositional variables. Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations. Conclusions: At the 2Â Ã—Â 2Â km scale, there was evidence that the availability of resources provided by proximate landcover types was highly important for shaping woodland bird assemblages. Further research to disentangle the effects of composition and configuration at different spatial scales is advocated. Â© 2016, Springer Science+Business Media Dordrecht.	31	8	1833-1848	Yes	Managed	Stand	1	2011	24	England	Oxfordshire;Berkshire;Hampshire;Wiltshire	51.833333	-1.25	To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments.	Pairwise comparison tree species	Stratified	58	Conifer (unspecified)	Not Reported	Mixed Age, Mixed Storey;Single Age, Single Storey	Monoculture;Mixed	Not reported		Not reported	Agricultural land (unspecified);Broadleaf woodland;Grassland;Mixed woodland	Morphology;Other	Point count method of Bibby et al in the central tetrad of each of the 58 sites; surveyed half in 2011 and half in 2013	Yes	Yes	No	Yes	No	No	Canopy;Sub-canopy	Aegithalos caudatus;Carduelis carduelis;Chloris chloris;Columba oenas;Cuculus canorus;Cyanistes caeruleus;Dendrocopos major;Erithacus rubecula;Fringilla coelebs;Parus major;Periparus ater;Phylloscopus collybita;Phylloscopus trochilus;Picus viridis;Poecile montanus;Poecile palustris;Regulus regulus;Sylvia atricapilla;Sylvia borin;Turdus philomelos				Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations	Birds	No	Not applicable	No	No
Neumann_2016	Digital			2016	Neumann, J.L., Griffiths, G.H., Foster, C.W., Holloway, G.J.	The heterogeneity of wooded-agricultural landscape mosaics influences woodland bird community assemblages	Landscape Ecology	10.1007/s10980-016-0366-x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961773437&doi=10.1007%2fs10980-016-0366-x&partnerID=40&md5=40ff967b6690681697c51bb1770bb465	Context: Landscape heterogeneity (the composition and configuration of different landcover types) plays a key role in shaping woodland bird assemblages in wooded-agricultural mosaics. Understanding how species respond to landscape factors could contribute to preventing further decline of woodland bird populations. Objective: To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments. Methods: Birds were sampled from woodlands in 58 2Â Ã—Â 2Â km tetrads across southern Britain. Landscape heterogeneity was quantified for each tetrad. Bird assemblage response was determined using redundancy analysis combined with variation partitioning and response trait analyses. Results: For woodland bird assemblages, the independent explanatory importance of landscape composition and landscape configuration variables were closely interrelated. When considered simultaneously during variation partitioning, the community response was better represented by compositional variables. Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations. Conclusions: At the 2Â Ã—Â 2Â km scale, there was evidence that the availability of resources provided by proximate landcover types was highly important for shaping woodland bird assemblages. Further research to disentangle the effects of composition and configuration at different spatial scales is advocated. Â© 2016, Springer Science+Business Media Dordrecht.	31	8	1833-1848	Yes	Managed	Stand	1	2011	24	England	Oxfordshire;Berkshire;Hampshire;Wiltshire	51.453489	-1.031873	To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments.	Pairwise comparison tree species	Stratified	58	Conifer (unspecified)	Not Reported	Mixed Age, Mixed Storey;Single Age, Single Storey	Monoculture;Mixed	Not reported		Not reported	Agricultural land (unspecified);Broadleaf woodland;Grassland;Mixed woodland	Morphology;Other	Point count method of Bibby et al in the central tetrad of each of the 58 sites; surveyed half in 2011 and half in 2013	Yes	Yes	No	Yes	No	No	Canopy;Sub-canopy	Aegithalos caudatus;Carduelis carduelis;Chloris chloris;Columba oenas;Cuculus canorus;Cyanistes caeruleus;Dendrocopos major;Erithacus rubecula;Fringilla coelebs;Parus major;Periparus ater;Phylloscopus collybita;Phylloscopus trochilus;Picus viridis;Poecile montanus;Poecile palustris;Regulus regulus;Sylvia atricapilla;Sylvia borin;Turdus philomelos				Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations	Birds	No	Not applicable	No	No
Neumann_2016	Digital			2016	Neumann, J.L., Griffiths, G.H., Foster, C.W., Holloway, G.J.	The heterogeneity of wooded-agricultural landscape mosaics influences woodland bird community assemblages	Landscape Ecology	10.1007/s10980-016-0366-x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961773437&doi=10.1007%2fs10980-016-0366-x&partnerID=40&md5=40ff967b6690681697c51bb1770bb465	Context: Landscape heterogeneity (the composition and configuration of different landcover types) plays a key role in shaping woodland bird assemblages in wooded-agricultural mosaics. Understanding how species respond to landscape factors could contribute to preventing further decline of woodland bird populations. Objective: To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments. Methods: Birds were sampled from woodlands in 58 2Â Ã—Â 2Â km tetrads across southern Britain. Landscape heterogeneity was quantified for each tetrad. Bird assemblage response was determined using redundancy analysis combined with variation partitioning and response trait analyses. Results: For woodland bird assemblages, the independent explanatory importance of landscape composition and landscape configuration variables were closely interrelated. When considered simultaneously during variation partitioning, the community response was better represented by compositional variables. Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations. Conclusions: At the 2Â Ã—Â 2Â km scale, there was evidence that the availability of resources provided by proximate landcover types was highly important for shaping woodland bird assemblages. Further research to disentangle the effects of composition and configuration at different spatial scales is advocated. Â© 2016, Springer Science+Business Media Dordrecht.	31	8	1833-1848	Yes	Managed	Stand	1	2011	24	England	Oxfordshire;Berkshire;Hampshire;Wiltshire	51.044835	-1.2434094	To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments.	Pairwise comparison tree species	Stratified	58	Conifer (unspecified)	Not Reported	Mixed Age, Mixed Storey;Single Age, Single Storey	Monoculture;Mixed	Not reported		Not reported	Agricultural land (unspecified);Broadleaf woodland;Grassland;Mixed woodland	Morphology;Other	Point count method of Bibby et al in the central tetrad of each of the 58 sites; surveyed half in 2011 and half in 2013	Yes	Yes	No	Yes	No	No	Canopy;Sub-canopy	Aegithalos caudatus;Carduelis carduelis;Chloris chloris;Columba oenas;Cuculus canorus;Cyanistes caeruleus;Dendrocopos major;Erithacus rubecula;Fringilla coelebs;Parus major;Periparus ater;Phylloscopus collybita;Phylloscopus trochilus;Picus viridis;Poecile montanus;Poecile palustris;Regulus regulus;Sylvia atricapilla;Sylvia borin;Turdus philomelos				Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations	Birds	No	Not applicable	No	No
Neumann_2016	Digital			2016	Neumann, J.L., Griffiths, G.H., Foster, C.W., Holloway, G.J.	The heterogeneity of wooded-agricultural landscape mosaics influences woodland bird community assemblages	Landscape Ecology	10.1007/s10980-016-0366-x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961773437&doi=10.1007%2fs10980-016-0366-x&partnerID=40&md5=40ff967b6690681697c51bb1770bb465	Context: Landscape heterogeneity (the composition and configuration of different landcover types) plays a key role in shaping woodland bird assemblages in wooded-agricultural mosaics. Understanding how species respond to landscape factors could contribute to preventing further decline of woodland bird populations. Objective: To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments. Methods: Birds were sampled from woodlands in 58 2Â Ã—Â 2Â km tetrads across southern Britain. Landscape heterogeneity was quantified for each tetrad. Bird assemblage response was determined using redundancy analysis combined with variation partitioning and response trait analyses. Results: For woodland bird assemblages, the independent explanatory importance of landscape composition and landscape configuration variables were closely interrelated. When considered simultaneously during variation partitioning, the community response was better represented by compositional variables. Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations. Conclusions: At the 2Â Ã—Â 2Â km scale, there was evidence that the availability of resources provided by proximate landcover types was highly important for shaping woodland bird assemblages. Further research to disentangle the effects of composition and configuration at different spatial scales is advocated. Â© 2016, Springer Science+Business Media Dordrecht.	31	8	1833-1848	Yes	Managed	Stand	1	2011	24	England	Oxfordshire;Berkshire;Hampshire;Wiltshire	51.324162	-1.9032487	To investigate how woodland birds with different species traits respond to landscape heterogeneity, and to identify whether specific landcover types are important for maintaining diverse populations in wooded-agricultural environments.	Pairwise comparison tree species	Stratified	58	Conifer (unspecified)	Not Reported	Mixed Age, Mixed Storey;Single Age, Single Storey	Monoculture;Mixed	Not reported		Not reported	Agricultural land (unspecified);Broadleaf woodland;Grassland;Mixed woodland	Morphology;Other	Point count method of Bibby et al in the central tetrad of each of the 58 sites; surveyed half in 2011 and half in 2013	Yes	Yes	No	Yes	No	No	Canopy;Sub-canopy	Aegithalos caudatus;Carduelis carduelis;Chloris chloris;Columba oenas;Cuculus canorus;Cyanistes caeruleus;Dendrocopos major;Erithacus rubecula;Fringilla coelebs;Parus major;Periparus ater;Phylloscopus collybita;Phylloscopus trochilus;Picus viridis;Poecile montanus;Poecile palustris;Regulus regulus;Sylvia atricapilla;Sylvia borin;Turdus philomelos				Different species responded to different landscape features and this could be explained by traits relating to woodland association, foraging strata and nest location. Ubiquitous, generalist species, many of which were hole-nesters or ground foragers, correlated positively with urban landcover while specialists of Broadleaf woodland avoided landscapes containing urban areas. Species typical of coniferous woodland correlated with large conifer plantations	Birds	No	Not applicable	No	No
Newton_1976	Digital	Journal Article	Newton, I., 1976. Breeding of sparrowhawks (Accipiter nisus) in different environments. The Journal of Animal Ecology, pp.831-849.	1976	Newton, I.	Breeding of sparrowhawks (Accipiter nisus) in different environments	Journal of Animal Ecology			This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73. It forms part of a wider study, which is aimed at finding what is currentiy limiting numbers, and particularly at assessing the influence of organo-chlorine pesticides. Until these compounds came into widespread use, the sparrowhawk was common throughout Britain and, despite heavy persecution from gamekeepers, maintained its numbers well. Since 1947 when DDT came into wide use, it has laid thin-shelled eggs, with a consequent reduction in breeding success; and after 1955 when the more toxic cyclodiene compounds (aldrin, dieldrin and heptachlor) were introduced as cereal seed-dressings, it suffered a massive population decline (Prestt 1965; Ratcliffe 1970; Newton 1974). With successive restrictions since 1962 on the use of such compounds, the species has begun to recover, and in southern Scotland is numerous again (Newton 1973). The sparrowhawks studied nested only in woodland, especially in conifer stands; they used the same restricted nesting territories in different years (confirming Uttendorfer 1939; Tinbergen 1946; Kramer 1955; Hald-Mortensen 1974 and others), but usually built a new nest each year near old ones. They mostly began building in March/April and egg laying in early May, so that the young hatched in June, fledged in July, and dispersed from the nesting territories in August. (The nesting territory was the area around the nest that was defended against other sparrowhawks and other predators, and did not include more distant hunting areas.) Hunting occurred in both woods and other habitats, and the prey consisted of whatever small birds were available locally. Most prey species (like the hawks themselves) were non-migratory in this region, and were more numerous in valleys than in hills (Moss 1976).			831-849	No	Not applicable 	Forest	1	1971	36	Scotland	Esk Valley;Annan;Ae Forest	55.863885	-3.264893	This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73.	Pairwise comparison landuse	Stratified	395	Norway spruce	Not Reported	Not reported	Monoculture;Mixed	Not reported		Not reported		Morphology	The two study areas, of about 17 x 12 km and 33 x 21 km, were centred on the rivers Esk and Annan in Dumfriesshire. Each year, every wood in both areas was searched thoroughly, checking for nests and for droppings, pluckings, moulted feathers, and other signs of sparrowhawks.	No	Yes	No	No	No	No	Entire habitat	Accipiter nisus					Birds	Yes	No	No	Yes
Newton_1976	Digital	Journal Article	Newton, I., 1976. Breeding of sparrowhawks (Accipiter nisus) in different environments. The Journal of Animal Ecology, pp.831-849.	1976	Newton, I.	Breeding of sparrowhawks (Accipiter nisus) in different environments	Journal of Animal Ecology			This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73. It forms part of a wider study, which is aimed at finding what is currentiy limiting numbers, and particularly at assessing the influence of organo-chlorine pesticides. Until these compounds came into widespread use, the sparrowhawk was common throughout Britain and, despite heavy persecution from gamekeepers, maintained its numbers well. Since 1947 when DDT came into wide use, it has laid thin-shelled eggs, with a consequent reduction in breeding success; and after 1955 when the more toxic cyclodiene compounds (aldrin, dieldrin and heptachlor) were introduced as cereal seed-dressings, it suffered a massive population decline (Prestt 1965; Ratcliffe 1970; Newton 1974). With successive restrictions since 1962 on the use of such compounds, the species has begun to recover, and in southern Scotland is numerous again (Newton 1973). The sparrowhawks studied nested only in woodland, especially in conifer stands; they used the same restricted nesting territories in different years (confirming Uttendorfer 1939; Tinbergen 1946; Kramer 1955; Hald-Mortensen 1974 and others), but usually built a new nest each year near old ones. They mostly began building in March/April and egg laying in early May, so that the young hatched in June, fledged in July, and dispersed from the nesting territories in August. (The nesting territory was the area around the nest that was defended against other sparrowhawks and other predators, and did not include more distant hunting areas.) Hunting occurred in both woods and other habitats, and the prey consisted of whatever small birds were available locally. Most prey species (like the hawks themselves) were non-migratory in this region, and were more numerous in valleys than in hills (Moss 1976).			831-849	No	Not applicable 	Forest	1	1971	36	Scotland	Esk Valley;Annan;Ae Forest	55.863885	-3.264893	This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73.	Pairwise comparison landuse	Stratified	395	Sitka spruce	Not Reported	Not reported	Monoculture;Mixed	Not reported		Not reported		Morphology	The two study areas, of about 17 x 12 km and 33 x 21 km, were centred on the rivers Esk and Annan in Dumfriesshire. Each year, every wood in both areas was searched thoroughly, checking for nests and for droppings, pluckings, moulted feathers, and other signs of sparrowhawks.	No	Yes	No	No	No	No	Entire habitat	Accipiter nisus					Birds	Yes	No	No	Yes
Newton_1976	Digital	Journal Article	Newton, I., 1976. Breeding of sparrowhawks (Accipiter nisus) in different environments. The Journal of Animal Ecology, pp.831-849.	1976	Newton, I.	Breeding of sparrowhawks (Accipiter nisus) in different environments	Journal of Animal Ecology			This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73. It forms part of a wider study, which is aimed at finding what is currentiy limiting numbers, and particularly at assessing the influence of organo-chlorine pesticides. Until these compounds came into widespread use, the sparrowhawk was common throughout Britain and, despite heavy persecution from gamekeepers, maintained its numbers well. Since 1947 when DDT came into wide use, it has laid thin-shelled eggs, with a consequent reduction in breeding success; and after 1955 when the more toxic cyclodiene compounds (aldrin, dieldrin and heptachlor) were introduced as cereal seed-dressings, it suffered a massive population decline (Prestt 1965; Ratcliffe 1970; Newton 1974). With successive restrictions since 1962 on the use of such compounds, the species has begun to recover, and in southern Scotland is numerous again (Newton 1973). The sparrowhawks studied nested only in woodland, especially in conifer stands; they used the same restricted nesting territories in different years (confirming Uttendorfer 1939; Tinbergen 1946; Kramer 1955; Hald-Mortensen 1974 and others), but usually built a new nest each year near old ones. They mostly began building in March/April and egg laying in early May, so that the young hatched in June, fledged in July, and dispersed from the nesting territories in August. (The nesting territory was the area around the nest that was defended against other sparrowhawks and other predators, and did not include more distant hunting areas.) Hunting occurred in both woods and other habitats, and the prey consisted of whatever small birds were available locally. Most prey species (like the hawks themselves) were non-migratory in this region, and were more numerous in valleys than in hills (Moss 1976).			831-849	No	Not applicable 	Forest	1	1971	36	Scotland	Esk Valley;Annan;Ae Forest	55.863885	-3.264893	This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73.	Pairwise comparison landuse	Stratified	395	Larch	Not Reported	Not reported	Monoculture;Mixed	Not reported		Not reported		Morphology	The two study areas, of about 17 x 12 km and 33 x 21 km, were centred on the rivers Esk and Annan in Dumfriesshire. Each year, every wood in both areas was searched thoroughly, checking for nests and for droppings, pluckings, moulted feathers, and other signs of sparrowhawks.	No	Yes	No	No	No	No	Entire habitat	Accipiter nisus					Birds	Yes	No	No	Yes
Newton_1976	Digital	Journal Article	Newton, I., 1976. Breeding of sparrowhawks (Accipiter nisus) in different environments. The Journal of Animal Ecology, pp.831-849.	1976	Newton, I.	Breeding of sparrowhawks (Accipiter nisus) in different environments	Journal of Animal Ecology			This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73. It forms part of a wider study, which is aimed at finding what is currentiy limiting numbers, and particularly at assessing the influence of organo-chlorine pesticides. Until these compounds came into widespread use, the sparrowhawk was common throughout Britain and, despite heavy persecution from gamekeepers, maintained its numbers well. Since 1947 when DDT came into wide use, it has laid thin-shelled eggs, with a consequent reduction in breeding success; and after 1955 when the more toxic cyclodiene compounds (aldrin, dieldrin and heptachlor) were introduced as cereal seed-dressings, it suffered a massive population decline (Prestt 1965; Ratcliffe 1970; Newton 1974). With successive restrictions since 1962 on the use of such compounds, the species has begun to recover, and in southern Scotland is numerous again (Newton 1973). The sparrowhawks studied nested only in woodland, especially in conifer stands; they used the same restricted nesting territories in different years (confirming Uttendorfer 1939; Tinbergen 1946; Kramer 1955; Hald-Mortensen 1974 and others), but usually built a new nest each year near old ones. They mostly began building in March/April and egg laying in early May, so that the young hatched in June, fledged in July, and dispersed from the nesting territories in August. (The nesting territory was the area around the nest that was defended against other sparrowhawks and other predators, and did not include more distant hunting areas.) Hunting occurred in both woods and other habitats, and the prey consisted of whatever small birds were available locally. Most prey species (like the hawks themselves) were non-migratory in this region, and were more numerous in valleys than in hills (Moss 1976).			831-849	No	Not applicable 	Forest	1	1971	36	Scotland	Esk Valley;Annan;Ae Forest	55.863885	-3.264893	This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73.	Pairwise comparison landuse	Stratified	395	Larch	Not Reported	Not reported	Monoculture;Mixed	Not reported		Not reported		Morphology	The two study areas, of about 17 x 12 km and 33 x 21 km, were centred on the rivers Esk and Annan in Dumfriesshire. Each year, every wood in both areas was searched thoroughly, checking for nests and for droppings, pluckings, moulted feathers, and other signs of sparrowhawks.	No	Yes	No	No	No	No	Entire habitat	Accipiter nisus					Birds	Yes	No	No	Yes
Newton_1976	Digital	Journal Article	Newton, I., 1976. Breeding of sparrowhawks (Accipiter nisus) in different environments. The Journal of Animal Ecology, pp.831-849.	1976	Newton, I.	Breeding of sparrowhawks (Accipiter nisus) in different environments	Journal of Animal Ecology			This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73. It forms part of a wider study, which is aimed at finding what is currentiy limiting numbers, and particularly at assessing the influence of organo-chlorine pesticides. Until these compounds came into widespread use, the sparrowhawk was common throughout Britain and, despite heavy persecution from gamekeepers, maintained its numbers well. Since 1947 when DDT came into wide use, it has laid thin-shelled eggs, with a consequent reduction in breeding success; and after 1955 when the more toxic cyclodiene compounds (aldrin, dieldrin and heptachlor) were introduced as cereal seed-dressings, it suffered a massive population decline (Prestt 1965; Ratcliffe 1970; Newton 1974). With successive restrictions since 1962 on the use of such compounds, the species has begun to recover, and in southern Scotland is numerous again (Newton 1973). The sparrowhawks studied nested only in woodland, especially in conifer stands; they used the same restricted nesting territories in different years (confirming Uttendorfer 1939; Tinbergen 1946; Kramer 1955; Hald-Mortensen 1974 and others), but usually built a new nest each year near old ones. They mostly began building in March/April and egg laying in early May, so that the young hatched in June, fledged in July, and dispersed from the nesting territories in August. (The nesting territory was the area around the nest that was defended against other sparrowhawks and other predators, and did not include more distant hunting areas.) Hunting occurred in both woods and other habitats, and the prey consisted of whatever small birds were available locally. Most prey species (like the hawks themselves) were non-migratory in this region, and were more numerous in valleys than in hills (Moss 1976).			831-849	No	Not applicable 	Forest	1	1971	36	Scotland	Esk Valley;Annan;Ae Forest	55.863885	-3.264893	This paper describes the timing and success of breeding by sparrowhawks Accipiter nisus (Linn.) in different environments in southern Scotland, from 395 nests found in 1971-73.	Pairwise comparison landuse	Stratified	395	Lodgepole pine	Not Reported	Not reported	Monoculture;Mixed	Not reported		Not reported		Morphology	The two study areas, of about 17 x 12 km and 33 x 21 km, were centred on the rivers Esk and Annan in Dumfriesshire. Each year, every wood in both areas was searched thoroughly, checking for nests and for droppings, pluckings, moulted feathers, and other signs of sparrowhawks.	No	Yes	No	No	No	No	Entire habitat	Accipiter nisus					Birds	Yes	No	No	Yes
