ID	Coder	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Study Aim	Country	Region	LatDD	LonDD	Rural/Urban/Peri-Urban	Unit Studied	Population affected by Intervention (N)	Units Sampled (n)	Primary Intervention Aim - Social (supporting data present)	Primary Intervention Aim - Economic (supporting data present)	Primary Intervention Aim - Environmental (supporting data present)	Funding Source	Implementer	Start Year of Intervention/Program	End Year of Intervention/Program	Sector	Baseline Technology (Transition From)	Target Technology (Transition To)	Study Design	Data Collection Details (Text from paper)	Study Date	Study Duration (Years)	Years Since Intervention (Sustainability Measure)	Measure of Uptake/Sustained Use (% of N)	Are Missing Data Accounted for?	Social	Economic	Environmental	Success Measure (Text from Report)	Drivers - Setting	Barriers - Setting	Drivers - Knowledge	Barriers - Knowledge	Drivers - Technology	Barriers - Technology	Drivers - Finance	Barriers - Finance	Drivers - Regulation	Barriers - Regulation	Drivers - Legislation	Barriers - Legislation	Drivers - Markets	Barriers - Markets	Drivers - Policy	Barriers - Policy	Drivers - Poverty	Barriers - Poverty	Drivers - Gender	Barriers - Gender
S128	Gill	Journal Article	2012	"Hanna, R.; Duflo, E.; Greenstone, M."	Up in Smoke: The Influence of Household Behaviour on the Long-Run Impact of Improved Cooking Stoves	American Economic Journal: Economic Policy		DOI: 10.1257/pol.20140008	https://www.nber.org/papers/w18033	"Laboratory studies suggest that improved cooking stoves can reduce  indoor air pollution, improve health, and decrease greenhouse gas  emissions in developing countries. We provide evidence, from a  large-scale randomized trial in India, on the benefits of a common,  laboratory-validated stove with a four-year follow-up. While smoke  inhalation initially falls, this effect disappears by year two. We find  no changes across health outcomes or greenhouse gas emissions. Households used the stoves irregularly and inappropriately, failed to  maintain them, and usage declined over time. This study underscores  the need to test environmental technologies in real-world settings  where behavior may undermine potential impacts."	8	1	80-114		"evaluate the effect of distributing an inexpensive, improved stove on health and fuel use."	India	Odisha (Orissa)	20.257164	85.8191019	Rural	Households	15000	2575	reduce health risks	reduce cooking time		 Inter-Community Church Organization (ICCO)	NGO (Gram Vikas )	NR	NR	Cooking	Fuelwood	Improved cookstove	Survey		2005;2007	5	4	NR	NA	Human Health and Wellbeing+		Air pollutants+; GHG emissions/	"99% households owned at least one traditional cooking stove. 25% owned any type of low-polluting stove - primarily electric (11%) and kerosene (10 %). Only 23 out of 2,481 households had an improved stove from a previous program tht Gram Vikas had conducted several years earlier. Despite the fact that many households owned a low-polluting stove, 93% continued to use the traditional stove as their primary stove, with an average of 12.6 meals (or  92% of all meals) cooked on one over the last week. 96% of those reporting that they primarily cooked were female."						"Failure to maintain and repair. -Initial household take-up and usage of the (almost free) new stoves was far from universal and then declined markedly over time as households failed to make the maintenance investments (e.g., cleaning the chimney) necessary to keep them fully operational. 2. stoves failed to achieve their primary goal of reducing exposure to hazardous air pollutants. While there was  significant effect on smoke inhalation during the first year for the primary cooks in the household, the treatment effect became statistically indistinguishable from zero in subsequent years as proper stove usage declined."														
S146	Will	Journal Article	2018	"Calzada, J.; Sanz, A."	Universal access to clean cookstoves: Evaluation of a public program in Peru.	Energy policy	0301-4215	https://doi.org/10.1016/j.enpol.2018.03.066	https://www.sciencedirect.com/science/article/pii/S0301421518302003	"The use of biofuels for heating and cooking is the main cause of indoor air pollution in developing countries, and one of the main causes of acute respiratory infections. To tackle this problem, in 2012, the Peruvian Government created the FISE program, which subsidizes the replacement of traditional stoves with gas cookstoves. This paper describes the challenges faced during the implementation of the FISE, such as the selection of beneficiaries and the creation of a national network of suppliers for the delivery of liquefied petroleum gas (LPG) cylinders. Using a dataset with information collected from five districts in the department of Ayacucho in 2015, we apply propensity score matching at the household level to evaluate the effects of the program. We show that the FISE favored the adoption of the LPG cookstoves, but that many households still combine their use with traditional cookstoves. We find no evidence that the use of LPG stoves has reduced respiratory problems in the beneficiary households; however, the program has been found to increase the use of LPG stoves for boiling water, which may reduce the exposition of child in beneficiary households to water-related diseases."	118		559-572	Cookstoves; LPG; Subsidies; Indoor air pollution; Health; FISE program; Peru	"To discribe the challenges faced during the implementation of the FISE program, such as the selection of beneficiaries and the creation of a national network of suppliers for the delivery of liquefied petroleum gas (LPG) cylinders."	Peru	Huamanga	-13.16	-74.22	Urban Peri-Urban and Rural	Individuals	221390	1816	"To evaluate if the FISE voucher scheme has incentivized users to switch from traditional cookstoves to LPG stoves, and we investigate if the program has alleviated the respiratory problems of the beneficiary population."	s to subsidize access to LPG cookstoves among the households located in the poorest districts of Peru.		Fondo de Inclusión Social Energético	Governmnet	2012	2016	Energy	Charcoal;Coal;Kerosene	LPG	Survey	"A survey conducted by OSINERGMIN in April 2015 in Huamanga, one of the 11 provinces of the Department of Ayacucho"	2015	5	NR	NR	NA	Human Health and Wellbeing+	Sustained Funding+; Supply Chain-	Emissions Within Homes+		"The program encourages the replacement of traditional or/and improved stoves with LPG stoves, promotes the use of LPG stoves for cooking, even in those households that were already using an LPG stove before the implementation of the program."						Favoured adoption of LPG cookstoves by low-income households.						FISE increases the probability of households boiling their water using LPG stoves.		Users of LPG stoves might continue using air polluting fuels for heating				Results do not show a signi ficant effect of the voucher on the reduction of respiratory problems in women.	
S162	Leo	Journal Article	2019	"Dendup, N.; Arimura, T.H."	Information leverage: The adoption of clean cooking fuel in Bhutan.	Energy Policy	0301-4216	https://doi.org/10.1016/j.enpol.2018.10.054	http://creativecommons.org/licenses/BY/4.0/	"The outcome of household choice depends on the private information available to an agent, particularly in terms of costs and bene ts. This study examines the role of information in the adoption of clean cooking fuel in Bhutan. We use a rural subsample of nationally representative data from the 2012 Bhutan Living Standard Survey (BLSS) conducted in all twenty districts. We estimate a bivariate probit model to control for the potentially endogenous information variable. The results indicate that households that have access to information are approximately 39% more likely to adopt clean cooking fuel. Similarly, households are 49% less likely to adopt dirty fuel ( rewood) when exposed to information. Other factors such as education, the electricity supply, access to liquidity and the distance to the market are important factors that contribute to adopting clean cooking fuel. The results also show that the e ect of information varies depending on the level of education of the household heads, thus highlighting the importance of accounting for the level of education of information recipients when designing a similar information provision"	125		181-195	Clean fuel; Information; Operator; Environment; Indoor air pollution	This study examines the role of information in the adoption of clean cooking fuel in Bhutan.	Bhutan	All	24.48	89.6	Unspecified	Households	8968	8968	Disseminate improved cookstoves as reponse to indoor air polution threats posed by inefficient cooking		Disseminate improved cookstoves as reponse to environmental health hazards threats posed by inefficient cooking	Government	Government; National Statistics Bureau of Bhutan	2012	2012	Energy	Unspecified;Traditional Cookstoves;Solid Fuel	Improved cookstove;LPG;Clean Fuel	Survey	"We use data from the BLSS conducted in 2012 by the National Statistics Bureau of Bhutan (NSB). The BLSS 2012 surveyed 8968 households from all twenty districts. The BLSS 2012 covers information at both the individual and household levels on demography, education, health, employment, housing, expenditures and income. The Population and Housing Census of Bhutan 2005 was used to construct primary sampling units (PSUs) in rural and urban areas. Blocks were used as PSUs for urban areas, while chiwogs (sub-districts, the lowest administrative units) were used as PSUs for rural areas. The households were randomly selected from each PSU based on a probability pro- portional to the size from the PSUs. The BLSS 2012 reports that in rural Bhutan, 45, 76% and 51% of households use LPG, electricity and  rewood, respectively, for cooking.4 In urban Bhutan, it was reported that approximately 92, 98% and 2% use LPG, electricity and  rewood, respectively. In our study, “clean fuel” is de ned based on the following question: “What fuel do you use most often for cooking?” Households were asked to provide the two most frequently used cooking fuels without maintaining the order of the  rst and second most frequently used cooking fuels."	2012	NR	NR	NR	NA	Human Health and Wellbeing+; Drudgery+	Income+					households that have access to information are approximately 39% more likely to adopt clean fuel for cooking. ; households are 49% less likely to adopt dirty fuel ( rewood) when exposed to information					"The issue of IAP is also mostly associated with developing countries, and these countries face huge constraints to provide subsidies on clean fuel to households. ; "			information disseminated through television is helpful in adopting clean fuel ; 								Our results also indicate that females show a stronger preference for clean cooking fuel	
S174	All	Journal Article	2016	"Kimemia, D.; Annegarn, H."	Domestic LPG interventions in South Africa: Challenges and lessons.	Energy Policy		https://doi.org/10.1016/j.enpol.2016.03.005		"A majority of grid-connected households in South Africa use electricity for cooking and heating tasks. This thermal intensive use of electricity has a high load factor and is a contributory factor of electricity demand outstripping supply at peak demand periods. The government has promoted liquefied petroleum gas (LPG) as an alternative thermal energy source for household cooking and heating. This study evaluates the long-term successes, challenges and social impacts of an LPG intervention project that was piloted in Atteridgeville Township, a typical low-income suburb. The data was gathered through one-on-one household interviews with a sample of the beneficiaries. The results indicate that seven years after the LPG intervention, about 70% of the beneficiaries continue to use LPG and report that the intervention has improved their welfare. Fast cooking is cited as the key tangible benefit of LPG technology in households, followed by saving on electricity bills. The project would have achieved more success through better community engagement, including strict beneficiary selection criteria; a long-term LPG distribution and maintenance plan; and inclusion of recurring monthly LPG subsidies for indigent households. The study discusses the subset of factors necessary for successful rollouts of similar energy projects."	93		150-156	Energy access; Electricity load; LPG; Energy delivery model; Cookstoves; Subsidies	The aim was to evaluate the outcomes of an LPG rollut project that was implemented 7 years earlier	South Africa	Atteridgeville Township	-25.78	27.99	Urban	Households	NR	200	"The stated main objectives of the LPG strategy are 'to provide access to safe, cleaner, efficient, portable, environmentally firendly and affordable thermal fuel for all households"	"The stated main objectives of the LPG strategy are 'to provide access to safe, cleaner, efficient, portable, environmentally firendly and affordable thermal fuel for all households"	"The stated main objectives of the LPG strategy are 'to provide access to safe, cleaner, efficient, portable, environmentally firendly and affordable thermal fuel for all households"	"Government, Department of Energy"	City of Tshwane Metropolitan Municipality	2006	2006	Energy	Paraffin;Coal;Fuelwood;Candles;Electricity;Gas	LPG	Follow-up survey	Randomized serpentine approach	2013	0.2	7	67	NA							"Energy expense, Time saving, and Prestige and status all either improved somewhat or improved greatly (Table 4)"				Respondents indicate that durability is the most important attribute that they consider when shopping for a household energy technology (55%) (table 5)					Distribution collapsed after 4 months	Governent policy options on whether to 'subsidise the purchase of household energy equipment' only or to 'provide monthly fuel subsidies' only are strongly supported in almost equal measure by over 60% of the respondents.	 						
S177	Leo	Journal Article	2018	"Pollard, S.L.; Williams, K.N.; O'Brien, C.J.; Winiker, A.;  Puzzolo, E.; Kephart, J.L.; Fandiño-Del-Rio, M.; Tarazona-Meza, C.; Grigsby, M.R.; Chiang, M.; Checkley, W."	An evaluation of the Fondo de Inclusión Social Energético program to promote access to liquefied petroleum gas in Peru.	Energy for Sustainable Development		https://doi.org/10.1016/j.esd.2018.06.001		"Introduction - Over 80% of rural households in Peru use solid fuels as their primary source of domestic energy, which contributes to several health problems. In 2016, 6.7 million Peruvians were living in rural areas. The Fondo de Inclusión Social Energético (FISE) LPG Promotion Program, which began in 2012 and is housed under the Ministry of Energy and Mining, is a government-sponsored initiative aimed at reducing use of solid fuels by increasing access to clean fuel for cooking to poor Peruvian households. Methods- We conducted a mixed methods study incorporating data from publicly available records and reports, a community survey of 375 households in Puno (the province with the largest number of FISE beneficiary households), and in-depth interviews with community members and key stakeholders. We used the Reach, Effectiveness – Adoption, Implementation, Maintenance (RE-AIM) framework to guide our data collection and analysis efforts. In a sample of 95 households, we also measured 48-hour area concentrations and personal exposures to fine particulate matter (PM2.5). Results - The FISE LPG promotion program has achieved high geographical reach; the program is currently serving households in 100% of districts in Peru. Households with access to electricity may be participating at a higher level than households without electricity because the program is implemented primarily by electricity distributors. In a sample of 95 households, FISE beneficiaries experienced a reduction in kitchen concentrations of PM2.5; however, there were no differences in personal exposures, and both kitchen and personal exposures were above the WHO intermediate target for indoor air quality. Among the 375 households surveyed, stove stacking with biomass fuels was reported in >95% of both beneficiary and non-beneficiary households, with fewer than 5% reporting exclusive use. In-depth interviews suggest that the complexity of the enrollment process and access to LPG distribution points may be key barriers to participating in FISE. Conclusion - The FISE LPG Program has achieved high reach and its targeted subsidy and surcharge-based financing structure represent a potentially feasible and sustainable model for other government programs. However, the prevalence of stove stacking among FISE beneficiaries remains high. There is a need for improved communication channels between program implementers and beneficiaries. FISE should also consider expanding the mobile LPG network and community delivery service to reduce physical barriers and indirect costs of LPG acquisition. Finally, increasing the value of LPG vouchers to completely cover one or two tanks a month, or alternatively, introducing behavior change strategies to reduce monthly LPG usage, may facilitate the transition to exclusive LPG use."	46		82-93	LPG; Biomass fuels; RE-AIM; Program evaluation; Clean cooking; Adoption	"The objective of this paper is to present a case study. We aim to understand the successes and challenges of the program with regard to reach (coverage), effective- ness (e.g. environmental and potential health impacts), adoption (effect on LPG use and exclusive use), implementation (e.g. program opera- tions), and maintenance (i.e. sustainability)."	Peru	Puno	-15.85	-70.05	Rural	Households	1566587	375	"Although improving health was not the primary stated objective of the program, according to key stakeholders, health benefits are recognized as impor- tant program outcomes."	"The primary objective of the program is to provide the most vulnerable populations with access to cleaner energy, targeting households living in poverty or extreme poverty"				2012	2012	Energy	Solid fuel	LPG	Mixed methods	"We surveyed 375 households in 53 rural communities of Puno. Households were selected using simple random sampling from a community-wide census conducted by PRISMA between 2015 and 2017 in 12 districts. The survey included questions about household and participant sociodemographics, stove and fuel use, and experiences with the program. Questions related to barriers and facilitators to adop- tion of clean fuels were developed based on prior research (Hollada et al., 2017; Puzzolo, Pope, Stanistreet, Rehfuess, & Bruce, 2016), as well as consultation with key informants. We obtained oral informed consent and surveyed one member of each household 18 years of age or older capable of providing informed consent and answering the survey questions. A field staff member conducted 14 in-depth, semi-structured interviews in Spanish. Interview guides included questions related to the components of the Reach, Effectiveness, Adoption, Implementation, Maintenance (RE-AIM) framework (Glasgow et al., 1999). Six inter- views were conducted with key stakeholders involved in the imple- mentation of the program. This included representatives from the central administrative offices of the program, regional electricity distributors, LPG agents, and local authorities (community governors) in Puno. Eight interviews were conducted with community members, including three current FISE beneficiaries, three previous FISE beneficia- ries, and two who have never participated. Quantitative survey partici- pants who were forthcoming with information on their experiences and indicated having knowledge relevant to the reach, effectiveness, or adoption of FISE were purposively selected to participate in a qualitative interview immediately following the survey."	2015	2	3	68	N	Human Health and Wellbeing+			"Despite the barriers reported by FISE beneficiaries (Table 4), 81.1% reported being satisfied or very satisfied with the program, and 100% report that they will continue to participate in the future."				"People expressed that food tastes better when cooked with baseline technology, limiting desire to participate in program and use LPG. Other participants reported that people are afraid of LPG and are unsure how to use it"				Cost of alternative fuels is a key factor influencing stove stacking					"Results show that beneficiaries of program where ""overwhelmingly"" more likely to be using LPG stoves as compared to non-beneficiaries"	"Complexity of enrollment process - Among the 149 household in the survey who had never participated in the program, 27.5% reported not participating because they did not know how to sign up."		"Prevalence of stove stacking remains high, even among beneficiaries of program"				
S178	Leo	Journal Article	2019	"Dickinson, K.L.; Piedrahita, R.; Coffey, E.R.; Kanyomse, E.; Alirigia, R.; Molnar, T.; Hagar, Y.; Hannigan, M.P.; Oduro, A.R.; Wiedinmyer, C."	Adoption of improved biomass stoves and stove/fuel stacking in the REACCTING intervention study in Northern Ghana.	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2018.12.007		"In order to support transitions away from open-fire cooking and toward cleaner household energy systems, a better understanding of users’ technology adoption patterns and preferences is needed. This paper highlights key factors influencing use of two types of biomass-burning stoves provided through the REACCTING (Research on Emissions, Air quality, Climate, and Cooking Technology in Northern Ghana) randomized intervention study. We examine traditional and improved stove use over a two year follow up period, finding that the more basic rocket stove was used at a higher rate than the higher-tech gasifier stove. While stove use patterns varied by stove group, region, primary cook occupation, and socioeconomic status, use of traditional stoves remained high across most groups. Users perceived that improved stoves were less suitable for cooking a staple dish, Tuo Zaafi (TZ), and technical problems (e.g., battery failures with the gasifier stove) also limited the effectiveness of the intervention. Moving forward, household energy policies should prioritize a range of technologies that have potential to meet local needs while delivering meaningful health and/or environmental benefits, recognizing that stove and fuel “stacking” is likely to persist. A greater focus on markets and enabling environments is needed to support sustainable and scalable energy transitions."	130		361-374	Cookstoves; Technology adoption; Household air pollution; Energy transitions	Examine stove use patterns over two years following introduction of improved biomass stoves in a previous study.	Ghana	Kassena-Nankana	10.73	-1.48	Rural	Households	200	200			"Distribute improved cookstoves - Reseach on Emissions, Air quality, Climate and Cooking Technologies in Northern Ghana (REACCTING) project."	"NR, Research on Emissions, Air quality, Climate, and Cooking Technology in Northern Ghana (RACCTING)"	"NR, Research on Emissions, Air quality, Climate, and Cooking Technology in Northern Ghana (RACCTING)"	2013	2016	Energy	Cookstove	Improved cookstove	Mixed methods	"For the intervention study, 200 households were selected from the rural areas of the districts using a cluster random sampling method;  rst, we randomly selected 25 geographic clusters from the rural regions of the Districts, and then we selected eight households from each cluster. Households were enrolled in the study and a baseline household survey was conducted in Nov-Dec 2013. Following the survey, we held small meetings (with 8–16 households) during which the two stove models were demonstrated and participants drew slips of paper out of a bowl assigning them to one of four di erent intervention arms: one group received two Gyapa stoves, the second received two Philips stoves, the third received one of each type of stove, and the fourth served as the control group for the duration of the study, but were able to select two stoves of their choice at the conclusion of the study. The decision to provide two stoves to intervention households was based on the observation that most households in this area – and indeed, throughout much of the world – rely on multiple stoves and types of technologies to meet their cooking needs. For example, data from the baseline survey showed that roughly two thirds of households had both three stone and charcoal stoves (Piedrahita et al., 2016a). Thus, we expected that displacement of existing cooking methods would require multiple stoves, and perhaps multiple types of stoves, and designed our intervention accordingly. Following distribution of the stoves (Dec 2013-Jan 2014), we collected data on stove use using six rounds of household surveys (March ‘14, May-June ‘14, August-September ‘14, December ’14-January ’15, May-July ’15, and December ’15-February ’16). These surveys covered a variety of topics, including stove knowledge and perceptions, stove and fuel use, socioeconomics, and health symptoms. For each stove (traditional and improved), a stove questionnaire collected information on: the location (indoor/outdoor) and condition of each stove (including any broken parts); the number of days in the past week on which the stove had been used; whether the stove was in use at the time of the survey (“now”); whether it had been used on the day prior to the survey (“yesterday”); what fuels were used with the stove “now” and “yesterday”; what dishes were cooked on the stoves “now” and “yesterday”; and how many people were fed by food cooked on the stove “yesterday.” Starting in Jan/Feb 2013, 10–12 households from each intervention group (45 households total) had Stove Use Monitors (SUMs) installed on both of their improved stoves (for groups receiving stoves) and the most-used traditional cookstove. Additional SUMs were installed in late 2014 and early 2015 to replace broken units and cover additional three stone and charcoal stoves in these households. Additional details on SUMs instrumentation and methods are described by Piedrahita et al. (2016b)."	2013	3	2	31	NA	Time Saving/; Time Saving+	Fuel Use+; Income+	Emissions Within Homes+			"- We did not observe strong age effects in this analysis -; - we also did not observe clear education effects, though there is weak evidence that cooks with at least a primary education were somewhat less likely to be non-adopters.; - Seld-employed respondents were more likely to be low users of all stoves, more likely to be non-adopters, and less liely to be switchers. "		Openness to new technologies did not translate into sustained and substantial adoption of improved stoves along with disadoption of traditional stoves.										"By the end of the study, 62% of Philips stoves had batteries that were no longer working - leaving many participants with essentially unusable stoves. 72% of Gyapa stoves had some rust damage, in some cases making the stove inoperable - deteriorating stove quality may partially explain the downward trend in Gyapa stove use that we observe over time"				"Where stoves were distributed to households for free, use of improved stoves declined over time, and substantial levels of stove stacking persisted."		
S183	Gill	Journal Article	2013	"Pachauri S,  van Ruijven BJ, Nagai Y,  Riahi K, van Vuuren DP,  Brew-Hammond A, Nakicenovic N"	Pathways to achieve universal household access to modern energy by 2030	Environmental Research Letters		doi:10.1088/1748-9326/8/2/024015		"A lack of access to modern energy impacts health and welfare and impedes development for billions of people. Growing concern about these impacts has mobilized the international community to set new targets for universal modern energy access. However, analyses exploring pathways to achieve these targets and quantifying the potential costs and benefits are limited. Here, we use two modelling frameworks to analyse investments and consequences of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030. Our analysis indicates that these targets can be achieved with additional investment of US$200565–86 billion per year until 2030 combined with dedicated policies. Only a combination of policies that lowers costs for modern cooking fuels and stoves, along with more rapid electrification, can enable the realization of these goals. Our results demonstrate the critical importance of accounting for varying demands and affordability across heterogeneous household groups in both analysis and policy setting. While the investments required are significant, improved access to modern cooking fuels alone can avert between 0.6 and 1.8 million premature deaths annually in 2030 and enhance wellbeing substantially"	8	0	7 pp	"modern energy access, energy poverty, cooking fuel and stove choices, electrification, developing countries"	assess investments required and impacts of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030 using two alternative modelling frameworks	"South Asia, Pacific Asia, sub-Saharan Africa"		34.5539097;23.7807777;27.4795655;28.5274229;4.1962939;27.7090319;33.6163232;6.8935807;4.9062259;-8.5563735;-6.2295712;3.138675;19.7470393;14.5965788;1.3439166;13.7248936;-8.8533562;6.4959937;-24.6091349;12.3586508;-3.4314103;3.8304736;14.9364883;4.3783071;12.1203;-11.7009062;-4.2470207;-4.4011293;6.8161509;11.5748011;3.7555319;15.3258971;8.9633398;0.4113817;13.4523596;5.5912931;9.6343874;11.8696287;-1.3030364;-29.3367367;6.2954943;-18.887503;-13.9550243;12.6127496;18.0673211;-20.162897;-22.5636732;13.5128499;9.0544966;-1.9295976;-20.8965014;14.7111048;8.4554418;2.0592862;-25.7582737;15.5016995;-26.3153214;-6.7692302;6.1824878;0.3132008;-15.4166534;-17.8164617;	69.0576483;90.349286;89.6034618;77.1389454;73.4969945;85.2911134;72.9460253;79.8732967;114.9030709;125.5524171;106.7594782;101.6169497;96.0708996;120.9445404;103.7540051;100.4930271;13.2140647;2.6047896;25.8604649;-1.6068831;29.9166726;11.4404133;-23.5242391;18.5421797;15.0224395;43.2411225;15.1571826;15.2527048;-5.3161553;43.1207601;8.7066582;38.8817091;38.708105;9.3645898;-16.5848762;-0.2147489;-13.6493709;-15.6473428;36.777357;27.4820519;-10.7871875;47.4424743;33.7225258;-8.0655529;-16.0236007;57.4617571;17.0272066;2.0840132;7.3243169;30.0572046;55.4350018;-17.5008444;-13.2593017;45.2716455;28.057868;32.5025567;31.1196755;39.1142074;1.1766509;32.5290856;28.2737133;30.9868186;	Rural	Households	NR	NR						NR	NR	Energy	Cookstove	Electricity	NR		NR	NR	NR	NR	NA											Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030						Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030							
S25	Leo	Journal Article	2014	"Christiaensen, L.; Heltberg, R."	Greening China's rural energy: new insights on the potential of smallholder biogas	Environment and Development Economics	1355-770X	10.1017/S1355770X13000375	https://www.cambridge.org/core/article/greening-chinas-rural-energy-new-insights-on-the-potential-of-smallholder-biogas/F5A6DE9BFD91B31D8D3C05F425D04806	"This study assesses a new generation of smallholder biogas, an applied sustainable energy technology currently being rolled out on a massive scale in rural China. In the past, the implementation of biogas programs has been largely disappointing, in China (and elsewhere). User satisfaction with the new program is high, based on purposively collected data from 2,700 households in five provinces, and the available evidence suggests tangible environmental and economic benefits. There are strong indications of fuel switching away from fuelwood and crop residues. Less time is spent on fuelwood collection and cooking, which benefits women especially. Adopters save on fertilizers by using biogas residues. Finally, problems with suspension and interrupted supply appear lower than in earlier studies. Overall, these initial findings are grounds for optimism about the potential for scaled-up smallholder biogas to deliver safe and clean rural energy, in China and beyond, provided critical conditions are met."	19	1	8-29		"This paper provides a preliminary assessment of biogas use by smallholder farmers in rural China, using data collected from 2,700 households in five provinces."	China	Anhui; Chongqing; Guangxi; Hunan; Hubei	31.0;29.56;23.58;27.32;31.07	115.02;106.27;103.76;107.03;107.76	Rural	Households	5000000	2700	NR	NR	Biogas could be an important contributer to green growth and sustainable development	Government; World Bank	Government; World Bank	2006	2006	Energy	Biomass	Biogas	Survey	"To monitor and evaluate progress of the Eco-farming project, a baseline survey of 2,700 households was conducted during the second half of 2009. This is the first phase in a larger effort to more accurately evaluate the impact of the project.10 In total, 225 villages were selected, spread equally across 3 counties in each of the 5 provinces in which the project is active. Counties were stratified by physical and economic characteristics.11 Within each county, two townships were selected purposively, and within each township, two project and three non-project villages.12 Non-project villages were slightly oversampled (135 non-project versus 90 project villages) to ensure a sufficient number of pure control villages that have neither the World Bank supported nor the national biogas program. In both project and control villages, the survey randomly sampled households meeting the criteria to qualify for biogas subsidies. To also permit within project village impact analysis in the future, households were slightly oversampled in project villages—fifteen households in the project villages versus 10 per non- project village. The survey instruments comprised a household questionnaire covering all aspects of fuel and energy consumption, experiences with biogas, and a range of socio-economic conditions as well as a village questionnaire covering infrastructure and socio-economic development."	2009	0.5	3	23	NA	Time Saving+; Gender Equity+; Leisure+; Human Health and Wellbeing+; Drudgery+	Fuel Use+; Income Generation+	Emissions Within Homes+		Probability of adoption increases with income while it decreases with share of income stemming from remittances - highlighting importance of labor availability. ; 	Labor and animal shortages key reasons for nonadoption [of Biogas]				"36% responders expressed, at least part time, suspension of technology due to issues with the technology - e.g. insufficient gas and too few animals "		Target technology not suitable for farm households with limited financial and labor resources. ;												
S29.1	Will	Report	2005	"Okello, V."	The Upesi rural stoves project.	Boiling Point			http://www.bioenergylists.org/stovesdoc/PracticalAction/boilingpoint51.pdf		51		2-5		To improve the living and working conditions of women in rural households by enabling a significant and increasing number of women and their families to benefit from fuelsaving wood burning stoves.	Kenya		-1.297	36.82	Rural	NR	NR	NR	To improve the living and working conditions of women in rural households by enabling a significant and increasing number of women and their families to benefit from fuelsaving wood burning stoves.			GTZ funding	NR	1995	1995	Cooking	Cookstove	Improved cookstove	NR	NR	1995	NR	NR	NR	N	Convenience+; Time Saving+	Cost Saving+					Perceived health cost savings of KShs 260 per year		"The Upesi stove was selected for production through field trial that showed it could provide fuel wood savings of up to 43 per cent compared to a three-stone fire, and appeared to have a life span of four years"		Saving of up to KShs 7200 per year (rural wages average KShs 8000 per month). Time savings of about 10 hours per month.												"Women have begun to venture into male-dominated artisanal work, which diversifies their incomegenerating potential."	"One of the primary barriers to participation by women was that they did not have enough time and could not be away from home for long periods. Because of women’s many domestic and community responsibilities, it was important to ensure that any new activity was compatible with their ongoing duties."
S29.2	Will	Report	2005	"Pal, R. C.; Sethi, K. S."	Improved cookstove technology for rural livelihoods for women: sharing experiences from Haryana – India.	Boiling Point			http://www.bioenergylists.org/stovesdoc/PracticalAction/boilingpoint51.pdf		51		13-14		To assess improved cookstove technology for rural livelihoods for women from Haryana India.	India	Haryana	29.16	76.06	Rural	Stoves	1614	234	To assess improved cookstove technology for rural livelihoods for women from Haryana India.	"To enhance the income level of the local communities, to promote the use of biomass in a sustainable manner and to mitigate the adverse affect of poor indoor air quality."	"To enhance the income level of the local communities, to promote the use of biomass in a sustainable manner and to mitigate the adverse affect of poor indoor air quality."	NR	TERI	NR	NR	Energy	Kerosene;Fuelwood	LPG	NR	NR	NR	NR	NR	NR	N	Convenience+; Time Saving+; Education+	Cost Saving+	Deforestation+; Emissions Within Homes+	NR					"The installation of 234 improved stoves reduced the burden for collection of fuelwood; the estimated fuelwood saving is around 78 tonnes per annum for these households, which in economic terms amounts to about Rs 117 000 (cost of wood ~ Rs.1.5 per kg)."		"The study demonstrated that an appropriate technology, backed by local institutional mechanisms, could open new avenues for income generation activities for the trained WUG members."								The study indicated that users required around 15% less fuel. Significantly lower smoke emissions were reported.				"The ownership of cookstove technology lies with women. Hence, the involvement of experienced women who spoke the local dialect played an important role in rapid assimilation of the technology by the community."	
