ID	Which of the following most accurately reflects your position?	LatDD	LonDD	What proportion of your woods are Ancient woodland (Semi-natural)?	What proportion of your woods are Ancient woodland (Plantations (PAWS))?	What proportion of your woods are Ancient woodland (Restored PAWS)?	What proportion of your woods are Secondary woods (Semi-natural)?	What proportion of your woods are Secondary woods (Plantations)?	What proportion of your woodland is mainly broadleaved stands? 	What proportion of your woodland is mainly conifer stands?	What proportion of your woodland is a mixture of both broadlead and conifer stands?	What proportion of stands in your woodland are even-aged?	What proportion of stands in your woodland are uneven-aged? 	What best describes your business or professional sector?	Region
190	Woodland owner: I own land containing woodland (a single woodland property)	52.39928	-0.98568		100				95	5		100			East Midlands
191	Professional: I have a professional or personal interest in forests and forestry in the UK	52.65439	-0.50737											Public sector - local government	East Midlands
194	Woodland owner: I own land containing woodland (multiple woodland properties)	51.25831	-1.4694	100	0	0	0	0	99	1	0	100	0		South East
195	Woodland owner: I own land containing woodland (a single woodland property)	51.20287	-2.18994	100					90	10		80	20		South West
196	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.73037	-2.30627		30	30	10	30	50	50			100		South West
198	Woodland owner: I own land containing woodland (a single woodland property)	50.74821	-1.8013	80				20	80	20		100			South West
199	Woodland owner: I own land containing woodland (a single woodland property)	50.69617	-3.52573				30	70	90	10		70	30		South West
200	Woodland owner: I own land containing woodland (multiple woodland properties)	50.61453	-3.81009				10	90	40	50	10	90	10		South West
204	Woodland owner: I own land containing woodland (a single woodland property)	51.51537	-2.0117	60			30	10	100			5	95		South West
205	Woodland owner: I own land containing woodland (a single woodland property)	51.38271	-2.49115	0	0	0	12	88	100	0	0	95	5		South West
208	Woodland owner: I own land containing woodland (multiple woodland properties)	50.42952	-3.97705												South West
209	Woodland owner: I own land containing woodland (a single woodland property)	50.60129	-2.00294	70	15	10		5	100			75	25		South West
212	Professional: I have a professional or personal interest in forests and forestry in the UK	51.65275	-0.07931											Public sector - central/devolved government	London
218	Professional: I have a professional or personal interest in forests and forestry in the UK	51.44907	-0.106											Public sector - local government	London
219	Woodland owner: I own land containing woodland (a single woodland property)	54.31073	-2.86314				100		100				100		North West
225	Woodland owner: I own land containing woodland (multiple woodland properties)			49				51	80		20	60	40		
226	Professional: I have a professional or personal interest in forests and forestry in the UK	51.53267	-0.12188											Other	London
228	Woodland owner: I own land containing woodland (a single woodland property)	53.24593	-3.54851	5				95	90		10	95	5		Wales
229	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	54.35656	-2.90794	47	53				84	16		20	80	Forest industry	North West
230	Woodland owner: I own land containing woodland (multiple woodland properties)	51.74438	-0.58935	33	28			39	60	40		75	25		South East
231	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	53.14817	-3.48829												Wales
232	Woodland owner: I own land containing woodland (multiple woodland properties)	51.39836	-0.52525	37	0	0	63	0	96		4	26	74		South East
233	Professional: I have a professional or personal interest in forests and forestry in the UK	54.34435	-3.03006											Public sector - central/devolved government	North West
237	Woodland owner: I own land containing woodland (a single woodland property)	51.13192	-0.45447	100					100			50	50		South East
238	Woodland owner: I own land containing woodland (a single woodland property)	53.20053	-3.55592	100	0	0	0	0	100	0	0	0	100		Wales
242	Woodland owner: I own land containing woodland (a single woodland property)	50.96508	-3.57275				100		90			40	60		South West
243	Woodland owner: I own land containing woodland (a single woodland property)	51.11086	-1.00868		100				40	60		90	10		South East
247	Professional: I have a professional or personal interest in forests and forestry in the UK	51.64039	-1.20541											NGO/community organization	South East
248	Woodland owner: I own land containing woodland (a single woodland property)	52.10554	-0.77385				50	50	50	50		50	50		South East
259	Professional: I have a professional or personal interest in forests and forestry in the UK	53.11546	-3.3062											Forest industry	Wales
263	Professional: I have a professional or personal interest in forests and forestry in the UK	53.95407	-1.08765											Forest industry	Yorkshire and The Humber
264	Woodland owner: I own land containing woodland (a single woodland property)	52.4021	-2.07092				100		100			80			West Midlands
265	Woodland owner: I own land containing woodland (a single woodland property)	51.32192	0.58288	100					100				100		South East
266	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.21472	-2.85965					100	97	3		100		Public sector - central/devolved government	West Midlands
267	Woodland owner: I own land containing woodland (a single woodland property)	51.79221	-0.62674				100		99	0.1		60	40		East of England
268	Woodland owner: I own land containing woodland (a single woodland property)	50.96924	-3.55957	100					100				100		South West
271	Woodland owner: I own land containing woodland (a single woodland property)	50.82676	-0.14557	20	80				20		80	80	20		South East
272	Woodland owner: I own land containing woodland (a single woodland property)	51.83427	-2.84337				100		100				100		Wales
273	Woodland owner: I own land containing woodland (a single woodland property)	50.46188	-4.60602		100				100			80	20		South West
276	Woodland owner: I own land containing woodland (a single woodland property)	52.31528	-2.41614	100					100			75	25		West Midlands
279	Professional: I have a professional or personal interest in forests and forestry in the UK	52.86747	-2.66521											Public sector - central/devolved government	West Midlands
280	Woodland owner: I own land containing woodland (multiple woodland properties)	50.86079	-2.47433	10	15	5	10	60	50	50		55	45		South West
282	Professional: I have a professional or personal interest in forests and forestry in the UK	50.59259	-3.67543											Public sector - central/devolved government	South West
283	Professional: I have a professional or personal interest in forests and forestry in the UK	54.10128	-2.34009											NGO/community organization	Yorkshire and The Humber
284	Professional: I have a professional or personal interest in forests and forestry in the UK	50.72615	-3.55064											Forest industry	South West
285	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.99647	-3.7944												Wales
287	Woodland owner: I own land containing woodland (a single woodland property)	53.34507	-0.3822			100			100			50	50		East Midlands
289	Woodland owner: I own land containing woodland (a single woodland property)	51.04533	-0.06781	15	20	15		50	50	50		60	40		South East
290	Woodland owner: I own land containing woodland (a single woodland property)	52.1826	-2.27772				100		100	0	0	30	70		West Midlands
296	Woodland owner: I own land containing woodland (multiple woodland properties)	56.88935	-4.74666	3	15			82		95	5	95	5		Scotland
297	Woodland owner: I own land containing woodland (a single woodland property)	51.54095	-1.43097					100	100			75	25		South East
299	Woodland owner: I own land containing woodland (a single woodland property)	51.13412	-0.25947	100					100			100			South East
300	Woodland owner: I own land containing woodland (multiple woodland properties)	52.06313	0.93301	75		5		20	95		5	90	10		East of England
301	Woodland owner: I own land containing woodland (multiple woodland properties)	50.791	-4.19888	5			95		100			95	5		South West
303	Professional: I have a professional or personal interest in forests and forestry in the UK	52.65973	-3.1471											Forest industry	Wales
304	Woodland owner: I own land containing woodland (a single woodland property)	52.66013	-2.55291	50	50				100				100		West Midlands
305	Woodland owner: I own land containing woodland (a single woodland property)	53.56677	-2.62934	70	5		25		95	5		30	70		North West
307	Woodland owner: I own land containing woodland (a single woodland property)	50.99252	-0.09139	100					100			40	60		South East
308	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.23207	-3.85371		100				80		20	100		University research	Wales
309	Professional: I have a professional or personal interest in forests and forestry in the UK	51.64114	-1.66185											NGO/community organization	South East
311	Woodland owner: I own land containing woodland (multiple woodland properties)	54.41813	-7.30179												Northern Ireland
314	Woodland owner: I own land containing woodland (multiple woodland properties)	54.93619	-1.82661		100						100	50	50		North East
315	Woodland owner: I own land containing woodland (multiple woodland properties)	54.54319	-1.94904	100					100			90	10		North East
317	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	54.81572	-1.66992	5	5		5	85		85	15	50	50		North East
321	Woodland owner: I own land containing woodland (multiple woodland properties)	50.31337	-4.0567		50		50		80		20		100		South West
323	Woodland owner: I own land containing woodland (a single woodland property)	57.15299	-2.5547					100	100			99.9	0.1		Scotland
324	Woodland owner: I own land containing woodland (a single woodland property)	53.9785	-1.47148			50	50				100		100		Yorkshire and The Humber
325	Woodland owner: I own land containing woodland (a single woodland property)	56.36772	-3.13231	0	15	0	0	85		100		90	10		Scotland
327	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.48132	-3.77913	25	65	10			35	65		75	25	Forest industry	South West
328	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	54.29986	-1.87042	5	10			85	80	10	10	50	50		Yorkshire and The Humber
329	Woodland owner: I own land containing woodland (multiple woodland properties)	52.58285	-2.92275	100					100			100			West Midlands
330	Woodland owner: I own land containing woodland (multiple woodland properties)	51.68635	-3.01666	5	15		40	40	40	30	30	50	50		Wales
331	Woodland owner: I own land containing woodland (a single woodland property)	52.29474	-2.96648	100					100			60	40		West Midlands
332	Woodland owner: I own land containing woodland (a single woodland property)	52.1755	-1.55856	100					100			100			West Midlands
333	Woodland owner: I own land containing woodland (a single woodland property)	50.67688	-2.22542				20	80	100			5	95		South West
334	Woodland owner: I own land containing woodland (a single woodland property)	50.98415	-3.82788	40				60	40	60		90	10		South West
338	Woodland owner: I own land containing woodland (a single woodland property)	53.01633	-1.45741	50			50		100			30	70		East Midlands
341	Professional: I have a professional or personal interest in forests and forestry in the UK	55.54755	-2.01186											Forest industry	North East
343	Woodland owner: I own land containing woodland (a single woodland property)	52.05825	-1.34453				80	20	100			50	50		South East
344	Woodland owner: I own land containing woodland (multiple woodland properties)	52.77902	-0.98465	30				70			100	10	90		East Midlands
347	Woodland owner: I own land containing woodland (multiple woodland properties)	53.12573	-0.45259				65	35	90	10		70	30		East Midlands
348	Woodland owner: I own land containing woodland (a single woodland property)	53.09179	-2.96639	5	5	5	20	65	35	65		90			Wales
349	Woodland owner: I own land containing woodland (multiple woodland properties)	52.36973	-1.07117	10				90	99	1		100			East Midlands
351	Woodland owner: I own land containing woodland (a single woodland property)	50.65107	-4.41032					100	100			100			South West
352	Woodland owner: I own land containing woodland (a single woodland property)	53.94396	-1.12473	85		10		5	100			60	40		Yorkshire and The Humber
354	Woodland owner: I own land containing woodland (a single woodland property)	51.85699	-4.30527	5	20			75	25	75			100		Wales
360	Woodland owner: I own land containing woodland (a single woodland property)	51.57491	-3.11881		85	15			70	20	10	25	75		Wales
361	Woodland owner: I own land containing woodland (a single woodland property)	51.4121	-1.1633	100					100			50	50		South East
363	Woodland owner: I own land containing woodland (a single woodland property)	52.17646	-0.15518		50	50			100			50	50		East of England
364	Woodland owner: I own land containing woodland (a single woodland property)	51.35635	-2.54196	5	40	10	10	35	40	45	15	40	60		South West
365	Woodland owner: I own land containing woodland (a single woodland property)	54.97365	-2.01798	0	0	0	0	100		100		100			North East
366	Professional: I have a professional or personal interest in forests and forestry in the UK	51.62079	-3.94323											NGO/community organization	Wales
367	Woodland owner: I own land containing woodland (a single woodland property)	53.10935	-3.44168			100			80			80	20		Wales
368	Woodland owner: I own land containing woodland (a single woodland property)	51.81265	-2.71363					100			100	100			Wales
371	Woodland owner: I own land containing woodland (multiple woodland properties)	57.29834	-3.42773	50				50	100			50	50		Scotland
376	Professional: I have a professional or personal interest in forests and forestry in the UK	53.38169	-2.59552											Forest industry	North West
379	Woodland owner: I own land containing woodland (multiple woodland properties)	58.16925	-4.61975					100		99.5	0.5	99	1		Scotland
380	Woodland owner: I own land containing woodland (a single woodland property)	52.19286	-1.60834				60	40	50	50		100			West Midlands
381	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	54.96106	-2.45132	3	3	0	0	94	5	95		80	20		North East
382	Woodland owner: I own land containing woodland (a single woodland property)	53.10077	-0.90963	50	50				100			100			East Midlands
383	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	57.15167	-3.94464	10	60			30	10	90		80	20	Forest industry	Scotland
385	Woodland owner: I own land containing woodland (a single woodland property)	53.65656	-2.79499					100			100	100			North West
386	Woodland owner: I own land containing woodland (multiple woodland properties)	52.21097	0.79651	100					100			100			East of England
390	Woodland owner: I own land containing woodland (a single woodland property)	51.10451	-2.35622	5	15	2	5	73	20	60	20	25	75		South West
391	Woodland owner: I own land containing woodland (a single woodland property)	51.69159	-1.58581			75		25	100				100		South East
392	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.40081	-2.04878	60				40			100	70	30		South West
393	Woodland owner: I own land containing woodland (a single woodland property)	52.14711	-2.19632	3		0		97	85	15		97	3		West Midlands
394	Professional: I have a professional or personal interest in forests and forestry in the UK	51.00079	-0.94482											Other	South East
395	Woodland owner: I own land containing woodland (a single woodland property)	50.64641	-2.12191				15	85	100				100		South West
397	Woodland owner: I own land containing woodland (a single woodland property)	52.65671	-3.40683	0	50	50			10	90		100			Wales
398	Woodland owner: I own land containing woodland (multiple woodland properties)	51.75222	-1.25596	100					100				100		South East
399	Woodland owner: I own land containing woodland (a single woodland property)	53.82726	-2.51879	100					90	10		60	40		North West
401	Woodland owner: I own land containing woodland (multiple woodland properties)	50.93576	0.63336	95				5	100			50	50		South East
403	Professional: I have a professional or personal interest in forests and forestry in the UK	52.29756	-2.79739											No professional involvement in forestry (personal interest)	West Midlands
405	Woodland owner: I own land containing woodland (multiple woodland properties)	56.1069	-3.45793												Scotland
407	Woodland owner: I own land containing woodland (a single woodland property)	52.15033	-3.40756		25	25	50		25	25	50	40	60		Wales
408	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	53.8748	-2.35519												North West
411	Woodland owner: I own land containing woodland (a single woodland property)	50.97417	-3.04138	50				50	100				100		South West
412	Woodland owner: I own land containing woodland (a single woodland property)	53.46612	-1.50842		100				50	50		50	50		Yorkshire and The Humber
413	Woodland owner: I own land containing woodland (a single woodland property)	51.19275	-0.7817	0	80		20		20	80		30	70		South East
414	Woodland owner: I own land containing woodland (a single woodland property)	51.37795	-2.29212	75			25		100				100		South West
415	Woodland owner: I own land containing woodland (a single woodland property)	51.45477	-2.76602		25	75			80	20		66.5	33.5		South West
418	Professional: I have a professional or personal interest in forests and forestry in the UK	51.13308	1.3107											Other	South East
419	Woodland owner: I own land containing woodland (a single woodland property)	53.38925	-1.13827	100					100			100			Yorkshire and The Humber
420	Woodland owner: I own land containing woodland (a single woodland property)	51.14891	-0.24492	100					100			40	60		South East
422	Woodland owner: I own land containing woodland (a single woodland property)	53.95494	-0.86365								100	50	50		Yorkshire and The Humber
423	Woodland owner: I own land containing woodland (a single woodland property)	51.30698	-1.97657	90					95			90			South West
425	Professional: I have a professional or personal interest in forests and forestry in the UK	55.94903	-3.25427											Public sector - central/devolved government	Scotland
426	Woodland owner: I own land containing woodland (multiple woodland properties)	52.23784	1.56684	80				20	90	10		80	20		East of England
427	Woodland owner: I own land containing woodland (multiple woodland properties)	54.74603	-1.3266				100		0	0	100		100		North East
430	Woodland owner: I own land containing woodland (a single woodland property)	50.59911	-4.08303	100					100			75	25		South West
437	Woodland owner: I own land containing woodland (a single woodland property)	52.61732	-2.72729	25	50			25	80			20	80		West Midlands
439	Woodland owner: I own land containing woodland (multiple woodland properties)	52.17806	-0.70141	75				25	85		15	90	10		South East
440	Woodland owner: I own land containing woodland (multiple woodland properties)	51.87657	-1.89432	20				80	70	10	20	90	10		South West
442	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	56.32988	-3.78707				30	70	10	70	20	80	20	Forest industry	Scotland
445	Woodland owner: I own land containing woodland (multiple woodland properties)	51.71597	-1.70563	50			50		80	10	10	0	100		South West
446	Professional: I have a professional or personal interest in forests and forestry in the UK	54.17267	-0.97896											Public sector - central/devolved government	Yorkshire and The Humber
447	Professional: I have a professional or personal interest in forests and forestry in the UK	52.68132	-1.82213											Public sector - local government	West Midlands
450	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.64946	-3.7738				15	85	10	75	10	95	5		South West
451	Woodland owner: I own land containing woodland (a single woodland property)	54.61135	-2.91412	20	80				90	10		80	20		North West
452	Woodland owner: I own land containing woodland (a single woodland property)	53.2103	-1.4514		100				30	70					East Midlands
458	Woodland owner: I own land containing woodland (a single woodland property)	54.78101	-2.97345	95					95		5	95	5		North West
459	Woodland owner: I own land containing woodland (multiple woodland properties)	57.44842	-2.79671	21	14	14	17	34	48	41	11	46	54		Scotland
460	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.2253	0.97366	100	0	0	0	0	100			100	0		South East
461	Woodland owner: I own land containing woodland (a single woodland property)	50.61362	-3.53691	100					100			25	75		South West
463	Woodland owner: I own land containing woodland (multiple woodland properties)	52.06563	1.3793	20		10		70	40	30	30	90	10		East of England
464	Woodland owner: I own land containing woodland (multiple woodland properties)	52.20104	1.4534				10	90	10	90		85	15		East of England
465	Woodland owner: I own land containing woodland (a single woodland property)	50.93525	0.01691	95			5		100			25	75		South East
467	Professional: I have a professional or personal interest in forests and forestry in the UK	51.75222	-1.25596											University research	South East
470	Woodland owner: I own land containing woodland (a single woodland property)	52.02452	-1.84347				10	90	95	5		70	30		West Midlands
472	Woodland owner: I own land containing woodland (a single woodland property)	55.52163	-4.63142	100					80	0	20	100	0		Scotland
473	Woodland owner: I own land containing woodland (multiple woodland properties)	53.56504	-2.13899				50	50	90	10			100		North West
474	Woodland owner: I own land containing woodland (a single woodland property)	50.70374	-3.61073						34	66					South West
475	Woodland owner: I own land containing woodland (a single woodland property)	51.49506	-1.80176	0	0	0	0	0	100			100			South West
477	Woodland owner: I own land containing woodland (a single woodland property)	51.00857	-1.26738	100					100	0			100		South East
478	Professional: I have a professional or personal interest in forests and forestry in the UK	55.41288	-1.69876											Forest industry	North East
483	Woodland owner: I own land containing woodland (multiple woodland properties)	52.16585	0.12305				100		90	10			100		East of England
484	Woodland owner: I own land containing woodland (multiple woodland properties)	52.6444	0.79514				20	80	15	85		75	25		East of England
486	Woodland owner: I own land containing woodland (a single woodland property)	53.74968	-2.0129				100		95	5			100		Yorkshire and The Humber
487	Woodland owner: I own land containing woodland (a single woodland property)	52.11956	-3.94697	0	0	0	95	5	100			100			Wales
