study	country of data collection	LatDD	LonDD	Year of publication	coastal (coastal = up to 10km from coast or large lake)	elevation	rainfall (mm)	rural-urban	forest (type) accessed?	distance to forest	market access	forest tenure	"Scale of study: local, regional or national, int'l"	study sites (total number of sites included in analysis)	sample size at each study site(eg number of interviews or focus groups)	"sample unit (person, household, focus group)"	Length of data collection (months)	Qualitative or quantiative	method	is food security assessed	is nutrition security assessed	is income assessed	food security outcome through engagement in:	main ntfp assessed	gender	Effect of Gender	short interpretation of effect
"Mujawamariya, G. and A. A. Karimov (2014). Importance of socio-economic factors in the collection of NTFPs: The case of gum arabic in Kenya. Forest Policy and Economics 42: 24-29."	Kenya	3.9351362	41.84593	2014	no	low	NR	rural	natural	adjacent to forest	NR	commons	multiple sites nearby	6	213	household	1	quantitative	indepth interviews - no questionnaire	no	no	yes	harvesting	wild food	gender of household head	Neutral/Mixed	"mix , Gum collection is essentially done in hilly areas and mostly by experienced women"
"Mujawamariya, G. and A. A. Karimov (2014). Importance of socio-economic factors in the collection of NTFPs: The case of gum arabic in Kenya. Forest Policy and Economics 42: 24-29."	Kenya	2.3400162	37.9705093	2014	no	low	NR	rural	natural	adjacent to forest	NR	commons	multiple sites nearby	6	213	household	1	quantitative	indepth interviews - no questionnaire	no	no	yes	harvesting	wild food	gender of household head	Neutral/Mixed	"mix , Gum collection is essentially done in hilly areas and mostly by experienced women"
"Mujawamariya, G. and A. A. Karimov (2014). Importance of socio-economic factors in the collection of NTFPs: The case of gum arabic in Kenya. Forest Policy and Economics 42: 24-29."	Kenya	0.6420377	37.6501572	2014	no	low	NR	rural	natural	adjacent to forest	NR	commons	multiple sites nearby	6	213	household	1	quantitative	indepth interviews - no questionnaire	no	no	yes	harvesting	wild food	gender of household head	Neutral/Mixed	"mix , Gum collection is essentially done in hilly areas and mostly by experienced women"
"Mujawamariya, G. and A. A. Karimov (2014). Importance of socio-economic factors in the collection of NTFPs: The case of gum arabic in Kenya. Forest Policy and Economics 42: 24-29."	Kenya	2.3498606	37.5727362	2014	no	low	NR	rural	natural	adjacent to forest	NR	commons	multiple sites nearby	6	213	household	1	quantitative	indepth interviews - no questionnaire	no	no	yes	harvesting	wild food	gender of household head	Neutral/Mixed	"mix , Gum collection is essentially done in hilly areas and mostly by experienced women"
"Mujawamariya, G. and A. A. Karimov (2014). Importance of socio-economic factors in the collection of NTFPs: The case of gum arabic in Kenya. Forest Policy and Economics 42: 24-29."	Kenya	2.9783772	34.2324584	2014	no	low	NR	rural	natural	adjacent to forest	NR	commons	multiple sites nearby	6	213	household	1	quantitative	indepth interviews - no questionnaire	no	no	yes	harvesting	wild food	gender of household head	Neutral/Mixed	"mix , Gum collection is essentially done in hilly areas and mostly by experienced women"
"Mujawamariya, G. and A. A. Karimov (2014). Importance of socio-economic factors in the collection of NTFPs: The case of gum arabic in Kenya. Forest Policy and Economics 42: 24-29."	Kenya	2.8515344	34.6030001	2014	no	low	NR	rural	natural	adjacent to forest	NR	commons	multiple sites nearby	6	213	household	1	quantitative	indepth interviews - no questionnaire	no	no	yes	harvesting	wild food	gender of household head	Neutral/Mixed	"mix , Gum collection is essentially done in hilly areas and mostly by experienced women"
"Mulenga, B. P., R. B. Richardson, G. Tembo and L. Mapemba (2014). Rural Household Participation in Markets for Non-timber Forest Products in Zambia. Environment and Development Economics 19(4): 487-504."	Zambia	-13.0906064	23.3591013	2014	no	Low-Mid	700	rural	natural	adjacent to forest	NR	commons	multiple sites in different districts of same country	9	8094	household	NR	quantitative	indepth interviews - no questionnaire	yes	no	yes	mix	mix	gender of household head	Negative	"strong negative (access of men is more important than of women for food security): The positive and significant coefficient of sex of the household head in both stages indicates that male-headed households are more likely to participate in NTFP markets, and depend more on NTFP income than households headed by women.Human capital factors – specifically, age, sex and educational level of the head of household – are significant determinants of household participation in NTFPs and of the contribution of NTFPs to household income."
"Mutenje, M. J., G. F. Ortmann, S. R. D. Ferrer and M. A. G. Darroch (2010). Rural Livelihood Diversity to Manage Economic Shocks: Evidence from South-East Zimbabwe. Agrekon 49(3): 338-357."	Zimbabwe	-21.0398024	31.657362	2010	no	low-mid	NR	rural	natural	adjacent to forest	NR	commons	multiple sites nearby	4	200	household	NR	mixed methods	indepth interviews - no questionnaire	no	no	yes	mix	mix	gender of household head	Negative	weak negative: The negative marginal effect for marital status implies that the probability of female-headed households being in cluster 2 is higher relative to the reference category.
"Narayanan, M. K. R. and N. A. Kumar (2007). Gendered knowledge and changing trends in utilization of wild edible greens in Western Ghats, India. Indian Journal of Traditional Knowledge 6(1): 204-216."	India	11.7060407	76.0785519	2007	no	low-mid	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	5	366	Individuals	21	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	"strong positive: Gender roles and responsibilities assigned by the society give women the predominant role in collection and processing of wild greens for consumption. As in the case of other socially signed female roles, this requires patience and is time consuming. Women perform all labour inputs required, from collection to processing and serving. They have knowledge about each and every plant, such as its location, availability, equation and proportion of making mixture of different vegetables, factors influencing palatability, nutritional value and so on."
"Nesheim, I. and K. A. Stoelen (2012). The Socio-Economic Role of Xate: A Case Study from a Returnee Community in the Maya Biosphere Reserve in Guatemala. Journal of Sustainable Development 5(3): 46."	Guatemala	17.4801719	-89.8526462	2012	no	NR	1738	rural	natural	adjacent to forest	very low (no road and market far)	state	multiple sites nearby	5	NR	household	36	mixed methods	focus group	no	no	yes	harvesting	wild food	"men-women, ie not gender of household head"	Neutral/Mixed	"none (no difference between access of men and women for food security): Most xateros were men; in 1998, men were recorded as selling xate 1,304 times (each time a man was recorded selling xate summed over the year), and in 1999, 1,550 were recorded as selling xate. However, a substantial number of women also collected xate: 113 in 1998 and 159 in 1999. The ‘account book’ indicated that every time the xate merchant appeared in the community (about 45 times yearly), some women sold xate.Xate
collection, which could be done relatively close to home and whenever the women had spare time, represented a unique opportunity for them to earn an income. Moreover, most women themselves take the leaves they collect to market, receive payment, and control how the money is used. The extra income generated from xate collection by the women was used on clothes, kitchen supplies, and medicines for the children"
"Nielsen, M. R., M. Pouliot and R. K. Bakkegaard (2012). Combining income and assets measures to include the transitory nature of poverty in assessments of forest dependence: Evidence from the Democratic Republic of Congo. Ecological Economics 78: 37-46."	DRC	-5.2247053	12.7717997	2012	NR	mid-high	NR	rural	natural	adjacent to forest	very low (no road and market far)	state	multiple sites nearby	5	175	household	11	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Negative	"strong negative (access of men is more important than of women for food security) :The rich households are characterized by higher education levels, owning more land and, obtaining a higher share of their income from
business. They are also less likely to be female headed, which in other studies has been found to determine the variety of environmental resource extraction activities that households engage in, namely less lucrative forest product exploitation (Cavendish, 1999; Paumgarten, 2005)."
"Noss, A. J. and B. S. Hewlett (2001). The contexts of female hunting in central Africa. American Anthropologist 103(4): 1024-1040."	Central African Republic	2.9045525	16.2519978	2001	NR	mid-high	NR	rural	natural	adjacent to forest	very low (no road and market far)	state	single site	NR	242	individuals	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	"men-women, ie not gender of household head"	Positive	"strong positive: The data demonstrate the significance and efficiency of Mossapoula Aka women net-hunters. Mothers, grandmothers, and single and married women all participated in nethunting."
"Obua, J., A. Y. Banana and N. Turyahabwe (1998). Attitudes of local communities towards forest management practices in Uganda: the case of Budongo forest reserve. The Commonwealth Forestry Review 77(2): 113-118."	Uganda	1.7525767	31.4411522	1998	NR	mid-high	NR	rural	natural	adjacent to forest	good (road and market close)	state	single site	NR	200	household	5	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Negative	"strong negative (access of men is more important than of women for food security): The chi-squares tatistics shows that there is a significant relationship between the demographic/socio-economic characteristics of the households and their use of forest resources. or instance, younger men harvested timber and produced charcoal (without permit) whilst women harvested clay (to make pots for cooking and storing drinking water), firewood, and wild vegetables."
"Ocampo-Thomason, P. (2006). Mangroves, people and cockles: Impacts of the shrimp-farming industry on mangrove communities in Esmeraldas Province, Ecuador."	Ecuador	1.2839333	-78.9083808	2006	yes	low-mid	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	12	170	focus group	11	mixed methods	quantitative questionnaire	no	yes	yes	mix	mix	gender of household head	Negative	strong negative (access of men is more important than of women for food security) : The use and allocation of natural resources are divided along gender and age lines; men fish and women and children gather cockles.
"Odebode, S. O. (2005). Contributions of selected non-timber forest products to household food security in Nigeria. Journal of Food Agriculture and Environment 3(3-4): 138-141."	Nigeria	7.5387107	4.2750927	2005	no	NR	NR	rural	natural	adjacent to forest	good (road and market close)	state	multiple sites nearby	12	120	household	NR	quantitative	quantitative questionnaire	no	yes	yes	mix	mix	gender of household head	Positive	"strong positive: there is a significant relationship between degree of contributions of NTFPs and household food security. Furthermore, there is a significant relationship between the degree of contribution of NTFPs and income"
