Unique study ID	Unique article ID	Authors	Year of publication	Title	Abstract	Journal	Volume	Pages	Study Country	Location	LatDD	LonDD	Intervention	Outcomes measured	Productivity outcome data location	Intervention started	Intervention ended or last sampled	Grazing/growing seasons sampled (years)	Grazing period per year (days)	Experimental design	Spatial replicates	Study validity (critical appraisal score)	Extra calculations performed
2021RGHLsnow087	2021RGHLsnow087	"T.J. Fraser, J.S. Rowarth"	1996	"Legumes, herbs or grass for lamb performance? "	"Lamb performance was evaluated for three consecutive summer–early autumn periods on ryegrass (Lolium perenne), white clover (Trifolium repens), chicory (Cichorium intybus), plantain (Plantago lanceolata) or lotus (Lotus corniculatus). Lamb liveweight gains, fasted liveweights at slaughter and hot carcass weights tended to be highest on legumes and chicory and lowest on plantain and ryegrass. Greasy wool weights were significantly higher on lotus and white clover than on chicory, plantain and ryegrass. Greasy wool weight was significantly related to fasted liveweight (R2=0.94–0.99). Protein (%) in herbage accounted for 83–92% of the variability in animal perfor- mance; food intake accounted for 57–69% of the variability and was negatively correlated with hemicellulose and cellulose (R2=97.2 and 80.9%, respectively). Thus quality of feed was more important than intake alone in determining animal performance."	Proceedings of the New Zealand Grassland Association	58	49-52	New Zealand	"Lincoln Research Centre, AgResearch, Canterbury"	-43.639	172.457	Herbal leys	"LWG, WG"	Table 2&5	1992	1995	3	108	Not specified	3	Unclear	Averaged yield mean+se over 2 years
2021RGHLsnow088a	2021RGHLsnow088	"R.M. Hunter, T.L. Knight, G. Hayes and B.E. Allan"	1994	Evaluation of dryland forage species for lowland Marlborough and Mid Canterbury 	"Grazing trials were established at Dashwood, Marlborough and at Winchmore Research Station, Mid Canterbury, to determine persistence, production patterns and changes in composition of various dryland pasture species. Plots were individually fenced and grazed to optimise individual species performance. At Dashwood (Dashwood shallow silt loam and stony loam, 600 mm rainfall), nine species were established:ryegrasses (Grasslands Supernui, Grasslands Nui, and a local ecotype), cocksfoot (Grasslands Wana), phalaris (Grasslands Maru), bromes (Grasslands Tiki and Grasslands Hakari), wheatgrass (Grass- lands Luna), and a luceme/phalaris mix (Grasslands Otaio Maru). All species were sown with white clover (Grasslands Tahora) and red clover (Grasslands Pawera). Interim results of the first 3 years show ryegrass species Supernui, Nui and the local ecotype established well in the first year but are gradually being surpassed by the slower establishing species such as Mar-u, Wana and Otaio lucerne. The Winchmore project (Lismore stony-silt-loam~739%iiir%iifall)-included 11 species: lucerne (Grasslands Otaio), sheep’s burnet, birdsfoot trefoil (Grasslands Goldie), red clover (Grasslands Colenso), browntop (Grasslands Muster), chicory (Grasslands Puna), wheatgrass (Grasslands Luna), ryegrass (Grasslands Pacific), smooth brome (Grasslands Tiki), upland brome (Grasslands Hal&) and grazing brome (Grasslands Gala). Over the first three years Otaio has remained as one of the best producers, but Colenso and Tiki, while producing well in the first year havedropped considerably by year three. Results demonstrate that there is potential for some species tested to enhance the production on the light east coast soils in the South Island but in the long-term persistence must be monitored."	Proceedings of the New Zealand Grassland Association	56	149-153	New Zealand	"Winchmore Research Station, Canterbury"	-43.784	171.692	Herbal leys	Herbage dry matter (HDM)	Figure 1	1989	1993	3		Not specified	3	Unclear	Extracted yield data from figure
2021RGHLsnow088b	2021RGHLsnow088	"R.M. Hunter, T.L. Knight, G. Hayes and B.E. Allan"	1994	Evaluation of dryland forage species for lowland Marlborough and Mid Canterbury 	"Grazing trials were established at Dashwood, Marlborough and at Winchmore Research Station, Mid Canterbury, to determine persistence, production patterns and changes in composition of various dryland pasture species. Plots were individually fenced and grazed to optimise individual species performance. At Dashwood (Dashwood shallow silt loam and stony loam, 600 mm rainfall), nine species were established:ryegrasses (Grasslands Supernui, Grasslands Nui, and a local ecotype), cocksfoot (Grasslands Wana), phalaris (Grasslands Maru), bromes (Grasslands Tiki and Grasslands Hakari), wheatgrass (Grass- lands Luna), and a luceme/phalaris mix (Grasslands Otaio Maru). All species were sown with white clover (Grasslands Tahora) and red clover (Grasslands Pawera). Interim results of the first 3 years show ryegrass species Supernui, Nui and the local ecotype established well in the first year but are gradually being surpassed by the slower establishing species such as Mar-u, Wana and Otaio lucerne. The Winchmore project (Lismore stony-silt-loam~739%iiir%iifall)-included 11 species: lucerne (Grasslands Otaio), sheep’s burnet, birdsfoot trefoil (Grasslands Goldie), red clover (Grasslands Colenso), browntop (Grasslands Muster), chicory (Grasslands Puna), wheatgrass (Grasslands Luna), ryegrass (Grasslands Pacific), smooth brome (Grasslands Tiki), upland brome (Grasslands Hal&) and grazing brome (Grasslands Gala). Over the first three years Otaio has remained as one of the best producers, but Colenso and Tiki, while producing well in the first year havedropped considerably by year three. Results demonstrate that there is potential for some species tested to enhance the production on the light east coast soils in the South Island but in the long-term persistence must be monitored."	Proceedings of the New Zealand Grassland Association	56	149-153	New Zealand	"Dashwood, Marlborough"	-41.644	174.072	Herbal leys	Herbage dry matter (HDM)	Figure 2	1991	1994	3		Randomised block	4	High	"Extracted yield data from figure, averaged yield across soil types"
2021RGHLsnow090	2021RGHLsnow090	"H.E. Brown, D.J. Moot and K.M. Pollock"	2003	"Long term growth rates and water extraction patterns of dryland chicory, lucerne and red clover "	"A 5-year experiment was conducted under dryland conditions (mean annual rainfall 660 mm) on a Wakanui silt loam at Lincoln University. The mean annual production of lucerne (20 t DM/ha) was greater than red clover and chicory (16 t DM/ha). The advantage of lucerne increased with time to 6 t DM/ ha in the final year, when the lucerne component of the sward was 94%, whereas chicory and red clover declined to 62 and 0% of their respective swards. The annual production advantage of lucerne was a result of higher growth rates in September and from December to May. The higher summer/autumn growth rates were attributed to a greater water extraction depth, giving lucerne access to more water during this time. The DM yield of all three species had a linear relationship with water use. These results are discussed in relation to the fitness of the three species for a dryland farming system, and how the performance of each would be expected to vary with differing soil type and rainfall situations."	New Zealand Grassland Association Symposium	11	91-99	New Zealand	"Lincoln University, Canterbury "	-43.639	172.457	Herbal leys	Herbage dry matter (HDM)	Table 1	1996	2002	5		Split plot randomised complete block	3	High	Averaged yield mean+se over 5 years
2021RGHLsnow111	2021RGHLsnow111	"H.E. Brown, D.J. Moot, K.M. Pollock and C. Inch"	2000	"Dry matter production of irrigated chicory, lucerne and red clover in Canterbury "	"A field experiment was established at Lincoln University, Canterbury to determine whether chicory, lucerne or
red clover was the most suitable for inclusion in grazing systems as specialist forage. This initial evaluation
compares the annual and seasonal dry matter (DM) production of the species. Plots were grazed with sheep and soil
water was maintained at optimal levels with irrigation. After each grazing there was a lag phase while new shoot
growth accelerated to a consistent rate termed the linear growth phase. Lucerne production was 28 t DM/ha in the
1997/98 season, which was at least 7 t DM/ha greater than red clover and chicory. Shorter growth duration in
1998/99 reduced lucerne production to 22 t DM/ha but this was still at least 7 t DM/ha more than both red clover and
chicory. The greater lucerne production was due to higher linear growth rates and a longer duration of linear growth
in early spring and autumn. There was no general relationship between air temperature and linear growth rates of
each species, probably due to the storage and remobilization of root assimilate at different times of the year. From
the total and pattern of DM production it was concluded that lucerne was the most suitable species for use as a
specialist forage crop. "	Agronomy NZ	30	129-137	New Zealand	"Lincoln University, Canterbury "	-43.639	172.457	Herbal leys	Herbage dry matter (HDM)	Table 2	1996	1999	2		Split plot randomised complete block	3	High	
2021RGHLsnow091	2021RGHLsnow091	"D. F. Chapman, J. Tharmaraj and Z. N. Nie"	2008	Milk-production potential of different sward types in a temperate southern Australian environment	"The milk-production potential of different sward types was measured in each of the four seasons of the year in a replicated experiment in south-west Victoria, Austra- lia. Dairy cows were offered ad libitum allowances of a ‘short-term winter’ sward, based on Italian ryegrass (treatment STW), a ‘long-term winter’ sward, based on a winter-active tall fescue (treatment LTW), a ‘long- term summer’ sward, based on a summer-active tall fescue (treatment LTS) and a Control sward (perennial ryegrass) in four seasons (days in milk in parentheses): spring (November dairy cows, 124), summer (February, 227), autumn (May, 234) and winter (August, sixty- four). A ‘short-term summer’ sward, based on chicory and white clover (treatment STS), was also included in summer. There was a significant season · treatment interaction caused by a more gradual decline in milk yield from peak for cows grazing treatment LTS com- pared to the Control treatment in the transition period from spring to summer. In summer, cows grazing treatment STS produced more milk (1Æ41 kg fat plus protein per cow d)1) than cows grazing all other treatments (0Æ92kg per cow d)1) because of the superior nutritive value of herbage of pre-grazing pasture and higher apparent dry-matter intakes. Swards based on alternative species to perennial ryegrass are capable of supporting milk production that is at least comparable over an annual cycle."	Grass and Forage Science	63	221-233	Australia	"Glenormiston College, Victoria"	-38.166	142.947	Herbal leys	Milk yield (MY)	Table 4	2002	2003	1	365	Randomised	2	Low	Convert milk yield from L/day to kg/day
2021RGHLsnow092	2021RGHLsnow092	"P.G. Hutton, P.R. Kenyon, M.K. Bedi, P.D. Kemp, K.J. Stafford, D.M. West, S.T. Morris"	2011	A herb and legume sward mix increased milk production and ewe and lamb live weight gain to weaning compared to a ryegrass dominant sward 	"This study investigated the potential of a mixed herb sward to improve production of multiple-bearing ewes and their offspring compared to a ryegrass dominant sward. Forty four twin-bearing (twin) and 42 triplet-bearing (triplet) mixed-aged Romney ewes that were a maximum of 140 days pregnant (P140) were randomly allocated to one of two nutritional treatments being: a mix of chicory, plantain, white and red clover (Herb), or a ryegrass dominant sward (Ryegrass) to form the following groups: twin Ryegrass n = 22, triplet Ryegrass n=20, twin Herb n=22 and triplet Herb n=22. Ewes and their lambs remained on these herbage treatments until 66 days after the mid-point of lambing (L66). By L66, ewes grazing the Herb treatment compared to ewes on the Ryegrass treatment were heavier (P<0.05; 70.9 ± 1.17 kg versus 66.1 ± 1.15 kg) and had higher (P<0.05) body condi- tion scores (2.8 ± 0.07 versus 2.4 ± 0.07, respectively). Ewes grazing the Herb treatment produced more milk (P<0.05) at each of the three sampling periods (3137 ± 161.3 versus 2613±148.1 at day 7, 3280±148.8 versus 2483±153.1 at day 14 and 3237±131.8mL versus 2428 ± 136.2 mL at day 21). Lambs from ewes grazing the Herb treatment were heav- ier (P<0.05) at L22 (10.36 ± 0.274 kg versus 9.29 ± 0.272 kg) and L66 (20.67 ± 0.490 kg versus 17.55 ± 0.493 kg). The higher live weights (LW) were due to higher (P<0.05) LW gains of Herb lambs between birth and L22 (298 ± 10.8 g/day versus 245 ± 10.7 g/day) and between L39 and L66 (268 ± 16.2 g/day versus 179 ± 15.9 g/day). Herb triplet-bearing ewes produced more (P<0.05) total lamb LW by L66 than Ryegrass triplet-bearing ewes (45.70 ± 3.051 kg versus 28.26±3.203kg, respectively). Results demonstrate that a herb sward mix can improve multiple ewe and lamb performance compared to a ryegrass dominant sward."	Animal Feed Science and Technology	164	1-7	New Zealand	"Keeble Farm, Massey University, Palmerston North "	-40.394	175.604	Herbal leys	"HDM, LWG, MY"	"Table 5, Section 3.1"	2008	2008	1	78	Factorial	1	Low	"Convert milk yield from L/day to kg/day, averaged across 3 measurement times. Calculated daily liveweight gain from birth weight and end weight, using large random distributions in R"
2021RGHLsnow095	2021RGHLsnow095	M.K Komolong	1994	Nutrient supply for lamb growth from Grasslands Puna chicory (Cichorium intybus) and Wana cocksfoot (Dactylis glomerata)					New Zealand	"Lincoln University/DSIR Lincoln, Canterbury "	-43.639	172.457	Herbal leys	Liveweight gain (LWG)	Table 4.5	1989	1989	1	42	Randomised	1	Low	
2021RGHLsnow098	2021RGHLsnow098	H.G. Judson	2008	Preliminary evaluation of plantain (Plantago lanceolata cv. Tonic) as a feed for ewe lactation 	"A pilot study was undertaken to determine the benefits of using plantain cultivar Tonic as a feed source for ewes during lactation. Thirty nine ewes were set stocked on either plantain, perennial or Italian ryegrass a week prior to lambing (August) and lamb live-weight gain recorded until weaning in November. Lambs from the Tonic treatment appeared heavier and had elevated copper and selenium liver concentrations relative to other treatments. Faecal egg output of ewes from the plantain treatment appeared lower. These results suggest further investigation into the benefits of plantain is warranted."	Proceedings of the 23rd Annual Conference of the Grassland Society of NSW 		130-131	New Zealand	"Ceres Research Centre, Canterbury (assumed to be at Lincoln University site)"	-43.639	172.457	Herbal leys	"HDM, LWG, FEC"	Table 1	2006	2006	1	112	Randomised	1	Low	
2021RGHLsnow099a	2021RGHLsnow099	"H.G. Judson,R. McAnulty, R.Sedcole"	2009	Evulation of ‘Ceres’ Tonic plantain (Plantago lanceolata) as a lactation feed for twin bearing ewes 	"A field experiment evaluated the effect of plantain (Plantago lanceolata) on ewe and lamb liveweight changes and ewe faecal egg count (FEC) during lactation. Pregnant ewes were randomly allocated to either plantain or perennial ryegrass (Lolium perenne) pastures. Ewes remained on the treatments from one week before lambing until weaning. In Year 1, stocking rate in each treatment group was adjusted weekly to maintain a constant pasture cover. In Year 2, all ewes were set-stocked at 10 /ha. All ewes were dosed with Teladorsadagia circumcincta larvae 7 days before parturition. FEC and liveweight of ewes and lambs were monitored weekly. In both years, lamb liveweight gain was faster on plantain than on perennial ryegrass. During lactation, ewe liveweight on ryegrass decreased while increasing on plantain. Ewe peri-parturient FEC for the plantain treatment group was significantly lower than ewes grazing perennial ryegrass (P=0.03). Despite both treatments growing similar amounts of forage, the carrying capacity (ewes/ha) on plantain was lower suggesting animal production differences were a result of differences in daily intake whether grazing at a common pasture cover or while grazing at the same stocking rate."	Proceedings of the New Zealand Grassland Association 	71	201-205	New Zealand	"Ceres Research Centre, Canterbury (assumed to be at Lincoln University site)"	-43.639	172.457	Herbal leys	"HDM, LWG, FEC"	Table 1	2007	2007	1	102	Randomised	3	High	
2021RGHLsnow099b	2021RGHLsnow099	"H.G. Judson,R. McAnulty, R.Sedcole"	2009	Evulation of ‘Ceres’ Tonic plantain (Plantago lanceolata) as a lactation feed for twin bearing ewes 	"A field experiment evaluated the effect of plantain (Plantago lanceolata) on ewe and lamb liveweight changes and ewe faecal egg count (FEC) during lactation. Pregnant ewes were randomly allocated to either plantain or perennial ryegrass (Lolium perenne) pastures. Ewes remained on the treatments from one week before lambing until weaning. In Year 1, stocking rate in each treatment group was adjusted weekly to maintain a constant pasture cover. In Year 2, all ewes were set-stocked at 10 /ha. All ewes were dosed with Teladorsadagia circumcincta larvae 7 days before parturition. FEC and liveweight of ewes and lambs were monitored weekly. In both years, lamb liveweight gain was faster on plantain than on perennial ryegrass. During lactation, ewe liveweight on ryegrass decreased while increasing on plantain. Ewe peri-parturient FEC for the plantain treatment group was significantly lower than ewes grazing perennial ryegrass (P=0.03). Despite both treatments growing similar amounts of forage, the carrying capacity (ewes/ha) on plantain was lower suggesting animal production differences were a result of differences in daily intake whether grazing at a common pasture cover or while grazing at the same stocking rate."	Proceedings of the New Zealand Grassland Association 	71	201-205	New Zealand	"Ceres Research Centre, Canterbury (assumed to be at Lincoln University site)"	-43.639	172.457	Herbal leys	"HDM, LWG, FEC"	Table 2	2008	2008	1	94	Randomised	3	High	
2021RGHLsnow100	2021RGHLsnow100	"A.J.E. Moorhead, H.G. Hudson, A.V. Stewart"	2002	Liveweight gain of lambs grazing ‘Ceres Tonic’ (Plantago lanceolata) or perennial ryegrass 	"The pasture herb plantain has been successfully adapted to pastoral agriculture and, while it is readily accepted by livestock, there is little information on corresponding animal performance of regularly grazed leafy plantain forage. Liveweight gain and trace element status of lambs grazing pure plantain (Plantago lanceolata) swards and high endophyte perennial ryegrass (Lolium perenne) pastures was evaluated for 85 days during summer (December - March) under irrigated conditions. Liveweight gain was significantly (P<0.01) higher for lambs grazing plantain (222 g/head /day) than ryegrass swards (135 g/head/day) when both were offered at an allowance of 2.5kg DM/head/day. Despite a lower stocking rate on plantain swards, lamb liveweight gain expressed on a per-hectare basis tended to be greater for the plantain treatment (6.0 kg/ha/day) than for the ryegrass treatment (5.1 kg /ha/day) although this did not reach statistical significance. Lambs grazing pure plantain swards had significantly (P<0.01) higher liver copper (2250 vs 715 (μmol/ kg fresh wt) and higher liver selenium (671 vs 380 (nmol/kg fresh wt) concentrations but similar vitamin B12 (620 vs 571 nmol/kg fresh wt) concentration compared with ryegrass-fed lambs. These results indicate that well managed plantain is able to support relatively high rates of liveweight gain in lambs through summer and elevate liver copper and selenium concentrations and, therefore, could make a significant contribution to pastures in lamb finishing systems."	Proceedings of the New Zealand Society of Animal Production	62	171-173	New Zealand	"Ceres Research Centre, Canterbury (assumed to be at Lincoln University site)"	-43.639	172.457	Herbal leys	"HDM, LWG"	Table 1&3	2000	2001	1	85	Randomised	3	High	
2021RGHLsnow102	2021RGHLsnow102	"B.J. Wills, J.S. Sheppard, J.S.C. Begg"	1987	Evaluation of alternative dryland pasture plants and browse shrubs for soil conservation and drought-prone Otago grasslands	"Alternative dryland pasture plants drilled into Wairau lucerne may provide improved groundcover for conservation of the sol1 resource and possible productlvlty increases. The results of such trials In the Hakataramaa Valley are presented. Emphasis is on the use of low fertility demanding, frost and drought tolerant grasses, legumes and herbs which, when properly managed, will persist in semi-arid or drought-prone areas. Preliminary results show ‘Grasslands Mar”’ phalaris and ‘Luna’ wheatgrass to be promising companion plants, in dryland lucerne.
The use of browse shrubs on low producing sunny aspects and their integration with dryland pasture plants Is briefly discussed. Benefits include conservation of the soil resource, drought insurance, mlcrocllmates and shelter, plus diverslflcation of stock nutrition and forage SUPPlY."	Proceedings of the New Zealand Grassland Association	48	115-118	New Zealand	Hakataramea	-44.688	170.519	Herbal leys	Herbage dry matter (HDM)	Figure 1	1984	1986	2		Not specified	1	Low	Extracted yield data from figure
2021RGHLsnow144a	2021RGHLsnow144	R.W. Purchas & R.G. Keogh	1984	Fatness of lambs grazed on 'Grasslands Maka' Lotus and 'Grasslands Huia' white clover. 	"In 5 trials involving lambs grazing either lotus (L) or white clover (WC) in summer/autumn, those on L were consistently less fat. In trial 1 Romney wether lambs (n= 12), grazed 62 days, had weight-corrected carcass fat depths C of 2.1 (L) and 3.4 (WC) mm. In trial 2 Romney hoggets (n= 10)grazed 40 days, L had a lower side fat percent than WC at a similar weight. Trial 3 compared Romney lambs (n = 20) of the same weight. After 80 days fat depths were significantly lower for L. In Trial 4 Southdown x Romney lambs (n = 24), grazed for 45 days. Several measures of fatness were significantly lower in the L group after correcting for initial fatness and carcass weight. Trial 5 was similar to trial 4 (n = 16), but continued over 76 days and the differences in fatness were greater. Growth rates of the lambs in these trials were in favour of the WC group by an average of about I5 percent.
The lotus tannin content was 10 to 30 g/kg DM. It is concluded that lambs grazed on pure lotus are likely to be less fat than lambs of the same weight grazed on clover, possibly because the protein of lotus is to some extent protected from rumen degradation by tannins, thus effectively increasing its protein content."	Proceedings of the New Zealand Society of Animal Production 	44	219-221	New Zealand	"DSIR Grasslands (now AgResearch Grasslands Research Centre), Palmerston North "	-40.381	175.614	Herbal leys	Liveweight gain (LWG)	Table 2	1978	1979	1	62	Not specified	1	Low	
2021RGHLsnow144b	2021RGHLsnow144	R.W. Purchas & R.G. Keogh	1984	Fatness of lambs grazed on 'Grasslands Maka' Lotus and 'Grasslands Huia' white clover. 	"In 5 trials involving lambs grazing either lotus (L) or white clover (WC) in summer/autumn, those on L were consistently less fat. In trial 1 Romney wether lambs (n= 12), grazed 62 days, had weight-corrected carcass fat depths C of 2.1 (L) and 3.4 (WC) mm. In trial 2 Romney hoggets (n= 10)grazed 40 days, L had a lower side fat percent than WC at a similar weight. Trial 3 compared Romney lambs (n = 20) of the same weight. After 80 days fat depths were significantly lower for L. In Trial 4 Southdown x Romney lambs (n = 24), grazed for 45 days. Several measures of fatness were significantly lower in the L group after correcting for initial fatness and carcass weight. Trial 5 was similar to trial 4 (n = 16), but continued over 76 days and the differences in fatness were greater. Growth rates of the lambs in these trials were in favour of the WC group by an average of about I5 percent.
The lotus tannin content was 10 to 30 g/kg DM. It is concluded that lambs grazed on pure lotus are likely to be less fat than lambs of the same weight grazed on clover, possibly because the protein of lotus is to some extent protected from rumen degradation by tannins, thus effectively increasing its protein content."	Proceedings of the New Zealand Society of Animal Production 	44	219-221	New Zealand	"DSIR Grasslands (now AgResearch Grasslands Research Centre), Palmerston North "	-40.381	175.614	Herbal leys	Liveweight gain (LWG)	Table 2	1979	1979	1	40	Not specified	1	Low	
2021RGHLsnow144c	2021RGHLsnow144	R.W. Purchas & R.G. Keogh	1984	Fatness of lambs grazed on 'Grasslands Maka' Lotus and 'Grasslands Huia' white clover. 	"In 5 trials involving lambs grazing either lotus (L) or white clover (WC) in summer/autumn, those on L were consistently less fat. In trial 1 Romney wether lambs (n= 12), grazed 62 days, had weight-corrected carcass fat depths C of 2.1 (L) and 3.4 (WC) mm. In trial 2 Romney hoggets (n= 10)grazed 40 days, L had a lower side fat percent than WC at a similar weight. Trial 3 compared Romney lambs (n = 20) of the same weight. After 80 days fat depths were significantly lower for L. In Trial 4 Southdown x Romney lambs (n = 24), grazed for 45 days. Several measures of fatness were significantly lower in the L group after correcting for initial fatness and carcass weight. Trial 5 was similar to trial 4 (n = 16), but continued over 76 days and the differences in fatness were greater. Growth rates of the lambs in these trials were in favour of the WC group by an average of about I5 percent.
The lotus tannin content was 10 to 30 g/kg DM. It is concluded that lambs grazed on pure lotus are likely to be less fat than lambs of the same weight grazed on clover, possibly because the protein of lotus is to some extent protected from rumen degradation by tannins, thus effectively increasing its protein content."	Proceedings of the New Zealand Society of Animal Production 	44	219-221	New Zealand	"DSIR Grasslands (now AgResearch Grasslands Research Centre), Palmerston North "	-40.381	175.614	Herbal leys	Liveweight gain (LWG)	Table 2	1979	1980	1	80	Not specified	1	Low	
2021RGHLsnow144d	2021RGHLsnow144	R.W. Purchas & R.G. Keogh	1984	Fatness of lambs grazed on 'Grasslands Maka' Lotus and 'Grasslands Huia' white clover. 	"In 5 trials involving lambs grazing either lotus (L) or white clover (WC) in summer/autumn, those on L were consistently less fat. In trial 1 Romney wether lambs (n= 12), grazed 62 days, had weight-corrected carcass fat depths C of 2.1 (L) and 3.4 (WC) mm. In trial 2 Romney hoggets (n= 10)grazed 40 days, L had a lower side fat percent than WC at a similar weight. Trial 3 compared Romney lambs (n = 20) of the same weight. After 80 days fat depths were significantly lower for L. In Trial 4 Southdown x Romney lambs (n = 24), grazed for 45 days. Several measures of fatness were significantly lower in the L group after correcting for initial fatness and carcass weight. Trial 5 was similar to trial 4 (n = 16), but continued over 76 days and the differences in fatness were greater. Growth rates of the lambs in these trials were in favour of the WC group by an average of about I5 percent.
The lotus tannin content was 10 to 30 g/kg DM. It is concluded that lambs grazed on pure lotus are likely to be less fat than lambs of the same weight grazed on clover, possibly because the protein of lotus is to some extent protected from rumen degradation by tannins, thus effectively increasing its protein content."	Proceedings of the New Zealand Society of Animal Production 	44	219-221	New Zealand	"DSIR Grasslands (now AgResearch Grasslands Research Centre), Palmerston North "	-40.381	175.614	Herbal leys	Liveweight gain (LWG)	Table 2	1980	1981	1	45	Not specified	1	Low	
2021RGHLsnow144e	2021RGHLsnow144	R.W. Purchas & R.G. Keogh	1984	Fatness of lambs grazed on 'Grasslands Maka' Lotus and 'Grasslands Huia' white clover. 	"In 5 trials involving lambs grazing either lotus (L) or white clover (WC) in summer/autumn, those on L were consistently less fat. In trial 1 Romney wether lambs (n= 12), grazed 62 days, had weight-corrected carcass fat depths C of 2.1 (L) and 3.4 (WC) mm. In trial 2 Romney hoggets (n= 10)grazed 40 days, L had a lower side fat percent than WC at a similar weight. Trial 3 compared Romney lambs (n = 20) of the same weight. After 80 days fat depths were significantly lower for L. In Trial 4 Southdown x Romney lambs (n = 24), grazed for 45 days. Several measures of fatness were significantly lower in the L group after correcting for initial fatness and carcass weight. Trial 5 was similar to trial 4 (n = 16), but continued over 76 days and the differences in fatness were greater. Growth rates of the lambs in these trials were in favour of the WC group by an average of about I5 percent.
The lotus tannin content was 10 to 30 g/kg DM. It is concluded that lambs grazed on pure lotus are likely to be less fat than lambs of the same weight grazed on clover, possibly because the protein of lotus is to some extent protected from rumen degradation by tannins, thus effectively increasing its protein content."	Proceedings of the New Zealand Society of Animal Production 	44	219-221	New Zealand	"DSIR Grasslands (now AgResearch Grasslands Research Centre), Palmerston North "	-40.381	175.614	Herbal leys	Liveweight gain (LWG)	Table 2	1982	1983	1	76	Not specified	1	Low	
2021RGHLsnow105	2021RGHLsnow105	"D.A. Clark, C.B. Anderson, G.A.O. Hongwen"	1990	Liveweight gain and intake of Friesian bulls grazing ‘Grasslands Puna’ chicory (Cichorium intybus L.) or pasture 	"A leader (4-month-old calt)-follower (15-month-old bull) system was used to graze mid- reproductive growth chicory and mature pasture at twoherbageallowances. Chicoryleafallowances of 83and23gdry matter(DM)!kgliveweight(LW)per day gave calf liveweightgains of 0.62 and O. 57 kg/ day. For bulls, chicory leaf allowancesof 8 and 4 g DM/kg L W per day gave liveweight gains of 0.45 and 0.09 kg/day. Pasture leaf allowances of 43 and 21gDM/kgLWperdaygavecalfliveweightgains of0.62and0.60kg/day;andbullliveweightgainsof 1.1 and 0.79 kg/day for pasture leaf allowances of 8 g DM/kgLW per day. Chicoryconsistedof 48% mainstemand27%liveleafbeforecalfgrazing;and 50%mainstemand19%leafafter calfgrazingatthe high allowanceand 38% stem and 11% leaf at the lowallowance. Calvesandbullspreferentially grazed leaf before stem on both chicory and pasture. Live chicoryleafhad77%dry matterdigestibility (DMD) and 1.5%nitrogen(N) comparedwiththemainstem of 46% DMD and 0.24% N. Pasture DMD before grazing was 60% with 1.6% N. The provision of high chicory leaf allowances will enable high live- weight gains to be achieved from reproductive swards.However,good management shouldminim- isestembecauseofitslowDMDandNcontentand low acceptability to both calves and bulls."	New Zealand Journal of Agricultural Research	33	219-223	New Zealand	"DSIR Grasslands (now AgResearch Grasslands Research Centre), Palmerston North "	-40.381	175.614	Herbal leys	Liveweight gain (LWG)	Table 1	1987	1987	1	28	Not specified	1	Low	
2021RGHLsnow106	2021RGHLsnow106	"H.A. Robertson, J.H. Niezen, G.C. Waghorn, W.A.G. Charleston & M. Jinlong"	1995	"The effects of six herbages on liveweight gain, wool growth and faecal egg count of parasitised ewe lambs "	"The effect of grazing parasitised ewe lambs on herbages with and without condensed tannins (CT’s) was evaluated in terms of liveweight gain (LWG),wool growth, faecal egg count @EC) and worm burden in a six week grazing trial. Six herbages were compclred, Maku lotus, Lotus comiculuhrcr,and sulla (all containing CT’s); plantain, lucerne and ryegrass/white clover.
Gne hundred and sixty previously undrenched ewe lambs were randomised into 6 treatments (n=25) on the basis of liveweight (mean 29kg; SD 4.4kg) and FEC (mean 1403epg, SD 1356epg). Ten lambs within each treatment were drenched fortnightly, 15 were not. Lambs wereweighed,faecalsampledandgivenanewbreakoffeedeverysevendays.Anadditional 10lambswereslaughteredatthestarttoprovide measurements of initial worm burdens.
Drenched lambs grazing luceme had the highest LWG (243g/day) and plantain the lowest LWG (51.2gIday). Undrenched lambs had lower LWG’s than the drenched lambs, ranging from 175gklay when grazing sulk, to a small loss of 2g/day while grazing plantain. Wool growth followed a broadly similarpattern. FEC’s were lowest in lambs grazing sullaand highest in lambs grazing plantain. Total worm burdens were lowest in the lambs grazing sulla and highest in lambs grazing maku. Undrenched lambs grazing maku had much lower dry dag weights than those on the other herbages, with those on ryegrass/white clover having the highest.
The high production level obtained in lambs grazing sulla and maku, despite the high worm burdens indicates that these herbages could be used within farm grazing rotations to reduce anthehnintic usage. The marked reduction in dag weights on maku may also be of economic benefit by reducing the need for crutching and the risk of flystrike."	Proceedings of the New Zealand Society of Animal Production	55	199-201	New Zealand	"Flock House Agricultural Centre, AgResearch, Bulls"	-40.265	175.287	Herbal leys	"LWG, WG, FEC"	Table 1	1994	1994	1	42	Randomised	1	Low	Averaged between drenched and undrenched treatments
