Unique Study ID	Unique_article_ID	Author	Year of publication	Title	Abstract	Journal	Volume	Issue	Pages	"Other articles, same study (Unique_article_ID)"	"Other articles, same_study (citation)"	Extra calculations performed?	Intervention	Data completeness	Country	Location	LatDD	LonDD	Experimental Design	Spatial Replicates	Temporal Replicates	Sampling Precision	Critical Appraisal score	Intervention started	Intervention ended/last sampled	Study duration	SOC data location	Yield data location
2020UPDTCCLA074c	2020UPDTCCLA074	T. Kautz; C. Stumm; R. Kosters; U. Koepke	2010	Effects of perennial fodder crops on soil structure in agricultural headlands	"In agricultural headlands, rooting and yield of crops may be limited because of soil-structure changes as a consequence of multiple passes Of turning machinery We hypothesized that perennial forage crops can substantially alter soil structure in agricultural headlands. On one experimental field and two commercial farms on Haplic Luvisols from respectively loess and sandy loess in the Lower Rhine Bay (Germany), we investigated how 4 y of continuously grown grass/clover or alfalfa affected soil structure and the performance of subsequent spring wheat Compared with a crop rotation with annual plowing to 30 cm soil depth, perennial forage crops led to increased soil C content (+1 3% to +22 8%) and N content (+4 2% to +15.1%), higher densities of medium and coarse biopores at a depth of 35 cm, more large water-stable soil macro-aggregates, higher biomass and abundance of anecic earthworms, and higher grain yield and grain protein content of spring wheat grown as the following crop Root-length density of spring wheat in the subsoil was not affected by the preceding perennial fodder crops in two of the three field trials We concluded that besides increasing N input to the soil, perennial cropping of grass/clover or alfalfa has effects on soil structure that may substantially reduce yield losses in agricultural headlands"	Journal of Plant Nutrition and Soil Science	173	4	490-501				Ley-arable (LA)	"Errors present, baseline SOC missing"	Germany	Willich	51.283	6.474	Randomised block	3	1	4	3	2004	2008	5	Table 2	Table 4
2020UPDTCCLA081	2020UPDTCCLA081	S. Landschoot; K. Dewitte; B. Marynissen; V. Derycke; J. Latre; G. Haesaert	2019	Does shifting from conventional to zero tillage in combination with a cover crop offers opportunities for silage maize cultivation in Flanders?	"Tillage is an important agricultural practice, influencing the physical, chemical and biological soil characteristics. In this paper the influence of various tillage systems combined with or without a cover crop under different nitrogen fertilization levels on silage maize yield and soil fertility was investigated. Based on a field trial in Bottelare (Belgium), during the period 2007-2015, it was concluded that for each tillage system higher nitrogen levels resulted in a higher yield. In addition, the highest yield was achieved for the conventional tillage system, the yield gain for mouldboard ploughing varied between 13% (2015) and 71% (2012) compared to zero tillage. In case reduced tillage was adopted, the yield loss compared to mouldboard ploughing varied between 6% (2013 and 2015) and 24% (2012). Furthermore, it seemed that the accumulated temperature during the growing season and rainfall around flowering were decisive in determining maize yield. Additionally, rainfall in the period 60 days post sowing was significantly negatively correlated with the yield from the zero tillage plots, whereas in case tillage was adopted no correlations with rainfall 60 days post sowing were detected. Concerning the soil organic carbon content and the amount of earthworms, no clear trends could be observed. Zero tillage resulted in high weed pressure and caused soil compaction. So, in this trial, under humid conditions, the less labor intensive zero tillage system did not result in competitive maize yields. In conclusion, reduced tillage methods offer opportunities for maize cultivation in Belgium. This method of farming resulted in a lower yield, however, the difference with mouldboard ploughing was not significant. Therefore, adopting a reduced tillage system can be seen as a valid alternative for ploughing as this tillage system ensures a sustainable environment."	Journal of Plant Nutrition and Soil Science	182	6	980-989			SOC endline and yield baseline+endline extracted from figures	"TI, CC"	"Baseline SOC present, errors missing"	Belgium	Bottelare	50.96	3.75	Split plot	3	9	12	3	2007	2015	9	Figure 2	Figure 1
2020UPDTCCLA114	2020UPDTCCLA114	D. Plaza-Bonilla; J.-M. Nolot; S. Passot; D. Raffaillac; E. Justes	2016	Grain legume-based rotations managed under conventional tillage need cover crops to mitigate soil organic matter losses	"Inserting legumes in low-input innovative cropping systems can represent a good strategy to reduce current N fertilizer dependency while enhancing ecosystem services. However, although the impact of the use of legumes as cover crops has been broadly studied, very little is known about the effects of grain legume-based rotations on soil organic carbon (SOC) and nitrogen (SON). A cropping system experiment with three 3-year rotations with different levels of inclusion of grain legumes: GLO, GL1 and GL2 (none, one, and two grain legumes, respectively), with (CC) or without (BF, bare fallow) cover crops was established in SW France (Auzeville) under temperate climate. Durum wheat was present in all the rotations to act as an indicator of their performance. Soil organic C and SON were quantified before the beginning of the experiment and after 3 and 6 years (i.e., after one and two complete 3-yr rotations). Aboveground C and N inputs to the soil, and C and N harvest indexes and grain yield of the cash crops were also measured. Inserting grain legumes in the rotations significantly affected the amount of C and N inputs and consequently SOC and SON. After two cycles of the 3-yr rotation, the GL1 and GL2 treatments showed a greater decrease in SOC and SON when compared to GLO. However, the inclusion of cover crops in the rotations led to mitigate this loss. Durum wheat produced significantly greater grain yields in GU when compared to GLO, while GL2 presented intermediate values. In turn, the incorporation of cover crops did not reduce C and N harvest indexes or the grain yield of the different cash crops. We concluded that, in such conventionally-tilled grain legume-based rotations, the use of cover crops was efficient to mitigate SOC and SON losses and then increase N use efficiency at the cropping system level without reducing productivity. (C) 2015 Elsevier B.V. All rights reserved."	Soil & Tillage Research	156		33-43			SOC data extracted from figure	Cover crop (CC)	Baseline SOC & errors present	France	Institut National de la Recherche Agronomique (INRA) 	43.527	1.501	Split plot	3	3	10	3	2003	2009	3	Figure 5	Table 4
2020UPDTCCLA116	2020UPDTCCLA116	J. Rasmussen; J. Eriksen; E. M. Hansen; B. T. Christensen	2008	Carbon sequestration and residual effect of differently aged grass leys	"In this study, the C sequestration and residual N effect of grass leys without legumes and grazing animals were investigated to understand the basic processes under grasslands. The experiment area was located at Askov Experimental Station in Jutland, Denmark. The soil is a light sandy loam classified as an Alfisol (Typic Hapludalf). In spring 1996, the first plots were established with a grass mixture of perennial ryegrass (Lolium perenne), meadow fescue (Festuca pratensis), timothy (Phleum pratense) and smooth meadow grass (Poa pratensis) undersown in spring barley (Hordeum vulgare). Each year until 2001 new grass plots were established in the same way. Until grass ley establishment plots were maintained under spring barley. Plots under grass leys were subject to three to four cuttings in each production year (1997 to 2001). During this period, the leys received an annual dressing of mineral fertilizer (225 kg N, 48 kg P and 288 kg K/ha). Results indicated that in spite of lower NO<sub>3</sub>-N loss during the grass phase, well-balanced N inputs and C pool build-up no lasting residual effect could be observed after mixed-grass. The residual effect seemed to relate to stored and immediately released N, indicating that mixed-grass and inorganic fertilizers cannot increase longer-term soil fertility alone. Therefore, the present study stresses the importance of forage legumes, organic fertilizers and grazing animals in soil fertility build-up."	"DJF Rapport, Markbrug"	137		40-43		"B. T. Christensen, J. Rasmussen, J. Eriksen, E. M. Hansen (2009) Soil carbon storage and yields of spring barley following grass leys of different age. European Journal of Agronomy 31: 29-35"	SOC & yield data extracted from figures	Ley-arable (LA)	"Baseline SOC present, errors missing"	Denmark	Askov Experimental Station 	55.471	9.111	Randomised split plot	3	3	20	3	1996	2004	9	Figure 2	Figure 3
2020UPDTCCLA136	2020UPDTCCLA136	F. Schulz; A. Gattinger; C. Brock; G. Leithold	2017	Organic farming with livestock raising vs. stockless farming - development of soil organic matter stocks and cash crop yields	"An organic long-term field experiment with two factors has been carried out since 1998 at the experimental station Gladbacherhof, University of Giebetaen, Germany. The effects of different farm types (with and without livestock raising) combined with tillage treatments on plants, soil and environment have been investigated. This article presents results on soil fertility and cash crop yields according to the farm type especially in the 2nd and 3rd rotation. All in all, the superiority of a management system with cattle over stockless organic farming is demonstrated. The mixed farm type led to higher amounts of humus in the soil and to higher yields. Long term reduction of humus in stockless farming is not acceptable. Apart from organic matter recycling crop rotation in organic farming should have elements of SOM accumulating green manure crops such as perennial fodder legumes."	"Scientific Track “Innovative Research for Organic Agriculture 3.0” 19th Organic World Congress, New Delhi, India, November 9-11, 2017 Organized by ISOFAR, NCOF and TIPI"	1		344-347	"2020UPDTCCLA134, 2020UPDTCCLA135, BROCK11V174.3 (2020UPDTCCLA164b)"	"F. Schulz, C. Brock, G. Leithold (2008) Effects of Farm Type and Different Intensities of Soil Tillage on Cash Crop Yields and Soil Organic Matter. 16th IFOAM Organic World Congress, Modena, Italy, June 16-20, 2008. F. Schulz, C. Brock, H. Schmidt, K-P Franza, G. Leithold (2014) Development of soil organic matter stocks under different farm types and tillage systems in the Organic Arable Farming Experiment Gladbacherhof. Archives of Agronomy and Soil Science 60(3): 313-326. C. Brock, A. Fließbach, H.R. Oberholzer, F. Schulz, K. Wiesinger, F. Reinicke, W. Koch, B. Pallutt, B. Dittman, J. Zimmer, K.J. Hülsbergen, G. Leithold (2011) Relation between soil organic matter and yield levels of nonlegume crops in organic and conventional farming systems. Journal of Plant Nutrition and Soil Science 174:568-575. L. Knebl, G. Leithold, F. Schulz, C. Brock (2017) The role of soil depth in the evaluation of management-induced effects on soil organic matter. European Journal of Soil Science 68:979-987"	SOC data extracted from figure. Yield baseline data extracted from figure and endline calculated from info in Table 2 Schulz 2017	"TI, CC, LA"	Baseline SOC & errors missing	Germany	Gladbacherhof 	50.393	8.193	Split plot	4	14	NS	3	1998	2015	18	Figure 1 Schulz 2017	Table 2 Schulz 2017 and Figure 1 Schulz 2008
2020UPDTCCLAsnowball161a	2020UPDTCCLAsnowball161	"J. Constantin, B. Mary, F. Laurent, G. Aubrion, A. Fontaine, P. Kerveillant, N. Beaudoin "	2010	"Effects of catch crops, no till and reduced nitrogen fertilization on nitrogen leaching and balance in three long-term experiments "	"Improved agricultural practices are encouraged to reduce nitrate leaching and greenhouse gas emissions. However, the effects of these practices are often studied at annual or rotation scale without considering their long-term impacts. We have evaluated the effects of catch crops (CC), no-till (NT) and reduced nitrogen fertilization (N􏰀) on nitrogen fate in soil–plant system during 13–17 years in three experiments in Northern France. CC were present in all sites whereas tillage treatment and N fertilization rate were tested separately at one site. Crop biomass, N uptake and N leaching were monitored during the whole period. The N balance, i.e. the difference between N inputs and crop exportations, was only affected by fertilization rate whereas leached N varied with all techniques. CC was the most efficient technique to decrease N leaching (from 36 to 62%) and remained efficient on the long term. NT and N􏰀 had a positive but smaller impact. N storage in soil organic matter was markedly increased by CC (by 10– 24 kg ha􏰀1 yr􏰀1), decreased by N􏰀 (􏰀7.3 kg ha􏰀1 yr􏰀1) and not significantly affected by NT. The differences in gaseous N losses (denitrification + volatilization) between treatments were assessed by nitrogen mass balance. CC establishment had no significant effect on N gaseous emissions while NT increased them by 3.6 􏰁 0.9 kg N ha􏰀1 yr􏰀1 and N􏰀 reduced them by 13.6 􏰁 4.6 kg N ha􏰀1 yr􏰀1. Catch crops appear as a win/win technique with respect to nitrate leaching and C and N sequestration in soil."	"Agriculture, Ecosystems & Environment"	135		268-278				"TI, CC"	Baseline SOC & errors missing	France	"Arvalis-Institut du Végétal, Boigneville"	48.33	2.38		3	1	4	1	1991	2007	16	Table 6	Table 3
2020UPDTCCLAsnowball161b	2020UPDTCCLAsnowball161	"J. Constantin, B. Mary, F. Laurent, G. Aubrion, A. Fontaine, P. Kerveillant, N. Beaudoin "	2010	"Effects of catch crops, no till and reduced nitrogen fertilization on nitrogen leaching and balance in three long-term experiments "	"Improved agricultural practices are encouraged to reduce nitrate leaching and greenhouse gas emissions. However, the effects of these practices are often studied at annual or rotation scale without considering their long-term impacts. We have evaluated the effects of catch crops (CC), no-till (NT) and reduced nitrogen fertilization (N􏰀) on nitrogen fate in soil–plant system during 13–17 years in three experiments in Northern France. CC were present in all sites whereas tillage treatment and N fertilization rate were tested separately at one site. Crop biomass, N uptake and N leaching were monitored during the whole period. The N balance, i.e. the difference between N inputs and crop exportations, was only affected by fertilization rate whereas leached N varied with all techniques. CC was the most efficient technique to decrease N leaching (from 36 to 62%) and remained efficient on the long term. NT and N􏰀 had a positive but smaller impact. N storage in soil organic matter was markedly increased by CC (by 10– 24 kg ha􏰀1 yr􏰀1), decreased by N􏰀 (􏰀7.3 kg ha􏰀1 yr􏰀1) and not significantly affected by NT. The differences in gaseous N losses (denitrification + volatilization) between treatments were assessed by nitrogen mass balance. CC establishment had no significant effect on N gaseous emissions while NT increased them by 3.6 􏰁 0.9 kg N ha􏰀1 yr􏰀1 and N􏰀 reduced them by 13.6 􏰁 4.6 kg N ha􏰀1 yr􏰀1. Catch crops appear as a win/win technique with respect to nitrate leaching and C and N sequestration in soil."	"Agriculture, Ecosystems & Environment"	135		268-278				Cover crop (CC)	Baseline SOC & errors missing	France	Kerlavic 	48.05	-4.067		3	1	4	1	1994	2007	13	Table 6	Table 3
2020UPDTCCLAsnowball161c	2020UPDTCCLAsnowball161	"J. Constantin, B. Mary, F. Laurent, G. Aubrion, A. Fontaine, P. Kerveillant, N. Beaudoin "	2010	"Effects of catch crops, no till and reduced nitrogen fertilization on nitrogen leaching and balance in three long-term experiments "	"Improved agricultural practices are encouraged to reduce nitrate leaching and greenhouse gas emissions. However, the effects of these practices are often studied at annual or rotation scale without considering their long-term impacts. We have evaluated the effects of catch crops (CC), no-till (NT) and reduced nitrogen fertilization (N􏰀) on nitrogen fate in soil–plant system during 13–17 years in three experiments in Northern France. CC were present in all sites whereas tillage treatment and N fertilization rate were tested separately at one site. Crop biomass, N uptake and N leaching were monitored during the whole period. The N balance, i.e. the difference between N inputs and crop exportations, was only affected by fertilization rate whereas leached N varied with all techniques. CC was the most efficient technique to decrease N leaching (from 36 to 62%) and remained efficient on the long term. NT and N􏰀 had a positive but smaller impact. N storage in soil organic matter was markedly increased by CC (by 10– 24 kg ha􏰀1 yr􏰀1), decreased by N􏰀 (􏰀7.3 kg ha􏰀1 yr􏰀1) and not significantly affected by NT. The differences in gaseous N losses (denitrification + volatilization) between treatments were assessed by nitrogen mass balance. CC establishment had no significant effect on N gaseous emissions while NT increased them by 3.6 􏰁 0.9 kg N ha􏰀1 yr􏰀1 and N􏰀 reduced them by 13.6 􏰁 4.6 kg N ha􏰀1 yr􏰀1. Catch crops appear as a win/win technique with respect to nitrate leaching and C and N sequestration in soil."	"Agriculture, Ecosystems & Environment"	135		268-278				Cover crop (CC)	Baseline SOC & errors missing	France	Thibie 	48.933	4.233		3	1	4	1	1990	2003	13	Table 6	Table 3
2020UPDTCCLAsnowball162_THOMS04V20.1	2020UPDTCCLAsnowball162_THOMS04V20.1	I.K. Thomsen & B.T. Christensen	2004	Yields of wheat and soil carbon and nitrogen contents following long-term incorporation of barley straw and ryegrass catch crops	"Three successive crops of winter wheat were grown on a sandy loam to test the residual effect of long-term annual incorporation of spring barley straw at rates of 0, 4, 8 and 12tha21, and ryegrass catch crops with or without additions of pig slurry. Soil receiving 4, 8 and 12tha21 of straw annually for 18 years contained 12, 21 and 30% more carbon (C), respectively, than soil with straw removal, and soil C and nitro- gen (N) contents increased linearly with straw rate. The soil retained 14% of the straw C and 37% of the straw N. Ryegrass catch-cropping for 10 years also increased soil C and N concentrations, whereas the effect of pig slurry was insignificant. Grain yield in the first wheat crop showed an average dry matter (DM) increase of 0.7tha21 after treatment with 8 and 12tstrawha21. In the two subsequent wheat crops, grain yield increased by 0.2–0.3tDMha21 after 8 and 12tstrawha21. No grain yield increases were found after 4tstrawha21 in any of the three years. Previous ryegrass catch crops increased yields of wheat grain, but effects in the third wheat crop were significant only where ryegrass had been combined with pig slurry. Straw incorporation increased the N offtake in the first wheat crop. In the second crop, only 8 and 12tstrawha21 improved wheat N offtake, while the N offtake in the third wheat crop was unaffected. Ryegrass catch crops increased N offtake in the first and second wheat crop. Again, a positive effect in the third crop was seen only when ryegrass was combined with slurry. Long-term, annual incorporation of straw and ryegrass catch crops provided a clear and relatively persistent increase in soil organic matter levels, whereas the positive effects on the yield of subsequent wheat crops were modest and transient "	Soil Use and Management	20		432-438	2020UPDTCCLAhdwymissed184a	"I. K. Thomsen (1995) Catch crop and animal slurry in spring barley grown with straw incorporation. Acta Agriculturae Scandinavica. Section B, Soil and Plant Science. 45(3) 166-170"	"Pooled SOC values across straw treatments. Endline yield data extracted from figure. Baseline yield data in 3D figure, unable to extract so attempted to contact author."	Cover crop (CC)	"Errors present, baseline SOC missing"	Denmark	Askov Experimental Station 	55.471	9.111	Split-split plot	3	2		3	1989	1998	10	Table 2 Thomsen 1995 & Table 1 Thomsen 2004	Table 1 & Figure 1 Thomsen 1995; Fig 3 Thomsen 2004
2020UPDTCCLAhdwymissed184b	2020UPDTCCLAhdwymissed184	I. K. Thomsen	1995	Catch crop and animal slurry in spring barley grown with straw incorporation	"In field experiments in 1989-92 on a sandy loam soil and in 1989-91 on a sandy soil in Denmark, barley was grown with incorporation of 0, 4, 8 or 12 t straw ha<sup>-1</sup> year<sup>-1</sup>, combined with 3 catch crop treatments (no catch crop, a catch crop of Lolium perenne, or a catch crop + 35 t pig slurry ha<sup>-1</sup>) and 0, 50, 100 or 125 kg N ha<sup>-1</sup> year<sup>-1</sup>. From 1981 to 1988, these sites had received the straw incorporation treatments only. Grain yield on the sandy loam was unaffected by straw incorporation. On the sandy soil the highest straw application rates reduced grain yield in barley not given fertilizer. When the barley received 100 kg N, grain yield on this soil was also unaffected by the high straw rates. Including a catch crop had a positive effect on the grain yield of barley on both soils. The total N uptake in grain and straw generally increased with straw application up to 8 t. With the highest straw application rate, the total N uptake decreased but still exceeded N uptake in barley grown with straw removal. Barley accumulated higher amounts of N when a catch crop was included. The total N uptake in barley was significantly higher after slurry application. The extra N uptake, however, was much lower than the amounts of N applied with the slurry. Incorporation of straw had only a small influence on N uptake after slurry application. The straw, therefore, was not able to store that applied N during winter. In 1981-88, grain yield on the sandy loam was generally negatively affected by straw incorporation. The sandy loam soil showed higher increases in C and N content after the repeated straw incorporations and catch-crop growing than the sandy soil. When application of animal slurry was combined with the catch crop, no further increases in soil C and N were found relative to soil where a catch crop was grown without slurry application. Large amounts of the N applied with the slurry may therefore have been lost by denitrification or nitrate leaching."	"Acta Agriculturae Scandinavica. Section B, Soil and Plant Science"	45	3	166-170				Cover crop (CC)	Baseline SOC & errors missing	Denmark	Lundgard Experimental Station	55.47	9.19	Split-split plot	3	1		3	1989	1992	4	Table 2	Table 1 & Figure 1 Thomsen 1995
TAYLO06V144.2a	TAYLO06V144.2	"B. R. Taylor, D. Younie, S. Matheson, M. Coutts, C. Mayer, C. A. Watson, R. L. Walker"	2006	Output and sustainability of organic ley/arable crop rotations at two sites in northern Scotland	"Trials at Tulloch, Aberdeen (sandy loam soil, 820 mm rainfall) and Woodside, Elgin (light sandy loam, 730 mm) compared organically managed crop rotations containing different proportions of spring oats, swedes, potatoes and grass/clover leys (0.50 and 0.67 of the rotation at Tulloch ; 0.38 and 0.50 at Woodside). The trials simulated farm conditions through the use of grazing animals and the recycling of farmyard manure. The rotations at each site gave similar financial outputs. Yields of oats were higher where these were grown after the main ley phase of the rotation than where they were grown later in the rotation (more ears/m2 and grains/ear), but were not significantly higher after a 4-year ley than after a 3-year ley at Tulloch. It was concluded that all of the rotations were agrono- mically and financially sustainable. Cereal yields showed large year-to-year variations but little indication of a progressive decline. There were only small changes in soil organic matter, soil P and soil K. Increased early summer weed cover in the arable crops was not matched by increases in weed invasion in the grass/clover leys and did not appear to be affecting yields. "	Journal of Agricultural Science 	144		435-447			SOC data extracted from figure	Ley-arable (LA)	Baseline SOC & errors missing	Scotland	Tulloch	57.183	-2.25	Purposeful	2	12		?	1992	2003	12	Figure 5a	Table 3
TAYLO06V144.2b	TAYLO06V144.2	"B. R. Taylor, D. Younie, S. Matheson, M. Coutts, C. Mayer, C. A. Watson, R. L. Walker"	2006	Output and sustainability of organic ley/arable crop rotations at two sites in northern Scotland	"Trials at Tulloch, Aberdeen (sandy loam soil, 820 mm rainfall) and Woodside, Elgin (light sandy loam, 730 mm) compared organically managed crop rotations containing different proportions of spring oats, swedes, potatoes and grass/clover leys (0.50 and 0.67 of the rotation at Tulloch ; 0.38 and 0.50 at Woodside). The trials simulated farm conditions through the use of grazing animals and the recycling of farmyard manure. The rotations at each site gave similar financial outputs. Yields of oats were higher where these were grown after the main ley phase of the rotation than where they were grown later in the rotation (more ears/m2 and grains/ear), but were not significantly higher after a 4-year ley than after a 3-year ley at Tulloch. It was concluded that all of the rotations were agrono- mically and financially sustainable. Cereal yields showed large year-to-year variations but little indication of a progressive decline. There were only small changes in soil organic matter, soil P and soil K. Increased early summer weed cover in the arable crops was not matched by increases in weed invasion in the grass/clover leys and did not appear to be affecting yields. "	Journal of Agricultural Science 	144		435-447			SOC data extracted from figure	Ley-arable (LA)	Baseline SOC & errors missing	Scotland	Woodside	57.633	-3.4	Purposeful	2	12		?	1992	2003	12	Figure 5a	Table 4
2020UPDTCCLA164c	BROCK11V174.3	"C. Brock, A. Fließbach, H.R. Oberholzer, F. Schulz, K. Wiesinger, F. Reinicke, W. Koch, B. Pallutt, B. Dittman, J. Zimmer, K.J. Hülsbergen, G. Leithold"	2011	Relation between soil organic matter and yield levels of nonlegume crops in organic and conventional farming systems	"The aim of this study was to evaluate the interaction between yield levels of nonleguminous crops and soil organic matter (SOM) under the specific conditions of organic and conventional farming, respectively, and to identify implications for SOM management in arable farming con- sidering the farming system (organic vs. conventional). For that purpose, correlations between yield levels of nonlegume crops and actual SOM level (Corg, Nt, Chwe, Nhwe) as well as SOM-level development were examined including primary data from selected treatments of seven long- term field experiments in Germany and Switzerland. Yield levels of nonlegume crops were posi- tively correlated with SOM levels, but the correlation was significant only under conditions of organic farming, and not with conventional farming treatments.
While absolute SOM levels had a positive impact on yield levels of nonlegumes, the yield levels of nonlegumes and SOM-level development over time correlated negatively. Due to an in- creased demand of N from SOM mineralization, higher yield levels of nonlegumes obviously indicate an increased demand for OM supply to maintain SOM levels. Since this observation is highly significant for farming without mineral-N fertilization but not for farming with such fertiliza- tion, we conclude that the demand of SOM-level maintenance or enhancement and thus ade- quate SOM management is highly relevant for crop production in organic farming both from an agronomical and ecological point of view. Under conventional management, the agronomic rele- vance of SOM with regard to nutrient supply is much lower than under organic management. However, it has to be considered that we excluded other possible benefits of SOM in our survey that may be highly relevant for conventional farming as well."	Journal of Plant Nutrition and Soil Science	174		568-575				Ley-arable (LA)	"Errors present, baseline SOC missing"	Germany	"Bad Lauchstädt, Halle-Wittenberg University, Saxony-Anhalt"	51.393	11.878		4			?	1998	2003	5	Table 3	Table 3
2020UPDT006	2020UPDT006	M. Apesteguia; I. Virto; L. Orcaray; P. Bescansa; A. Enrique; M. J. Imaz; D. L. Karlen	2017	Tillage effects on soil quality after three years of irrigation in northern Spain	"Irrigation is being initiated on large areas of traditionally rainfed land to meet increasing global demand for food, feed, fiber and fuel. However, the consequences of this transition on soil quality (SQ) have scarcely been studied. Therefore, after previously identifying the most tillage-sensitive SQ indicators under long-term rainfed conditions, conversion of a research site on a Haplic Calcisol in Navarre, in northeast Spain provided an ideal location to reevaluate those SQ indicators after three years of irrigated management. The Soil Management Assessment Framework (SMAF) was used to test our hypothesis that adopting irrigation could change the sensitivity and importance of non-irrigated SQ indicators. Several soil physical, chemical, and biological indicators along with crop yields were used to evaluate SQ three years after initiating irrigation on a long-term conventional tillage (CT), minimum tillage (MT) and no-tillage (NT) study where either barley (Hordeum vulgare L.) or wheat (Triticum aestivum L.) was being grown. The results confirmed our hypothesis that irrigation would change the relative importance of various SQ indicators and suggested that some SMAF algorithms, such as those used to assess bulk density, needed to be recalibrated for these Mediterranean soils."	Sustainability	9		1476				Tillage intensity (TI)	"Errors present, baseline SOC missing"	Spain	Olite	42.481	-1.651	Randomised block	4	3	5	3	1994	2011	18	Tables 1&2	Section 3.1
2020UPDT011	2020UPDT011	B. C. Ball; R. W. Lang; M. F. O'Sullivan; M. F. Franklin	1989	Cultivation and nitrogen requirements for continuous winter barley on a Gleysol and a Cambisol	"Long- and short-term direct-drilling and seed broadcasting plus rotovation were examined as alternatives to conventional mouldboard ploughing and drilling. The broadcasting and the short-term direct-drilling treatments were applied to previously chisel-ploughed and deep mouldboard-ploughed treatments, respectively. Autumn nitrogen treatments of 30 or 60 kg/ha and spring nitrogen treatments of 150 or 225 kg/ha were applied. The experiment is located on a cambisol (15% clay in topsoil) and on a gleysol (17% clay in topsoil) in Scotland. Straw was removed by baling and the stubble remained when the treatments were applied. Long-term direct-drilling yielded most over the 3 years of the experiment and was particularly successful after the unusually wet autumn and winter of the third season. Short-term direct-drilling was the lowest yielding treatment in the first season only. The success of the long-term direct-drilling treatment was associated with the development of a stable, protective surface tilth as a result of organic-matter accumulation. This was associated with some soil structural improvement deeper in the profile in the long-term direct-drilled gleysol as shown by measurements of air permeability. Crop performance was not related to soil compactness or cone resistance. The relatively high rates of nitrogen applied, both autumn and spring, gave worthwhile crop responses except for the third season, when the crop lodged. Short-term direct-drilling, broadcasting with rotovation and ploughing with drilling gave similar average yields on the gleysol, but on the cambisol broadcasting with rotovation outyielded the other two treatments by an average of 0.3 t/ha."	Soil & Tillage Research	13		333-352	Haddaway_till_yield_MA	"Soane, BD; Ball, BC (1998) Review of management and conduct of long-term tillage studies with special reference to a 25-yr experiment on barley in Scotland. Soil &  Tillage Research 45:17-37"	SOC and bulk density data extracted from figure	Tillage intensity (TI)	Baseline SOC & errors missing	Scotland		55.84	-3.173	Split-split plot	4	1\3		3	1983	1986	3	Figure 7	Table 4
2020UPDT012	2020UPDT012	B. C. Ball; M. F. O'Sullivan; R. W. Lang	1985	Cultivation and nitrogen requirement for winter barley as assessed from a reduced-tillage experiment on a brown forest soil	"Direct drilling, spring-time cultivation to 60 mm and shallow mouldboard ploughing to 100 mm depth were examined as possible quick and cheap alternatives to mouldboard ploughing to 250 mm depth. Nitrogen was top-dressed either at the recommended rate or at 40% greater than the recommended rate. The experiment was on a well-drained sandy loam containing 3.8% easily oxidisable organic matter, representative of many coarse-textured Scottish soils, and ran for three seasons during 1980-1983. Crop and soil conditions were measured frequently throughout the duration of the experiment. No significant differences in yield were detected between the cultivation treatments at either nitrogen level in any year. The mean yield for the three seasons at the recommended rate of nitrogen top dressing was 5.8 t ha<sup>-1</sup> which was increased, on average, by 0.72 t ha<sup>-1</sup> by the higher rate of nitrogen top dressing, a profitable response. Grain water content, weight, specific weight and nitrogen content were influenced little by cultivation treatment. The similar grain yields and qualities were consistent with the similarly satisfactory seedbeds produced by the cultivation treatments and the stable structure of the soil which, though moderately compact, was relatively weak and ensured that soil physical properties were similar in all cultivation treatments. Both primary and secondary cultivation requirements are low. Shallow ploughing to 100 mm gave a small yield benefit and may be the most suitable cultivation treatment. Soil disturbance below this depth is probably not necessary for winter barley on such coarse-textured brown forest soils."	Soil & Tillage Research	6		95-19			SOC data extracted from figure	Tillage intensity (TI)	Baseline SOC & errors missing	Scotland	"Thornton Mains, Rosewell "	55.842	-3.13	Split plot	4	1\3	Not specified	3	1980	1983	3	Figure 5	Table 3
