id	Which of the following most accurately reflects your position?	Lat_CON	Lon_CON	What proportion of your woods are Ancient woodland (Semi-natural)?	What proportion of your woods are Ancient woodland (Plantations (PAWS))?	What proportion of your woods are Ancient woodland (Restored PAWS)?	What proportion of your woods are Secondary woods (Semi-natural)?	What proportion of your woods are Secondary woods (Plantations)?	What proportion of your woodland is mainly broadleaved stands? 	What proportion of your woodland is mainly conifer stands?	What proportion of your woodland is a mixture of both broadlead and conifer stands?	What proportion of stands in your woodland are even-aged?	What proportion of stands in your woodland are uneven-aged? 	What best describes your business or professional sector?
48	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.98083	-0.11046	85				15	100				100	NGO/community organization
50	Woodland owner: I own land containing woodland (a single woodland property)	54.30387	-2.19605				50	50	60	40		60	40	
51	Professional: I have a professional or personal interest in forests and forestry in the UK	51.82098	-3.01743											Public sector - central/devolved government
55	Woodland owner: I own land containing woodland (multiple woodland properties)	55.0626	-3.1611	50	10		10	30	50	30	20	30	70	
56	Woodland owner: I own land containing woodland (a single woodland property)	50.68795	-3.22248				10	90	100			80	20	
57	Woodland owner: I own land containing woodland (a single woodland property)	53.5773	-0.55787	100					100			90	10	
58	Woodland owner: I own land containing woodland (a single woodland property)	54.38506	-1.61671	0	0	0	10	90	20	80		80	20	
60	Woodland owner: I own land containing woodland (multiple woodland properties)	50.9634	-0.68321	10			90		15	85		50	50	
61	Woodland owner: I own land containing woodland (a single woodland property)	50.96637	-0.64806					100	20	80		100		
63	Professional: I have a professional or personal interest in forests and forestry in the UK	52.44262	1.3623											Forest industry
65	Professional: I have a professional or personal interest in forests and forestry in the UK	53.20597	-1.08919											Public sector - central/devolved government
67	Woodland owner: I own land containing woodland (a single woodland property)	53.30793	-1.36462	60	30	10			60	30	10	60	40	
69	Woodland owner: I own land containing woodland (a single woodland property)	53.2898	-2.09637				100		100			80	20	
71	Woodland owner: I own land containing woodland (multiple woodland properties)	55.8307	-3.7635					100	5	75		100		
75	Woodland owner: I own land containing woodland (a single woodland property)	50.28634	-5.03242					100	100			100		
76	Professional: I have a professional or personal interest in forests and forestry in the UK	51.24779	-0.06914											Other
78	Woodland owner: I own land containing woodland (a single woodland property)	52.4309	-1.3266	5	45		50		5		95	95	5	
80	Woodland owner: I own land containing woodland (a single woodland property)	51.99415	-3.79637					100	50	50		100		
83	Woodland owner: I own land containing woodland (a single woodland property)	51.02671	-0.16033	70			30		100				100	
86	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.21644	-0.59875	80	15	5			90	10		60	40	Forest industry
88	Woodland owner: I own land containing woodland (a single woodland property)	50.52858	-3.61186	100					100				100	
91	Professional: I have a professional or personal interest in forests and forestry in the UK	55.12237	-3.52112											Other
92	Woodland owner: I own land containing woodland (a single woodland property)	51.66148	-3.03635	60			40		100	0		0	100	
93	Woodland owner: I own land containing woodland (a single woodland property)	50.8988	0.29581	100					100				100	
94	Woodland owner: I own land containing woodland (a single woodland property)	52.90968	-2.16422	40	60	0	0	0	100	0	0	75	25	
95	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.85868	0.987	40			60		100			30	70	Public sector - local government
96	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.73213	-3.4013				20	80	30	70		90	10	No professional involvement in forestry (personal interest)
98	Woodland owner: I own land containing woodland (a single woodland property)	51.90505	-2.6326	100					100			75	25	
102	Woodland owner: I own land containing woodland (a single woodland property)	51.76495	-4.08966	0	0	0	2	98	30	70		98	2	
104	Woodland owner: I own land containing woodland (a single woodland property)	54.4177	-3.01841	100					100			90	10	
105	Woodland owner: I own land containing woodland (a single woodland property)	51.36578	-2.30095			100			60	10	30	60	40	
106	Woodland owner: I own land containing woodland (a single woodland property)	50.43969	-4.76532	100					100			100	0	
108	Woodland owner: I own land containing woodland (a single woodland property)	51.11781	0.01998	100	0	0	0	0	100	0	0		100	
109	Woodland owner: I own land containing woodland (a single woodland property)	51.88395	0.57252	100					100			100		
110	Woodland owner: I own land containing woodland (multiple woodland properties)	53.65441	-1.94407	40	25			35	100	0		65	35	
111	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.96035	-3.76282	0	0		70	30	0	0	100	100	0	Public sector - central/devolved government
112	Woodland owner: I own land containing woodland (a single woodland property)	50.6842	-4.29956	0	0	0	10	90	100			100		
113	Woodland owner: I own land containing woodland (a single woodland property)	51.77727	-2.12551	0	0	0	0	100	100			100		
114	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	52.14164	-2.79648				45	55	40		60	40	60	
119	Woodland owner: I own land containing woodland (a single woodland property)	51.80936	-0.06789	0	0	0	0	100	100	0	0	100	0	
123	Woodland owner: I own land containing woodland (a single woodland property)	52.30428	-1.56967					100	100			100		
124	Woodland owner: I own land containing woodland (multiple woodland properties)	52.31746	-0.26436	85	2	2	3	8	98	1	1	80	20	
125	Woodland owner: I own land containing woodland (a single woodland property)	51.78505	-2.67766		30			70	10	70	20	80	20	
126	Woodland owner: I own land containing woodland (a single woodland property)	57.58061	-2.78542					100	15	75	10	100		
127	Woodland owner: I own land containing woodland (a single woodland property)	51.07371	0.01926	90		5		5	80	5		70	30	
128	Woodland owner: I own land containing woodland (a single woodland property)	50.98223	0.67263	100					100				100	
129	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	54.41667	-7.2				5	95	30	70		95	5	Research institute
130	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	56.80877	-2.55604	0	0	0	25	75	25	75		70	30	Forest industry
131	Woodland owner: I own land containing woodland (a single woodland property)	53.292	-1.68503				80	20	60	20	20	30	70	
134	Woodland owner: I own land containing woodland (multiple woodland properties)	52.96957	-0.02472	0	0	0	5	95	80	10	10	90	10	
138	Woodland owner: I own land containing woodland (a single woodland property)	51.41184	-1.15494	100					100			70	30	
140	Woodland owner: I own land containing woodland (a single woodland property)	56.3192	-3.01223	75			25				100	50	50	
141	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	54.3259	-2.7441											
146	Professional: I have a professional or personal interest in forests and forestry in the UK	57.57622	-4.26003											Forest industry
152	Woodland owner: I own land containing woodland (a single woodland property)	51.84548	-2.08842	100					99	1		60	40	
153	Woodland owner: I own land containing woodland (a single woodland property)	50.988	0.16801	100					99.9	0.1		70	30	
157	Woodland owner: I own land containing woodland (a single woodland property)	50.83647	-4.35059	100					100				100	
159	Woodland owner: I own land containing woodland (a single woodland property)	56.36639	-3.17522					100	100			100		
160	Woodland owner: I own land containing woodland (a single woodland property)	50.81892	-1.41586	100					100			25	75	
162	Woodland owner: I own land containing woodland (multiple woodland properties)	50.96509	0.25681	50	50				50		50		100	
167	Professional: I have a professional or personal interest in forests and forestry in the UK	51.89133	-1.38084											Forest industry
172	Woodland owner: I own land containing woodland (a single woodland property)	50.95812	-0.19775	100					100			90	10	
173	Woodland owner: I own land containing woodland (a single woodland property)	57.24218	-3.55925	100					99	1		50	50	
176	Woodland owner: I own land containing woodland (multiple woodland properties)	50.96675	-3.59789				50	35	98	2		35	65	
178	Woodland owner: I own land containing woodland (multiple woodland properties)	51.84108	1.00834	20	65		15		95	5		50	50	
184	Woodland owner: I own land containing woodland (a single woodland property)	50.77668	-3.05911				20	80	20	80		70	30	
186	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	51.90097	-2.07642	100					99.9	0.1		50	50	
188	Woodland owner: I own land containing woodland (multiple woodland properties)	54.95263	-2.04294					99	1	99		99		
190	Woodland owner: I own land containing woodland (a single woodland property)	52.39928	-0.98568		100				95	5		100		
191	Professional: I have a professional or personal interest in forests and forestry in the UK	52.65439	-0.50737											Public sector - local government
194	Woodland owner: I own land containing woodland (multiple woodland properties)	51.25831	-1.4694	100	0	0	0	0	99	1	0	100	0	
195	Woodland owner: I own land containing woodland (a single woodland property)	51.20287	-2.18994	100					90	10		80	20	
196	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.73037	-2.30627		30	30	10	30	50	50			100	
198	Woodland owner: I own land containing woodland (a single woodland property)	50.74821	-1.8013	80				20	80	20		100		
199	Woodland owner: I own land containing woodland (a single woodland property)	50.69617	-3.52573				30	70	90	10		70	30	
200	Woodland owner: I own land containing woodland (multiple woodland properties)	50.61453	-3.81009				10	90	40	50	10	90	10	
204	Woodland owner: I own land containing woodland (a single woodland property)	51.51537	-2.0117	60			30	10	100			5	95	
205	Woodland owner: I own land containing woodland (a single woodland property)	51.38271	-2.49115	0	0	0	12	88	100	0	0	95	5	
208	Woodland owner: I own land containing woodland (multiple woodland properties)	50.42952	-3.97705											
209	Woodland owner: I own land containing woodland (a single woodland property)	50.60129	-2.00294	70	15	10		5	100			75	25	
212	Professional: I have a professional or personal interest in forests and forestry in the UK	51.65275	-0.07931											Public sector - central/devolved government
218	Professional: I have a professional or personal interest in forests and forestry in the UK	51.44907	-0.106											Public sector - local government
219	Woodland owner: I own land containing woodland (a single woodland property)	54.31073	-2.86314				100		100				100	
225	Woodland owner: I own land containing woodland (multiple woodland properties)	51.50805	-1.53105	49				51	80		20	60	40	
226	Professional: I have a professional or personal interest in forests and forestry in the UK	51.53267	-0.12188											Other
228	Woodland owner: I own land containing woodland (a single woodland property)	53.24593	-3.54851	5				95	90		10	95	5	
229	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	54.35656	-2.90794	47	53				84	16		20	80	Forest industry
230	Woodland owner: I own land containing woodland (multiple woodland properties)	51.74438	-0.58935	33	28			39	60	40		75	25	
231	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	53.14817	-3.48829											
232	Woodland owner: I own land containing woodland (multiple woodland properties)	51.39836	-0.52525	37	0	0	63	0	96		4	26	74	
233	Professional: I have a professional or personal interest in forests and forestry in the UK	54.34435	-3.03006											Public sector - central/devolved government
237	Woodland owner: I own land containing woodland (a single woodland property)	51.13192	-0.45447	100					100			50	50	
238	Woodland owner: I own land containing woodland (a single woodland property)	53.20053	-3.55592	100	0	0	0	0	100	0	0	0	100	
242	Woodland owner: I own land containing woodland (a single woodland property)	50.96508	-3.57275				100		90			40	60	
243	Woodland owner: I own land containing woodland (a single woodland property)	51.11086	-1.00868		100				40	60		90	10	
247	Professional: I have a professional or personal interest in forests and forestry in the UK	51.64039	-1.20541											NGO/community organization
248	Woodland owner: I own land containing woodland (a single woodland property)	52.10554	-0.77385				50	50	50	50		50	50	
259	Professional: I have a professional or personal interest in forests and forestry in the UK	53.11546	-3.3062											Forest industry
263	Professional: I have a professional or personal interest in forests and forestry in the UK	53.95407	-1.08765											Forest industry
264	Woodland owner: I own land containing woodland (a single woodland property)	52.4021	-2.07092				100		100			80		
265	Woodland owner: I own land containing woodland (a single woodland property)	51.32192	0.58288	100					100				100	
266	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.21472	-2.85965					100	97	3		100		Public sector - central/devolved government
267	Woodland owner: I own land containing woodland (a single woodland property)	51.79221	-0.62674				100		99	0.1		60	40	
268	Woodland owner: I own land containing woodland (a single woodland property)	50.96924	-3.55957	100					100				100	
271	Woodland owner: I own land containing woodland (a single woodland property)	50.82676	-0.14557	20	80				20		80	80	20	
272	Woodland owner: I own land containing woodland (a single woodland property)	51.83427	-2.84337				100		100				100	
273	Woodland owner: I own land containing woodland (a single woodland property)	50.46188	-4.60602		100				100			80	20	
276	Woodland owner: I own land containing woodland (a single woodland property)	52.31528	-2.41614	100					100			75	25	
279	Professional: I have a professional or personal interest in forests and forestry in the UK	52.86747	-2.66521											Public sector - central/devolved government
280	Woodland owner: I own land containing woodland (multiple woodland properties)	50.86079	-2.47433	10	15	5	10	60	50	50		55	45	
282	Professional: I have a professional or personal interest in forests and forestry in the UK	50.59259	-3.67543											Public sector - central/devolved government
283	Professional: I have a professional or personal interest in forests and forestry in the UK	54.10128	-2.34009											NGO/community organization
284	Professional: I have a professional or personal interest in forests and forestry in the UK	50.72615	-3.55064											Forest industry
285	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.99647	-3.7944											
287	Woodland owner: I own land containing woodland (a single woodland property)	53.34507	-0.3822			100			100			50	50	
289	Woodland owner: I own land containing woodland (a single woodland property)	51.04533	-0.06781	15	20	15		50	50	50		60	40	
290	Woodland owner: I own land containing woodland (a single woodland property)	52.1826	-2.27772				100		100	0	0	30	70	
296	Woodland owner: I own land containing woodland (multiple woodland properties)	56.88935	-4.74666	3	15			82		95	5	95	5	
297	Woodland owner: I own land containing woodland (a single woodland property)	51.54095	-1.43097					100	100			75	25	
299	Woodland owner: I own land containing woodland (a single woodland property)	51.13412	-0.25947	100					100			100		
300	Woodland owner: I own land containing woodland (multiple woodland properties)	52.06313	0.93301	75		5		20	95		5	90	10	
301	Woodland owner: I own land containing woodland (multiple woodland properties)	50.791	-4.19888	5			95		100			95	5	
303	Professional: I have a professional or personal interest in forests and forestry in the UK	52.65973	-3.1471											Forest industry
304	Woodland owner: I own land containing woodland (a single woodland property)	52.66013	-2.55291	50	50				100				100	
305	Woodland owner: I own land containing woodland (a single woodland property)	53.56677	-2.62934	70	5		25		95	5		30	70	
307	Woodland owner: I own land containing woodland (a single woodland property)	50.99252	-0.09139	100					100			40	60	
308	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.23207	-3.85371		100				80		20	100		University research
309	Professional: I have a professional or personal interest in forests and forestry in the UK	51.64114	-1.66185											NGO/community organization
311	Woodland owner: I own land containing woodland (multiple woodland properties)	54.41813	-7.30179											
314	Woodland owner: I own land containing woodland (multiple woodland properties)	54.93619	-1.82661		100						100	50	50	
315	Woodland owner: I own land containing woodland (multiple woodland properties)	54.54319	-1.94904	100					100			90	10	
317	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	54.81572	-1.66992	5	5		5	85		85	15	50	50	
321	Woodland owner: I own land containing woodland (multiple woodland properties)	50.31337	-4.0567		50		50		80		20		100	
323	Woodland owner: I own land containing woodland (a single woodland property)	57.15299	-2.5547					100	100			99.9	0.1	
324	Woodland owner: I own land containing woodland (a single woodland property)	53.9785	-1.47148			50	50				100		100	
325	Woodland owner: I own land containing woodland (a single woodland property)	56.36772	-3.13231	0	15	0	0	85		100		90	10	
327	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.48132	-3.77913	25	65	10			35	65		75	25	Forest industry
328	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	54.29986	-1.87042	5	10			85	80	10	10	50	50	
329	Woodland owner: I own land containing woodland (multiple woodland properties)	52.58285	-2.92275	100					100			100		
330	Woodland owner: I own land containing woodland (multiple woodland properties)	51.68635	-3.01666	5	15		40	40	40	30	30	50	50	
331	Woodland owner: I own land containing woodland (a single woodland property)	52.29474	-2.96648	100					100			60	40	
332	Woodland owner: I own land containing woodland (a single woodland property)	52.1755	-1.55856	100					100			100		
333	Woodland owner: I own land containing woodland (a single woodland property)	50.67688	-2.22542				20	80	100			5	95	
334	Woodland owner: I own land containing woodland (a single woodland property)	50.98415	-3.82788	40				60	40	60		90	10	
338	Woodland owner: I own land containing woodland (a single woodland property)	53.01633	-1.45741	50			50		100			30	70	
341	Professional: I have a professional or personal interest in forests and forestry in the UK	55.54755	-2.01186											Forest industry
343	Woodland owner: I own land containing woodland (a single woodland property)	52.05825	-1.34453				80	20	100			50	50	
344	Woodland owner: I own land containing woodland (multiple woodland properties)	52.77902	-0.98465	30				70			100	10	90	
347	Woodland owner: I own land containing woodland (multiple woodland properties)	53.12573	-0.45259				65	35	90	10		70	30	
348	Woodland owner: I own land containing woodland (a single woodland property)	53.09179	-2.96639	5	5	5	20	65	35	65		90		
349	Woodland owner: I own land containing woodland (multiple woodland properties)	52.36973	-1.07117	10				90	99	1		100		
351	Woodland owner: I own land containing woodland (a single woodland property)	50.65107	-4.41032					100	100			100		
352	Woodland owner: I own land containing woodland (a single woodland property)	53.94396	-1.12473	85		10		5	100			60	40	
354	Woodland owner: I own land containing woodland (a single woodland property)	51.85699	-4.30527	5	20			75	25	75			100	
360	Woodland owner: I own land containing woodland (a single woodland property)	51.57491	-3.11881		85	15			70	20	10	25	75	
361	Woodland owner: I own land containing woodland (a single woodland property)	51.4121	-1.1633	100					100			50	50	
363	Woodland owner: I own land containing woodland (a single woodland property)	52.17646	-0.15518		50	50			100			50	50	
364	Woodland owner: I own land containing woodland (a single woodland property)	51.35635	-2.54196	5	40	10	10	35	40	45	15	40	60	
365	Woodland owner: I own land containing woodland (a single woodland property)	54.97365	-2.01798	0	0	0	0	100		100		100		
366	Professional: I have a professional or personal interest in forests and forestry in the UK	51.62079	-3.94323											NGO/community organization
367	Woodland owner: I own land containing woodland (a single woodland property)	53.10935	-3.44168			100			80			80	20	
368	Woodland owner: I own land containing woodland (a single woodland property)	51.81265	-2.71363					100			100	100		
371	Woodland owner: I own land containing woodland (multiple woodland properties)	57.29834	-3.42773	50				50	100			50	50	
376	Professional: I have a professional or personal interest in forests and forestry in the UK	53.38169	-2.59552											Forest industry
379	Woodland owner: I own land containing woodland (multiple woodland properties)	58.16925	-4.61975					100		99.5	0.5	99	1	
380	Woodland owner: I own land containing woodland (a single woodland property)	52.19286	-1.60834				60	40	50	50		100		
381	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	54.96106	-2.45132	3	3	0	0	94	5	95		80	20	
382	Woodland owner: I own land containing woodland (a single woodland property)	53.10077	-0.90963	50	50				100			100		
383	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	57.15167	-3.94464	10	60			30	10	90		80	20	Forest industry
385	Woodland owner: I own land containing woodland (a single woodland property)	53.65656	-2.79499					100			100	100		
386	Woodland owner: I own land containing woodland (multiple woodland properties)	52.21097	0.79651	100					100			100		
390	Woodland owner: I own land containing woodland (a single woodland property)	51.10451	-2.35622	5	15	2	5	73	20	60	20	25	75	
391	Woodland owner: I own land containing woodland (a single woodland property)	51.69159	-1.58581			75		25	100				100	
392	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.40081	-2.04878	60				40			100	70	30	
393	Woodland owner: I own land containing woodland (a single woodland property)	52.14711	-2.19632	3		0		97	85	15		97	3	
394	Professional: I have a professional or personal interest in forests and forestry in the UK	51.00079	-0.94482											Other
395	Woodland owner: I own land containing woodland (a single woodland property)	50.64641	-2.12191				15	85	100				100	
397	Woodland owner: I own land containing woodland (a single woodland property)	52.65671	-3.40683	0	50	50			10	90		100		
398	Woodland owner: I own land containing woodland (multiple woodland properties)	51.75222	-1.25596	100					100				100	
399	Woodland owner: I own land containing woodland (a single woodland property)	53.82726	-2.51879	100					90	10		60	40	
401	Woodland owner: I own land containing woodland (multiple woodland properties)	50.93576	0.63336	95				5	100			50	50	
403	Professional: I have a professional or personal interest in forests and forestry in the UK	52.29756	-2.79739											No professional involvement in forestry (personal interest)
405	Woodland owner: I own land containing woodland (multiple woodland properties)	56.1069	-3.45793											
407	Woodland owner: I own land containing woodland (a single woodland property)	52.15033	-3.40756		25	25	50		25	25	50	40	60	
408	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	53.8748	-2.35519											
411	Woodland owner: I own land containing woodland (a single woodland property)	50.97417	-3.04138	50				50	100				100	
412	Woodland owner: I own land containing woodland (a single woodland property)	53.46612	-1.50842		100				50	50		50	50	
413	Woodland owner: I own land containing woodland (a single woodland property)	51.19275	-0.7817	0	80		20		20	80		30	70	
414	Woodland owner: I own land containing woodland (a single woodland property)	51.37795	-2.29212	75			25		100				100	
415	Woodland owner: I own land containing woodland (a single woodland property)	51.45477	-2.76602		25	75			80	20		66.5	33.5	
418	Professional: I have a professional or personal interest in forests and forestry in the UK	51.13308	1.3107											Other
419	Woodland owner: I own land containing woodland (a single woodland property)	53.38925	-1.13827	100					100			100		
420	Woodland owner: I own land containing woodland (a single woodland property)	51.14891	-0.24492	100					100			40	60	
422	Woodland owner: I own land containing woodland (a single woodland property)	53.95494	-0.86365								100	50	50	
423	Woodland owner: I own land containing woodland (a single woodland property)	51.30698	-1.97657	90					95			90		
425	Professional: I have a professional or personal interest in forests and forestry in the UK	55.94903	-3.25427											Public sector - central/devolved government
426	Woodland owner: I own land containing woodland (multiple woodland properties)	52.23784	1.56684	80				20	90	10		80	20	
427	Woodland owner: I own land containing woodland (multiple woodland properties)	54.74603	-1.3266				100		0	0	100		100	
430	Woodland owner: I own land containing woodland (a single woodland property)	50.59911	-4.08303	100					100			75	25	
437	Woodland owner: I own land containing woodland (a single woodland property)	52.61732	-2.72729	25	50			25	80			20	80	
439	Woodland owner: I own land containing woodland (multiple woodland properties)	52.17806	-0.70141	75				25	85		15	90	10	
440	Woodland owner: I own land containing woodland (multiple woodland properties)	51.87657	-1.89432	20				80	70	10	20	90	10	
442	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	56.32988	-3.78707				30	70	10	70	20	80	20	Forest industry
445	Woodland owner: I own land containing woodland (multiple woodland properties)	51.71597	-1.70563	50			50		80	10	10	0	100	
446	Professional: I have a professional or personal interest in forests and forestry in the UK	54.17267	-0.97896											Public sector - central/devolved government
447	Professional: I have a professional or personal interest in forests and forestry in the UK	52.68132	-1.82213											Public sector - local government
450	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.64946	-3.7738				15	85	10	75	10	95	5	
451	Woodland owner: I own land containing woodland (a single woodland property)	54.61135	-2.91412	20	80				90	10		80	20	
452	Woodland owner: I own land containing woodland (a single woodland property)	53.2103	-1.4514		100				30	70				
458	Woodland owner: I own land containing woodland (a single woodland property)	54.78101	-2.97345	95					95		5	95	5	
459	Woodland owner: I own land containing woodland (multiple woodland properties)	57.44842	-2.79671	21	14	14	17	34	48	41	11	46	54	
460	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.2253	0.97366	100	0	0	0	0	100			100	0	
461	Woodland owner: I own land containing woodland (a single woodland property)	50.61362	-3.53691	100					100			25	75	
463	Woodland owner: I own land containing woodland (multiple woodland properties)	52.06563	1.3793	20		10		70	40	30	30	90	10	
464	Woodland owner: I own land containing woodland (multiple woodland properties)	52.20104	1.4534				10	90	10	90		85	15	
465	Woodland owner: I own land containing woodland (a single woodland property)	50.93525	0.01691	95			5		100			25	75	
467	Professional: I have a professional or personal interest in forests and forestry in the UK	51.75222	-1.25596											University research
470	Woodland owner: I own land containing woodland (a single woodland property)	52.02452	-1.84347				10	90	95	5		70	30	
472	Woodland owner: I own land containing woodland (a single woodland property)	55.52163	-4.63142	100					80	0	20	100	0	
473	Woodland owner: I own land containing woodland (multiple woodland properties)	53.56504	-2.13899				50	50	90	10			100	
474	Woodland owner: I own land containing woodland (a single woodland property)	50.70374	-3.61073						34	66				
475	Woodland owner: I own land containing woodland (a single woodland property)	51.49506	-1.80176	0	0	0	0	0	100			100		
477	Woodland owner: I own land containing woodland (a single woodland property)	51.00857	-1.26738	100					100	0			100	
478	Professional: I have a professional or personal interest in forests and forestry in the UK	55.41288	-1.69876											Forest industry
483	Woodland owner: I own land containing woodland (multiple woodland properties)	52.16585	0.12305				100		90	10			100	
484	Woodland owner: I own land containing woodland (multiple woodland properties)	52.6444	0.79514				20	80	15	85		75	25	
486	Woodland owner: I own land containing woodland (a single woodland property)	53.74968	-2.0129				100		95	5			100	
487	Woodland owner: I own land containing woodland (a single woodland property)	52.11956	-3.94697	0	0	0	95	5	100			100		
488	Woodland owner: I own land containing woodland (multiple woodland properties)	51.19998	-3.61	53.36	13.76		8.26	16.84	76.54	15.68		30	70	
491	Woodland owner: I own land containing woodland (a single woodland property)	51.8326	-3.10879	40	20	20	20		100			20	80	
492	Woodland owner: I own land containing woodland (a single woodland property)	50.91322	0.12394	80	10	0	10	0	0	0	100		100	
493	Woodland owner: I own land containing woodland (a single woodland property)	50.91526	0.56554	45				55	100			50	50	
495	Woodland owner: I own land containing woodland (a single woodland property)	51.78144	-2.0826	20			80		90	10		80	20	
496	Woodland owner: I own land containing woodland (a single woodland property)	54.17774	-3.21103	50				45	90	2		50	45	
497	Professional: I have a professional or personal interest in forests and forestry in the UK	51.3636	0.60161											No professional involvement in forestry (personal interest)
498	Woodland owner: I own land containing woodland (multiple woodland properties)	53.52285	-1.13116		100					75			90	
499	Woodland owner: I own land containing woodland (a single woodland property)	55.19768	-4.72412	25			50	25	20	10	70	80	20	
500	Professional: I have a professional or personal interest in forests and forestry in the UK	53.04664	-2.99132											NGO/community organization
501	Woodland owner: I own land containing woodland (a single woodland property)	52.54911	1.17245					100	100			100		
506	Woodland owner: I own land containing woodland (multiple woodland properties)	54.92714	-2.8894	100					90	10			100	
507	Woodland owner: I own land containing woodland (a single woodland property)	57.02877	-4.20502	90				10	90	10		10	90	
508	Woodland owner: I own land containing woodland (multiple woodland properties)	53.88896	-2.31812	0	0	0	10	90	90	0	10	70	30	
509	Professional: I have a professional or personal interest in forests and forestry in the UK	50.44409	-3.70958											NGO/community organization
510	Woodland owner: I own land containing woodland (a single woodland property)	50.98242	-1.26961	100					100				100	
511	Woodland owner: I own land containing woodland (a single woodland property)	57.72133	-3.34036	0	0	0	50	50	90	10		50	50	
