Resource Type	Continent	Country	LatDD	LonDD	Division Tags	Unit Tags	Link	Title	Description	Member	Date
Research	Europe	UK	51.58	-3	Division 2 – Physiology and Genetics;Division 7 – Forest Health;Division 8 – Forest Environment		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1960
Research	Europe	UK	51.5	0	Division 3 – Forest Operations Engineering and Management;Division 4 – Forest Assessment, Modelling and Management ;Division 9 – Forest Policy and Economics		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1961
Research	Europe	UK	51.5	0	Division 4 – Forest Assessment, Modelling and Management ;Division 5 – Forest Products		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1962
Research	Europe	UK	51.4	-0.19	Division 5 – Forest Products		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1963
Research	Europe	UK	51.5	0	Division 6 – Social Aspects of Forests and Forestry;Division 1 – Silviculture		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1964
Research	Europe	UK	55.94	-3.18	Division 7 – Forest Health;Division 9 – Forest Policy and Economics		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1965
Research	Europe	UK	51.5	0	Division 8 – Forest Environment;Division 1 – Silviculture		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1966
Research	Asia	China	35.74	114.3	Division 9 – Forest Policy and Economics		https://www.sciencedirect.com/science/article/pii/S030147971931151X?via%3Dihub	Cleaner heating choices in northern rural China: Household factors and the dual substitution policy	"Household heating is a major contributor to frequent winter haze in northern China. Transition to cleaner household heating is associated with multiple benefits including improved environmental conditions and health of local residents. This study presents an analysis of data from an indoor survey covering 1030 households in 136 villages of Hebi City in the winter of 2018. The main purpose of this study was to reveal the key factors that affect cleaner heating choices under the national pilot program of the dual substitution policy, which targets the replacement of coal heating with gas and electric heating. The survey showed that electric heating is the most popular heating method, and the adoption of cleaner heating rises with income, and energy and device costs may be the major barriers to adopting cleaner heating. Further, multinomial logit regression was used to investigate the household factors and found that income, heating area, energy cost, and education had significant impacts on heating choices. In addition, the gas substitution policy was more effective in promoting the cleaner heating transition than was the electric substitution policy. Results show that more freedom to choose energies and devices, as well as infrastructure for gas supply and centralized heating, is also vital for the adoption of cleaner heating. Our study provides new insights to improve the details of implementation of the dual substitution policy."		1967
Event	Europe	Germany	51.48	7.52	Division 1 – Silviculture		https://energsustainsoc.biomedcentral.com/track/pdf/10.1186/s13705-015-0033-0	Decentralised combined heat and power in the German Ruhr Valley; assessment of factors blocking uptake and integration	"Background: In Germany, the energy system is undergoing reorganisation from a centralised system based on fossil fuels and nuclear power to a sustainable system based on decentralised production and consumption of energy, the so-called Energiewende. Recently, there has been more attention to improving energy efficiency in those regions where conventional energy production activities and energy-intensive industries are located, such as the Ruhr area. Although the potential for decentralised combined heat and power (CHP) units is high in this region, local action plans show only modest developments for this technology. In this paper, we address this issue by answering the following research question: Which factors block the uptake and integration of decentralised CHP in the German Ruhr area's energy system? Methods: The multilevel perspective (MLP) was used to analyse the state of system innovation in relation to the uptake and integration of decentralised CHP technology. Prior to the MLP analysis, a stakeholders' analysis was conducted to identify stakeholders' views, positions and experienced barriers regarding the uptake and integration of decentralised CHP technology. Data collection included review of text documents and conducting 11 interviews. Results: Due to many regime barriers blocking niche development, the uptake of decentralised CHP technology is limited. Identified barriers relate to lack of market services and mismatches with user preferences, (sectoral) policies and industrial interests. Conclusions: Observed barriers relate to (i) lack of market services such as financial means for making investments; (ii) user awareness such as unawareness and information deficit regarding the benefits of decentralised CHP to potential users, (iii) the presence of centralised district heating systems, (iv) policy issues such as lack of sufficient policies supporting diffusion of decentralised CHP units, legal stipulations from social housing policies that prevent housing cooperatives from becoming energy producers and district heating systems owned by public and private owners (via concessions contracts); (v) sector issues such as lack of skilled service-providing companies; and (vi) industrial interested such as the vested interests of the coal and gas industry. Moreover, many of the mentioned barriers seem interrelated, especially those concerning policy and finance available for making upfront investments."		1968
Event	Europe	Sweden	59.329219	18.067878	Division 2 – Physiology and Genetics;Division 3 – Forest Operations Engineering and Management		https://www.sciencedirect.com/science/article/abs/pii/S0360544216317741?via%3Dihub	Adoption barriers for electric vehicles: Experiences from early adopters in Sweden	"Electric vehicles are considered as one of the most effective technologies for reducing current greenhouse gas emissions from the transport sector. Although in many countries, local and national governments have introduced incentives and subsidies to facilitate the electric vehicle market penetration, in Sweden, such benefits have been limited. Results from a survey carried out among private owners of electric vehicles are presented in this paper, including the analysis of the respondents socio-demographic characteristics, reasons for choosing an electric vehicle, charging locations and driving preferences, among others. The main results characterize current electric vehicle drivers as male, well-educated, with medium-high income; electric vehicles are used mainly for private purposes and charged at home during night time. Furthermore, the paper presents an analysis of the impact of large-scale penetration of electric vehicles on existing power distribution systems. The findings presented in this paper provide important insights for assuring a sustainable large-scale penetration of electric vehicles by learning from the experiences of early adopters of the technology and by analyzing the impact of different EV penetration scenarios on the power distribution grid. (C) 2016 Elsevier Ltd. All rights reserved."		1969
Event	Europe	Finland	60.175501	24.937638	Division 3 – Forest Operations Engineering and Management;Division 9 – Forest Policy and Economics		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068145996&doi=10.1016%2fj.energy.2019.06.134&partnerID=40&md5=537a9da524abd5531779e8dd4bf76b3f; https://pdf.sciencedirectassets.com/271090/1-s2.0-S0360544219X00146/1-s2.0-S0360544219312666/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECAaCXVzLWVhc3QtMSJHMEUCIG%2BTCp3bydrUjZ4HrJuUWKJD33q3oEkMoOEVo1uPJMtbAiEAohE2wqjGZjvk5COHrdDzJTHsXtq8vG9kMtYH2rIPURsqzwIIaRACGgwwNTkwMDM1NDY4NjUiDIDL1uqZg70HdU0COSqsAtcY%2B536APnO4zqrKK9Aj%2F5WmThxDpLhAYro2yE01zsbKjttomx7lpiOmNmMoAVvCNiL41sMdOzTFtE7mINyXpLXT9Msy7GmzLqhg8rQeBEHSxz%2FnPPhAX%2Fk9wGffpSwcLmgxZtgHLLEf17137ZatvVEU6UsGRW%2BqycGULx3a7qo7wFyvl7G82bjjMN%2FKHVKlplrUntyoc%2FDLOaoEnLpaJA1Q8dtE3h6mUVb9HhzntC6cZBen3LTxRr9Xh1W7k6xaZEipbtbPRcVQCV73uJt3vRUT8GiTc9fIPJhlwXfvnhRl4HY8tUoWaM7EuZu3wjypp3%2B7JCvVws2dWdwnHNpF%2FwqWLZAaVY2N3YFa1X8CKt%2B55snzRHHJjrAk4vPM1gYJchJc5BEY4GglU9tzzDtqabvBTrQAlB49KTVXLESHPMCWaHTvJP9uRcSWkjZkppq4v%2BpLHrjPyhjJWQ5%2BBI%2Fw6mY0V20TwHO2Yzq7uAcQqQia61Muf5ZosGXkHX4llG54Rwf%2F8OIuxfzInlRU6oL1Wbon8BXxYypqBoM1zHfdzE40HLMLpQp8dlF%2FD13EAvvmHTISvp7Nu9H66%2FTP7YuORjfTGj8%2BV56aAJZrP1CTGxjs18fxWckfGdF2njNO9Zs3GlFK5uw9EMaB6cYxXyUmge0tCNGjwpt9NG%2FqOITPp3QX%2FtY3qdh8VBiTxFFgy0HW9yMCDz14mgkTgo%2F28gJtAbg8A4qBcLSxW%2BuMP%2B4593Fqnq0gs1ukyaujj54qOQ0z9HaTG%2BbWhwAHwI0%2BPAiwBUYIKuqfBFpx3dZtu6TU7UN0Z5VO3Q2Jp3qCh0mZQLrgWv7IXCVcpjtCkmLEK7TzBx1Aj5tmw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20191206T003015Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYZLX3RZDY%2F20191206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=4d1f0f573f7f8e09a3c1061237aae8656260161ddece410a9d024351dcd6ce83&hash=4bfc3305031eb09afd726cb00e5a3e0d505f8c26fd76536476f75765b1c9a711&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0360544219312666&tid=spdf-7460d20b-3f6f-43fe-91d4-cbaa9c53e73c&sid=2cab8b5389c048407459e1a159b2f743f304gxrqb&type=client	Citizens' images of a sustainable energy transition	"Achieving a sustainable energy transition is crucial for mitigating climate change. Citizens' acceptance of the transition is important for it to succeed. We explored citizens' images of the future energy forms and energy system in Finland, and the drivers of a sustainable energy transition. The data gathered with an online questionnaire targeting an adult population 17-75 years of age (N = 1012) were analysed with exploratory factor analysis and multiple linear regression. Four dimensions of future energy forms were identified: next-generation renewables, fossil energy, bioenergy, and established renewable vs. nuclear energy. Four dimensions of the future energy system were also identified: renewing the energy market, domestic power, small-scale producers, and consumer awareness. Five transition drivers were likewise identified: mainstreaming renewable energy, international actors, individual actions, changing values and economy, and emancipatory change. Mainstreaming renewable energy emerged as the key driver of transition, followed by individual actions. Generally, the sustainable energy transition was strongly supported by citizens' images, but different socio-economic groups preferred somewhat different images. Thus, the diversity of consumers' and citizens' roles in the transition needs to be acknowledged and encouraged in legitimate national energy policies. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2019 The Authors"		1970
