Study ID	Citation	Year published	Year conducted (final year)	Scope	Location name	Country	"LatDD,LonDD"	Woodfuel assessed	Comparator	Comparator (specify)	Forest type  	Specific ecosystem type (author defined)	Natural/planted	"If natural forest, existing forest condition"	Forest size (include units)	Primary source of woodfuel used for domestic consumption	Primary source of woodfuel used for commercial purposes	Activity assessed	List if multiple  activities	Presence of woodfuel policy change	"Presence of alternative technologies i.e.  kilns and
cookstoves"	Short description of policy change and/or alt. technologies OR relevant policy changes known to you that are not mentioned in the paper (please add ** if it is your info and not from the paper)	Target of policy and/or alternative technologies 	"If multiple targets, specify using the same terminology under column W"	"Time elapsed since policy change, introduction of alternative technologies, or initiation of wood energy activity (years)"	Enforcement of rules governing woodfuel activities 	"Presence of other regulations on trade, energy, or environment"	Short description of other regulations on trade/ energy/ environment	"Tenure Regime type"	Tenure - Mixed (specify)	"Tenure - Formal protected area? (i.e. national park, biosphere reserve, etc.)"	Population density (pp/km2 or pp/ha)	"Recent population change in study area, including migration"	Poverty /food insecurity of majority (>50%)	Main source of income for majority (>50%) of population	"Distance to nearest market /urban center (if within urban area, select <10km)"	"Demand for woodfuel 
(local and external)"	Purpose of woodfuel use	"Other contributing factors affecting reported outcomes (i.e. agricultural expansion, livestock grazing, gender-based differences etc.)"	Study outcomes	Source of socioeconomic data	Source of socioeconomic data (specify methods)	Income	Employment	Assets	Equity	Costs	Profit	Other indicators used	Source of health data	Source of health data (specify methods)	Indoor pollution	Ilness	Other  health indicators used	Source of environmental data	Source of environmental data (specify methods)	"Forest cover (natural or planted), including above-ground biomass"	"Forest condition, including forest structure"	Biodiversity	C stocks	GHG emissions	Soil quality	Water quality
97	"Bertschi IT, Yokelson RJ, Ward DE, Christian TJ, Hao WM. Trace gas emissions from the production and use of domestic biofuels in Zambia measured by open-path Fourier transform infrared spectroscopy. Journal of Geophysical Research-Atmospheres 2003; 108: 8469, doi:10.1029/2002JD002158"	2003	2000	National		Zambia	"-15.4166534,28.2737134"	both	Counterfactual	gas emitted by savannah bush fires	NR	NR	NR	NR	NR	NR	NR	multiple or other (specify)	"processing, consumption"	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	agriculture / livestock	NR	NR	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	measurments of trace gases	NR	NR	NR	NR	Increase/More than comparator	NR	NR
105	"Boadi KO, Kuitunen M. Factors affecting the choice of cooking fuel, cooking place and respiratory health in the Accra metropolitan area, Ghana. Journal of Biosocial Science 2006; 38: 403-12 "	2006	2003	Village/city	Accra	Ghana	"5.5912931,-0.2147489"	both	None (single case study)		NR	NR	NR	NR	NR	NR	NR	consumption	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	NR	NR	below poverty line / food insecure	NR	< 10 km	NR	mostly domestic use	"Level of education, place of cooking, hh income, presence of children in the kitchen."	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	Surveys on self reporting recalling over past 2 weeks.	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
125	"Brouwer R, Magane DM. The charcoal commodity chain in Maputo: access and sustainability. Southern African Forestry Journal 1999; 185: 27-34"	1999	NR	Province/region	Maputo surrounding areas supplying charcoal	Mozambique	"-25.8960874,32.540644"	charcoal	Multiple case studies	different actors across the VC 	Woodlands	NR	Natural	NR	NR	NR	NR	multiple or other (specify)	"harvesting, processing"	present	NR	"In an effort to improve forest exploitation by the strengthening of local control over the resource, the provincial forest authorities expelled migrant charcoal burners or ninjas and forbade the export of charcoal from the area until the different stakeholders would have agreed upon a management plan; cutting and transport license required of transporters (350 MT/sack) and issued from the provincial offices of the national forest service and guards check for license at police checkpoints; transporters pay a road tax of 2000MT to the municipality; merchants pay a fee for their stall at markets with prices varying between retailers and wholesalers"	multiple or other (specify)	"harvesting/burning by migrant charcoal labour,.The State intervenes at three points in the charcoal VC, nominally to regulate resource use and marketing. T"	NR	NR	trade	"Transporters have to obtain a cutting and transport license from the provincial offices of the national forest service. Transporters pay also a road tax of2 000 MT (US$ 0,17) to the municipality. At the markets, merchants have to pay a fee for their stall. "	Open access		No	NR	NR	NR	NR	NR	low local - high external	mostly domestic use		socioeconomic	multiple (specify)	"grey, refereed literature and interviews with VC actors"	Decrease/Less than comparator	NR	NR	Decrease/Less than comparator	Decrease/Less than comparator	NR	"in terms of margin/sack, better off than wholeseller, but monthly income less due to low volumes traded"	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
125	"Brouwer R, Magane DM. The charcoal commodity chain in Maputo: access and sustainability. Southern African Forestry Journal 1999; 185: 27-35"	1999	NR	Province/region	Capital Maputo and surrounding areas	Mozambique	"-25.8960874,32.540644"	charcoal	Multiple case studies	different actors across the VC 	Woodlands	NR	Natural	NR	NR	NR	NR	trade/marketing	wholesale trading	present	NR	"In an effort to improve forest exploitation by the strengthening of local control over the resource, the provincial forest authorities expelled migrant charcoal burners or ninjas and forbade the export of charcoal from the area until the different stakeholders would have agreed upon a management plan; cutting and transport license required of transporters (350 MT/sack) and issued from the provincial offices of the national forest service and guards check for license at police checkpoints; transporters pay a road tax of 2000MT to the municipality; merchants pay a fee for their stall at markets with prices varying between retailers and wholesalers"	multiple or other (specify)	Transporters have to obtain a cutting and transport license from the provincial offices of the national forest service. Guards stop the vehicles loaded with charcoal at police checkpoints around Maputo to verify the license.	NR	NR	trade	"Transporters have to obtain a cutting and transport license from the provincial offices of the national forest service. Transporters pay also a road tax of2 000 MT (US$ 0,17) to the municipality. At the markets, merchants have to pay a fee for their stall. "	Open access		No	NR	NR	NR	NR	NR	low local - high external	mostly domestic use		socioeconomic	multiple (specify)	"grey, refereed literature and interviews with VC actors"	Increase/More than comparator	NR	NR	Increase/More than comparator	Increase/More than comparator	NR	80% of the total monthly income. Car-owning wholeseller better off than renting 	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
125	"Brouwer R, Magane DM. The charcoal commodity chain in Maputo: access and sustainability. Southern African Forestry Journal 1999; 185: 27-36"	1999	NR	Province/region	Maputo  	Mozambique	"-25.8960874,32.540644"	charcoal	Multiple case studies	different actors across the VC 	Woodlands	NR	Natural	NR	NR	NR	NR	trade/marketing	retailing	present	NR	"In an effort to improve forest exploitation by the strengthening of local control over the resource, the provincial forest authorities expelled migrant charcoal burners or ninjas and forbade the export of charcoal from the area until the different stakeholders would have agreed upon a management plan; cutting and transport license required of transporters (350 MT/sack) and issued from the provincial offices of the national forest service and guards check for license at police checkpoints; transporters pay a road tax of 2000MT to the municipality; merchants pay a fee for their stall at markets with prices varying between retailers and wholesalers"	multiple or other (specify)	"At the markets, merchants have to pay a fee for their stall"	NR	present	trade	"Transporters have to obtain a cutting and transport license from the provincial offices of the national forest service. Transporters pay also a road tax of2 000 MT (US$ 0,17) to the municipality. At the markets, merchants have to pay a fee for their stall. "	Open access		No	NR	NR	NR	NR	NR	low local - high external	mostly domestic use		socioeconomic	multiple (specify)	"grey, refereed literature and interviews with VC actors"	Decrease/Less than comparator	NR	NR	Decrease/Less than comparator	Increase/More than comparator	NR	"in terms of margin/sack, better off than wholeseller, but monthly income less due to low volumes traded"	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
129	"Burwen J, Levine DI. A rapid assessment randomized-controlled trial of improved cookstoves in rural Ghana. Energy for Sustainable Development 2012; 16: 328–338"	2012	2009	County/District/Dpt	Sissala West district	Ghana	"10.6256558,-2.3985207"	firewood	Control-Impact	With or without use of improved cookstoves.	NR	NR	NR	NR	NR	NR	NR	multiple or other (specify)	"harvesting, consumption"	NR	present	improved stoves aimed to reduce fuelwood use and smoke emissions 	consumption	NR	< 5 years	NR	NR	NR	NR	NR	No	NR	NR	below poverty line / food insecure	mixed	NR	high local	mostly domestic use	"different cooking practices between ethnic groups, including cooking times and cooking locations (indoors/outdoors) "	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"Direct measurements: carbon monoxide exposure measurement, cooking test measuring fuel used while preparing a standard meal; stove usage monitors that recorded usage of stoves over three weeks; Respondent perceptions: household survey on self-reported symptoms"	Neutral/No change	Neutral/No change	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
131	Butz RJ. Changing land management: A case study of charcoal production among a group of pastoral women in northern Tanzania. Energy for Sustainable Development 2013; 17: 138–145	2013	2006	Village/city	Engikareti village	Tanzania	"-2.7324946,35.5776945"	charcoal	None (single case study)	NR	Savanna	"""treeless short-grass savanna interspersed with Acacia–Commiphora scrub"" and ""savanna woodlands dominated by umbrella acacia"""	Natural	slightly degraded	NR	Deadwood 	Mix of deadwood and living trees	multiple or other (specify)	"harvesting, processing, transportation, trade/marketing"	present	NR	March 2006 - national ban on all cutting of trees and harvesting of timber; August 2006 - district commissioners to approve licenses for wood harvest/charcoal production	multiple or other (specify)	"harvesting, production"	< 5 years	present	environmental	expansion of national game parks drastically reduced mobility of Maasai pastorialists	Mixed (specify)	community and open access	No	1.5 pp/km2	Increase/inward	below poverty line / food insecure	agriculture / livestock	10-30 km	high local - high external	domestic and commercial use	"charcoal producers are only women without adequate income or herd size; severe drought between 1999 to early 2006 led to major reductions in livestock; slow rates of vegetation regeneration, reduced grazing area "	multiple	respondent perceptions/recall	"structured and unstructured individual interviews, group interviews, and participant observation"	Increase/More than comparator	NR	NR	NR	NR	NR	Social and economic marginalization (of women).	NR	NR	NR	NR	NR	respondent perceptions/recall	Semi-structured and group interviews and observations.	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR	NR
144	"Chidumayo EN. Land use, deforestation and reforestation in the Zambian Copperbelt. Land Degradation and Rehabilitation 1989; 1: 209 - 216 "	1989	1984	Province/region	Copperbelt	Zambia	"-12.7499948,27.7198486"	both	Time series	"The vegetation state in 1937 is established by a literature analysis and enqueries made in relevant institution. Thus, the author is establishing a time series based on several kind of data "	Mixed	Miombos + Dambo grassland	Both	mostly degraded	9615 km2	NR	NR	multiple or other (specify)	woodfuel collection for household (cooking and space-heating) and mines consumption (electricity generation and copper refeneries	NR	NR	NR	NR	NR	NR	NR	NR	NR	Mixed (specify)	"Stateland, trustland and reserves"	Yes	NR	NR	NR	NR	NR	high local	domestic and commercial use	Before 1962 copper mining industry than urbanization in addition to woodfuel extraction and field clearing	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"Aerial photographs and maps for 1984, literature and enqueries from 1937 to 1984"	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR	NR
145	Chidumayo EN. Zambian charcoal production. Energy Policy 1993; 21: 586-597	1993	1991	Plot/sample site(s)	110km east of Lusaka	Zambia	"-15.2499788,29.1912452"	both	Control-Impact	"Comparison of 2 old growth, 1 first growth, 1 second growth stands in the Miombo"	Savanna	Miombo	Natural	NR	NR	NR	NR	multiple or other (specify)	Harvesting and processing		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	NR	NR	NR	NR	NR	low local - high external	domestic and commercial use		environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	"Measurement of AG and BG biomass in 4 sites, old growth, first regrowth, second regrowth"	NR		NR	Neutral/No change	NR	Mixed	NR
147	"Chidumayo EN. Effects of wood carbonization on soil and initial development of seedlings in miombo woodland, Zambia. Forest Ecology and Management 1994; 70: 353-357"	1994	1993	Plot/sample site(s)	Chitemalesa area	Zambia	"-15.03333333, 28.86666667"	charcoal	Control-Impact	Comparaison of germination seed between charcoal and undisturbed soils	Savanna	Miombo	Natural	NR	NR	NR	NR	processing		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	NR	NR	NR	NR	NR	NR	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	"Measurement of the effect of wood carbonization on the nutrient status in soil, seed germination and initial seedling development of 7 indigenous woody plants "	NR	NR	NR	NR	NR	Mixed	NR
149	Chidumayo EN. Forest degradation and recovery in a miombo woodland landscape in Zambia: 22 years of observations on permanent sample plots. Forest Ecology and Management 2013; 291: 154–161	2003	2002	Plot/sample site(s)	Chongwe district	Zambia	"-15.175536,29.056018"	both	Control-Impact	"Comparison of 3 old growth, and 2 re-growth stands in the Miombo"	Savanna	Miombo	Natural	NR	NR	NR	NR	multiple or other (specify)	"Charcoal making, small and large poles extraction, harvesting of small poles for construction and bark fiber, crop cultivation depending on the site"	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	Yes	NR	NR	NR	NR	NR	NR	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Measurement of woody biomass accumulation rate and standing stocksas well as trends in species diversity indices and standing wood biomass	NR	Mixed	Mixed	Mixed	NR	NR	NR
153	"Chomitz KM, Griffiths C. An economic analysis and simulation of woodfuel management in the Sahel. Environmental and Resource Economics 2001; 19: 285–304"	2001	NR	Province/region	"N'Djamena woodfuel catchment (20,000 km2)"	Chad	"12.1203,15.0224395"	both	None (single case study)		Mixed	"woodland, bushland, and grassland"	Natural	NR	NR	NR	NR	multiple or other (specify)	"Harvesting, processing, transportation, trading"	absent	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	NR	NR	NR	NR		high local	domestic and commercial use		multiple	models/projections 		NR	NR	NR	NR	Mixed	Mixed	present discounted value (PDV) of fuel supply cost savings	NR	NR	NR	NR	NR	models/projections 	modelling of spatial distribution of biomass with and without a household energy project based on remote sensing data	NR	NR	NR	Mixed	NR	NR	NR
162	"Cline-Cole RA, Main HAC, Nichol JE. On fuelwood consumption, population dynamics and deforestation in Africa. World Development 1990; 18: 513-527"	1990	NR	Province/region	Metropolitan Kano Region	Nigeria	"11.9980465,8.4708592"	firewood	None (single case study)	"However, this single case studies is used to challenge orthodox interpretations and discourses in others places"	Mixed	"farmland, shrubland, forest reserves"	Both	mostly degraded	NR	NR	NR	multiple or other (specify)	Tree management and haversting	NR	NR	NR	NR	NR	NR	NR	NR	NR	Mixed (specify)	"Open access community, state"	Yes	NR		NR	NR	NR	high local	mostly domestic use	The demographic and urbanization trends	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	Literature and author's survey around Kan	Mixed	Mixed	NR	NR	NR	NR	NR
